Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:34.836857 False [     447.263748] 0003 0036 00000991
2022-04-06 14:17:34.853439 False [     447.280342] 0003 0035 00000555
2022-04-06 14:17:34.862183 False [     447.288560] 0003 0035 00000557
2022-04-06 14:17:34.863181 False [     447.288560] 0003 0036 00000992
2022-04-06 14:17:34.869691 False [     447.296984] 0003 0035 00000559
2022-04-06 14:17:34.878260 False [     447.305265] 0003 0035 0000055b
2022-04-06 14:17:34.896193 False [     447.322005] 0003 0035 0000055c
2022-04-06 14:17:34.904096 False [     447.330369] 0003 0035 0000055e
2022-04-06 14:17:34.912878 False [     447.338551] 0003 0035 0000055f
2022-04-06 14:17:34.936465 False [     447.363713] 0003 0035 00000560
2022-04-06 14:17:34.952495 False [     447.380414] 0003 0035 00000561
2022-04-06 14:17:34.971248 False [     447.397001] 0003 0035 00000562
2022-04-06 14:17:36.532922 False [     448.955850] 0003 0035 00000407
2022-04-06 14:17:36.532922 True [     448.955850] 0003 0036 00000384
2022-04-06 14:17:36.596728 True [     449.021837] 0003 0036 00000383
2022-04-06 14:17:36.604033 True [     449.030235] 0003 0035 00000408
2022-04-06 14:17:36.604033 True [     449.030235] 0003 0036 00000381
2022-04-06 14:17:36.612742 True [     449.038459] 0003 0035 00000409
2022-04-06 14:17:36.612742 True [     449.038459] 0003 0036 0000037e
2022-04-06 14:17:36.619767 True [     449.046951] 0003 0035 0000040b
2022-04-06 14:17:36.619767 True [     449.046951] 0003 0036 0000037a
2022-04-06 14:17:36.629293 True [     449.055190] 0003 0035 0000040c
2022-04-06 14:17:36.629293 True [     449.055190] 0003 0036 00000377
2022-04-06 14:17:36.639585 True [     449.063599] 0003 0035 0000040d
2022-04-06 14:17:36.639585 True [     449.063599] 0003 0036 00000374
2022-04-06 14:17:36.645703 True [     449.071870] 0003 0035 0000040e
2022-04-06 14:17:36.645703 True [     449.071870] 0003 0036 00000372
2022-04-06 14:17:36.654768 True [     449.080271] 0003 0035 0000040f
2022-04-06 14:17:36.654768 True [     449.080271] 0003 0036 00000370
2022-04-06 14:17:36.664020 True [     449.088528] 0003 0036 0000036e
2022-04-06 14:17:36.680413 True [     449.105171] 0003 0035 00000410
2022-04-06 14:17:36.680413 True [     449.105171] 0003 0036 0000036d
2022-04-06 14:17:36.688624 True [     449.113561] 0003 0036 0000036c
2022-04-06 14:17:36.720478 True [     449.146908] 0003 0036 0000036b
2022-04-06 14:17:36.737960 True [     449.163620] 0003 0036 0000036a
2022-04-06 14:17:36.745664 True [     449.171817] 0003 0036 00000369
2022-04-06 14:17:36.753931 True [     449.180317] 0003 0035 0000040f
2022-04-06 14:17:36.753931 True [     449.180317] 0003 0036 00000367
2022-04-06 14:17:36.762290 True [     449.188587] 0003 0036 00000365
2022-04-06 14:17:36.770679 True [     449.197075] 0003 0036 00000364
2022-04-06 14:17:36.778981 True [     449.205262] 0003 0035 0000040e
2022-04-06 14:17:36.778981 True [     449.205262] 0003 0036 00000361
2022-04-06 14:17:36.789084 True [     449.213646] 0003 0035 0000040d
2022-04-06 14:17:36.789084 True [     449.213646] 0003 0036 0000035e
2022-04-06 14:17:36.795279 True [     449.221890] 0003 0035 0000040c
2022-04-06 14:17:36.795279 True [     449.221890] 0003 0036 0000035c
2022-04-06 14:17:36.805301 True [     449.230356] 0003 0035 0000040b
2022-04-06 14:17:36.805301 True [     449.230356] 0003 0036 00000359
2022-04-06 14:17:36.812351 True [     449.238573] 0003 0035 00000409
2022-04-06 14:17:36.812351 True [     449.238573] 0003 0036 00000357
2022-04-06 14:17:36.821807 True [     449.247036] 0003 0035 00000408
2022-04-06 14:17:36.821807 True [     449.247036] 0003 0036 00000353
2022-04-06 14:17:36.828792 True [     449.255282] 0003 0035 00000406
2022-04-06 14:17:36.829622 True [     449.255282] 0003 0036 00000351
2022-04-06 14:17:36.846169 True [     449.271898] 0003 0035 00000404
2022-04-06 14:17:36.846169 True [     449.271898] 0003 0036 0000034e
2022-04-06 14:17:36.854409 True [     449.280394] 0003 0035 00000401
2022-04-06 14:17:36.854409 True [     449.280394] 0003 0036 0000034b
2022-04-06 14:17:36.861888 True [     449.288679] 0003 0035 00000400
