Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21370756515694914 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:18:25.891025 True [  157429.062446] 0003 0036 00000389
2022-04-02 17:18:25.917795 True [  157429.087360] 0003 0035 00000482
2022-04-02 17:18:25.934195 True [  157429.104056] 0003 0036 00000386
2022-04-02 17:18:25.941636 True [  157429.112492] 0003 0036 00000384
2022-04-02 17:18:25.951376 True [  157429.120854] 0003 0035 00000483
2022-04-02 17:18:25.951376 True [  157429.120854] 0003 0036 00000383
2022-04-02 17:18:25.957598 True [  157429.128908] 0003 0036 00000381
2022-04-02 17:18:25.966136 True [  157429.137504] 0003 0036 0000037b
2022-04-02 17:18:25.972707 True [  157429.145508] 0003 0036 00000376
2022-04-02 17:18:25.983155 True [  157429.153883] 0003 0036 00000372
2022-04-02 17:18:25.992291 True [  157429.162133] 0003 0036 0000036f
2022-04-02 17:18:25.997709 True [  157429.170674] 0003 0035 00000482
2022-04-02 17:18:25.997709 True [  157429.170674] 0003 0036 00000365
2022-04-02 17:18:26.007471 True [  157429.178866] 0003 0035 00000481
2022-04-02 17:18:26.007471 False [  157429.178866] 0003 0036 0000035e
2022-04-02 17:18:26.015296 False [  157429.187194] 0003 0036 00000359
2022-04-02 17:18:26.024180 False [  157429.195363] 0003 0036 00000351
2022-04-02 17:18:26.031134 False [  157429.203733] 0003 0035 00000480
2022-04-02 17:18:26.031304 False [  157429.203733] 0003 0036 0000034c
2022-04-02 17:18:26.039880 False [  157429.212075] 0003 0035 0000047f
2022-04-02 17:18:26.039880 False [  157429.212075] 0003 0036 00000348
2022-04-02 17:18:26.048789 False [  157429.220371] 0003 0036 00000345
2022-04-02 17:18:26.060156 False [  157429.228644] 0003 0035 0000047e
2022-04-02 17:18:26.060156 False [  157429.228644] 0003 0036 00000342
2022-04-02 17:18:26.065248 False [  157429.237076] 0003 0036 00000341
2022-04-02 17:18:26.073105 False [  157429.245244] 0003 0035 0000047d
2022-04-02 17:18:26.073105 False [  157429.245244] 0003 0036 0000033c
2022-04-02 17:18:26.081164 False [  157429.253673] 0003 0035 0000047b
2022-04-02 17:18:26.081164 False [  157429.253673] 0003 0036 00000339
2022-04-02 17:18:26.089104 False [  157429.261860] 0003 0035 0000047a
2022-04-02 17:18:26.089104 False [  157429.261860] 0003 0036 00000335
2022-04-02 17:18:26.096732 False [  157429.270247] 0003 0036 00000334
2022-04-02 17:18:26.108567 False [  157429.278456] 0003 0035 00000479
2022-04-02 17:18:26.108567 False [  157429.278456] 0003 0036 00000332
2022-04-02 17:18:26.115277 False [  157429.286964] 0003 0036 00000331
2022-04-02 17:18:26.122402 False [  157429.295021] 0003 0035 00000478
2022-04-02 17:18:26.122402 False [  157429.295021] 0003 0036 00000330
2022-04-02 17:18:26.131432 False [  157429.303420] 0003 0036 0000032f
2022-04-02 17:18:26.138777 False [  157429.311599] 0003 0035 00000475
2022-04-02 17:18:26.138777 False [  157429.311599] 0003 0036 00000330
