Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 3.062645015110699 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:29:36.416274 False [   14113.028129] 0003 0036 000002a4
2022-03-12 15:29:36.416274 False [   14113.028129] 0003 0035 000000af
2022-03-12 15:29:36.416274 False [   14113.028129] 0003 0036 00000290
2022-03-12 15:29:36.434544 False [   14113.045747] 0003 0035 000001d1
2022-03-12 15:29:36.434544 False [   14113.045747] 0003 0036 000002a4
2022-03-12 15:29:36.434544 False [   14113.045747] 0003 0035 000000af
2022-03-12 15:29:36.434544 False [   14113.045747] 0003 0036 00000290
2022-03-12 15:29:36.453073 False [   14113.062766] 0003 0035 000001d1
2022-03-12 15:29:36.453073 False [   14113.062766] 0003 0036 000002a4
2022-03-12 15:29:36.453073 False [   14113.062766] 0003 0035 000000af
2022-03-12 15:29:36.453073 False [   14113.062766] 0003 0036 00000290
2022-03-12 15:29:36.467260 False [   14113.078878] 0003 0035 000001d1
2022-03-12 15:29:36.467260 False [   14113.078878] 0003 0036 000002a4
2022-03-12 15:29:36.467260 False [   14113.078878] 0003 0035 000000af
2022-03-12 15:29:36.467260 False [   14113.078878] 0003 0036 00000290
2022-03-12 15:29:36.483756 False [   14113.095800] 0003 0035 000001d1
2022-03-12 15:29:36.483756 False [   14113.095800] 0003 0036 000002a4
2022-03-12 15:29:36.483756 False [   14113.095800] 0003 0035 000000ab
2022-03-12 15:29:36.483756 False [   14113.095800] 0003 0036 00000290
2022-03-12 15:29:36.501833 False [   14113.113417] 0003 0035 000001d1
2022-03-12 15:29:36.502260 False [   14113.113417] 0003 0036 000002a4
2022-03-12 15:29:36.502260 False [   14113.113417] 0003 0035 000000ab
2022-03-12 15:29:36.502260 False [   14113.113417] 0003 0036 00000290
2022-03-12 15:29:36.519410 False [   14113.130072] 0003 0035 000001d1
2022-03-12 15:29:36.519410 False [   14113.130072] 0003 0036 000002a4
2022-03-12 15:29:36.519410 False [   14113.130072] 0003 0035 000000ab
2022-03-12 15:29:36.519410 False [   14113.130072] 0003 0036 00000290
2022-03-12 15:29:36.536280 False [   14113.146847] 0003 0035 000001d1
2022-03-12 15:29:36.537631 False [   14113.146847] 0003 0036 000002a4
2022-03-12 15:29:36.537631 False [   14113.146847] 0003 0035 000000ab
2022-03-12 15:29:36.537631 False [   14113.146847] 0003 0036 00000290
2022-03-12 15:29:36.551463 False [   14113.163957] 0003 0035 000001d3
2022-03-12 15:29:36.551463 False [   14113.163957] 0003 0036 000002a8
2022-03-12 15:29:36.551463 False [   14113.163957] 0003 0035 000000a7
2022-03-12 15:29:36.551463 False [   14113.163957] 0003 0036 00000290
2022-03-12 15:29:36.568883 False [   14113.180684] 0003 0035 000001d3
2022-03-12 15:29:36.568883 False [   14113.180684] 0003 0036 000002a8
2022-03-12 15:29:36.568883 False [   14113.180684] 0003 0035 000000a7
2022-03-12 15:29:36.568883 False [   14113.180684] 0003 0036 00000290
2022-03-12 15:29:36.584567 False [   14113.197403] 0003 0035 000001d3
2022-03-12 15:29:36.584567 False [   14113.197403] 0003 0036 000002a8
2022-03-12 15:29:36.584567 False [   14113.197403] 0003 0035 000000a7
2022-03-12 15:29:36.584567 False [   14113.197403] 0003 0036 00000290
2022-03-12 15:29:36.603252 False [   14113.214548] 0003 0035 000001d3
2022-03-12 15:29:36.603252 False [   14113.214548] 0003 0036 000002a8
2022-03-12 15:29:36.603252 False [   14113.214548] 0003 0035 000000a7
2022-03-12 15:29:36.603252 False [   14113.214548] 0003 0036 00000290
2022-03-12 15:29:36.619605 False [   14113.231673] 0003 0035 000001d3
2022-03-12 15:29:36.619605 False [   14113.231673] 0003 0036 000002a8
2022-03-12 15:29:36.619605 False [   14113.231673] 0003 0035 000000a7
2022-03-12 15:29:36.619605 False [   14113.231673] 0003 0036 00000290
2022-03-12 15:29:36.636408 False [   14113.248494] 0003 0035 000001d3
2022-03-12 15:29:36.636408 False [   14113.248494] 0003 0036 000002a8
2022-03-12 15:29:36.636408 False [   14113.248494] 0003 0035 000000a7
2022-03-12 15:29:36.636408 False [   14113.248494] 0003 0036 00000290
2022-03-12 15:29:36.653106 False [   14113.265160] 0003 0035 000001d3
2022-03-12 15:29:36.653106 False [   14113.265160] 0003 0036 000002a8
2022-03-12 15:29:36.653106 False [   14113.265160] 0003 0035 000000a7
2022-03-12 15:29:36.653106 False [   14113.265160] 0003 0036 00000290
2022-03-12 15:29:36.671252 False [   14113.282128] 0003 0035 000001d3
2022-03-12 15:29:36.671252 False [   14113.282128] 0003 0036 000002a8
2022-03-12 15:29:36.671252 False [   14113.282128] 0003 0035 000000a7
2022-03-12 15:29:36.671252 False [   14113.282128] 0003 0036 00000290
2022-03-12 15:29:36.687626 False [   14113.299083] 0003 0035 000001d3
2022-03-12 15:29:36.687626 False [   14113.299083] 0003 0036 000002a8
2022-03-12 15:29:36.688403 False [   14113.299083] 0003 0035 000000a7
2022-03-12 15:29:36.688403 False [   14113.299083] 0003 0036 00000290
2022-03-12 15:29:36.706020 False [   14113.316809] 0003 0035 000001d3
2022-03-12 15:29:36.706020 False [   14113.316809] 0003 0036 000002a8
2022-03-12 15:29:36.706020 False [   14113.316809] 0003 0035 000000a7
2022-03-12 15:29:36.706020 False [   14113.316809] 0003 0036 00000290
2022-03-12 15:29:36.722519 False [   14113.333746] 0003 0035 000001d3
2022-03-12 15:29:36.722519 False [   14113.333746] 0003 0036 000002a8
2022-03-12 15:29:36.722519 False [   14113.333746] 0003 0035 000000a7
2022-03-12 15:29:36.722519 False [   14113.333746] 0003 0036 00000290
2022-03-12 15:29:36.737952 False [   14113.349865] 0003 0035 000001d3
2022-03-12 15:29:36.737952 False [   14113.349865] 0003 0036 000002a8
2022-03-12 15:29:36.739247 False [   14113.349865] 0003 0035 000000a7
2022-03-12 15:29:36.739247 False [   14113.349865] 0003 0036 00000290
2022-03-12 15:29:36.756058 False [   14113.366950] 0003 0035 000001d3
2022-03-12 15:29:36.756058 False [   14113.366950] 0003 0036 000002a8
2022-03-12 15:29:36.756058 False [   14113.366950] 0003 0035 000000a7
2022-03-12 15:29:36.756058 False [   14113.366950] 0003 0036 00000290
2022-03-12 15:29:36.771136 False [   14113.383730] 0003 0035 000001d3
