Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9920400165602349 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 14:40:15.169204 True [    7724.224479] 0003 0036 0000052f
2022-04-07 14:40:15.178063 True [    7724.232904] 0003 0035 00000313
2022-04-07 14:40:15.185325 True [    7724.241108] 0003 0035 00000319
2022-04-07 14:40:15.186284 True [    7724.241108] 0003 0036 00000530
2022-04-07 14:40:15.193264 True [    7724.249458] 0003 0035 0000031e
2022-04-07 14:40:15.204234 True [    7724.257703] 0003 0035 00000321
2022-04-07 14:40:15.211830 True [    7724.266130] 0003 0035 00000323
2022-04-07 14:40:15.219540 True [    7724.274308] 0003 0035 00000329
2022-04-07 14:40:15.219540 True [    7724.274308] 0003 0036 00000531
2022-04-07 14:40:15.227070 True [    7724.282754] 0003 0035 0000032e
2022-04-07 14:40:15.237087 True [    7724.290940] 0003 0035 00000331
2022-04-07 14:40:15.237087 True [    7724.290940] 0003 0036 00000532
2022-04-07 14:40:15.244699 True [    7724.299510] 0003 0035 00000333
2022-04-07 14:40:15.252569 True [    7724.307604] 0003 0035 00000335
2022-04-07 14:40:15.260101 True [    7724.316165] 0003 0035 00000337
2022-04-07 14:40:15.269050 True [    7724.324375] 0003 0035 0000033c
2022-04-07 14:40:15.269050 True [    7724.324375] 0003 0036 00000533
2022-04-07 14:40:15.277085 True [    7724.332656] 0003 0035 00000340
2022-04-07 14:40:15.286395 True [    7724.341009] 0003 0035 00000343
2022-04-07 14:40:15.293964 True [    7724.349240] 0003 0035 00000345
2022-04-07 14:40:15.302204 True [    7724.357451] 0003 0035 00000347
2022-04-07 14:40:15.303085 True [    7724.357451] 0003 0036 00000534
2022-04-07 14:40:15.311198 True [    7724.365932] 0003 0035 00000348
2022-04-07 14:40:15.318620 True [    7724.374119] 0003 0035 0000034a
2022-04-07 14:40:15.335250 True [    7724.390780] 0003 0035 0000034e
2022-04-07 14:40:15.335250 True [    7724.390780] 0003 0036 00000532
2022-04-07 14:40:15.344108 True [    7724.399251] 0003 0035 00000352
2022-04-07 14:40:15.344108 True [    7724.399251] 0003 0036 00000531
2022-04-07 14:40:15.351974 True [    7724.407352] 0003 0035 00000354
2022-04-07 14:40:15.359960 True [    7724.415742] 0003 0035 00000356
2022-04-07 14:40:15.359960 True [    7724.415742] 0003 0036 00000530
2022-04-07 14:40:15.369091 True [    7724.423986] 0003 0035 00000358
2022-04-07 14:40:15.369091 True [    7724.423986] 0003 0036 0000052f
2022-04-07 14:40:15.377163 True [    7724.432515] 0003 0035 00000359
2022-04-07 14:40:15.384519 True [    7724.440566] 0003 0035 0000035a
2022-04-07 14:40:15.394444 True [    7724.449022] 0003 0035 0000035b
2022-04-07 14:40:15.401773 True [    7724.457199] 0003 0035 0000035c
2022-04-07 14:40:15.410149 True [    7724.465630] 0003 0035 0000035f
2022-04-07 14:40:15.410149 True [    7724.465630] 0003 0036 0000052e
2022-04-07 14:40:15.418129 True [    7724.473823] 0003 0035 00000361
2022-04-07 14:40:15.418129 True [    7724.473823] 0003 0036 0000052d
2022-04-07 14:40:15.427178 True [    7724.482563] 0003 0035 00000363
2022-04-07 14:40:15.434229 True [    7724.490423] 0003 0035 00000365
2022-04-07 14:40:15.434229 True [    7724.490423] 0003 0036 0000052c
2022-04-07 14:40:15.443432 True [    7724.498880] 0003 0035 00000367
2022-04-07 14:40:15.452340 True [    7724.507110] 0003 0035 0000036b
2022-04-07 14:40:15.460147 True [    7724.515469] 0003 0035 0000036e
2022-04-07 14:40:15.469292 True [    7724.523669] 0003 0035 00000375
2022-04-07 14:40:15.469292 True [    7724.523669] 0003 0036 0000052b
2022-04-07 14:40:15.476943 True [    7724.532133] 0003 0035 00000379
2022-04-07 14:40:15.484655 True [    7724.540303] 0003 0035 0000037c
2022-04-07 14:40:15.493331 True [    7724.548863] 0003 0035 00000382
2022-04-07 14:40:15.493331 True [    7724.548863] 0003 0036 0000052c
2022-04-07 14:40:15.501236 True [    7724.556919] 0003 0035 00000385
2022-04-07 14:40:15.501236 True [    7724.556919] 0003 0036 0000052e
2022-04-07 14:40:15.509085 True [    7724.565381] 0003 0035 00000388
2022-04-07 14:40:15.509085 True [    7724.565381] 0003 0036 0000052f
2022-04-07 14:40:15.517641 True [    7724.573535] 0003 0035 0000038d
2022-04-07 14:40:15.517641 True [    7724.573535] 0003 0036 00000530
2022-04-07 14:40:15.526354 True [    7724.581959] 0003 0035 00000390
2022-04-07 14:40:15.526354 True [    7724.581959] 0003 0036 00000532
2022-04-07 14:40:15.534508 True [    7724.590153] 0003 0035 00000395
2022-04-07 14:40:15.534508 True [    7724.590153] 0003 0036 00000536
2022-04-07 14:40:15.543038 True [    7724.598557] 0003 0035 00000399
2022-04-07 14:40:15.543038 True [    7724.598557] 0003 0036 00000539
2022-04-07 14:40:15.550874 True [    7724.606765] 0003 0035 000003a0
2022-04-07 14:40:15.550874 True [    7724.606765] 0003 0036 0000053d
2022-04-07 14:40:15.559159 True [    7724.615203] 0003 0035 000003a5
2022-04-07 14:40:15.559159 True [    7724.615203] 0003 0036 0000053f
2022-04-07 14:40:15.568125 True [    7724.623412] 0003 0035 000003ab
2022-04-07 14:40:15.568125 True [    7724.623412] 0003 0036 00000543
2022-04-07 14:40:15.575917 True [    7724.631809] 0003 0035 000003b2
2022-04-07 14:40:15.575917 True [    7724.631809] 0003 0036 00000545
2022-04-07 14:40:15.585362 True [    7724.640197] 0003 0035 000003b8
2022-04-07 14:40:15.585362 True [    7724.640197] 0003 0036 00000547
2022-04-07 14:40:15.592869 True [    7724.648479] 0003 0035 000003be
2022-04-07 14:40:15.592869 True [    7724.648479] 0003 0036 00000549
2022-04-07 14:40:15.601569 True [    7724.656624] 0003 0035 000003c3
2022-04-07 14:40:15.601569 True [    7724.656624] 0003 0036 0000054b
2022-04-07 14:40:15.609341 True [    7724.665069] 0003 0035 000003cb
2022-04-07 14:40:15.609341 True [    7724.665069] 0003 0036 0000054e
2022-04-07 14:40:15.617541 True [    7724.673221] 0003 0035 000003d1
2022-04-07 14:40:15.617541 True [    7724.673221] 0003 0036 00000550
2022-04-07 14:40:15.626560 True [    7724.681672] 0003 0035 000003dd
2022-04-07 14:40:15.626560 True [    7724.681672] 0003 0036 00000554
2022-04-07 14:40:15.634740 True [    7724.689897] 0003 0035 000003e4
2022-04-07 14:40:15.634740 True [    7724.689897] 0003 0036 00000556
2022-04-07 14:40:15.643177 True [    7724.698284] 0003 0035 000003ec
2022-04-07 14:40:15.643177 True [    7724.698284] 0003 0036 0000055a
2022-04-07 14:40:15.650726 True [    7724.706493] 0003 0035 000003f2
2022-04-07 14:40:15.650726 True [    7724.706493] 0003 0036 0000055d
2022-04-07 14:40:15.659391 True [    7724.714936] 0003 0035 000003f8
2022-04-07 14:40:15.659391 True [    7724.714936] 0003 0036 0000055f
2022-04-07 14:40:15.667543 True [    7724.723113] 0003 0035 000003fd
2022-04-07 14:40:15.667543 True [    7724.723113] 0003 0036 00000562
2022-04-07 14:40:15.676644 True [    7724.731543] 0003 0035 00000408
2022-04-07 14:40:15.676644 True [    7724.731543] 0003 0036 00000567
2022-04-07 14:40:15.685105 True [    7724.739722] 0003 0035 00000412
2022-04-07 14:40:15.685105 True [    7724.739722] 0003 0036 0000056a
2022-04-07 14:40:15.692319 True [    7724.748115] 0003 0035 0000041a
2022-04-07 14:40:15.692319 True [    7724.748115] 0003 0036 0000056c
2022-04-07 14:40:15.701410 True [    7724.756433] 0003 0035 0000041f
2022-04-07 14:40:15.701410 True [    7724.756433] 0003 0036 0000056f
2022-04-07 14:40:15.708753 True [    7724.764810] 0003 0035 00000423
2022-04-07 14:40:15.708753 True [    7724.764810] 0003 0036 00000571
2022-04-07 14:40:15.716826 True [    7724.772929] 0003 0035 00000428
2022-04-07 14:40:15.716826 True [    7724.772929] 0003 0036 00000573
2022-04-07 14:40:15.725560 True [    7724.781385] 0003 0035 0000042b
2022-04-07 14:40:15.725560 True [    7724.781385] 0003 0036 00000574
2022-04-07 14:40:15.733909 True [    7724.789599] 0003 0035 00000432
2022-04-07 14:40:15.733909 True [    7724.789599] 0003 0036 00000576
2022-04-07 14:40:15.741970 True [    7724.797986] 0003 0035 00000437
2022-04-07 14:40:15.741970 True [    7724.797986] 0003 0036 00000578
2022-04-07 14:40:15.750592 True [    7724.806214] 0003 0035 0000043c
2022-04-07 14:40:15.750592 True [    7724.806214] 0003 0036 0000057a
2022-04-07 14:40:15.758618 True [    7724.814631] 0003 0035 0000043f
2022-04-07 14:40:15.766762 True [    7724.822812] 0003 0035 00000446
2022-04-07 14:40:15.766762 True [    7724.822812] 0003 0036 0000057b
2022-04-07 14:40:15.775245 True [    7724.831205] 0003 0035 0000044b
2022-04-07 14:40:15.775245 True [    7724.831205] 0003 0036 0000057d
2022-04-07 14:40:15.784865 True [    7724.839437] 0003 0035 00000450
2022-04-07 14:40:15.784865 True [    7724.839437] 0003 0036 0000057e
2022-04-07 14:40:15.791897 True [    7724.847865] 0003 0035 00000454
2022-04-07 14:40:15.791897 True [    7724.847865] 0003 0036 0000057f
2022-04-07 14:40:15.800345 True [    7724.856055] 0003 0035 00000456
2022-04-07 14:40:15.810169 True [    7724.864547] 0003 0035 0000045b
2022-04-07 14:40:15.810169 True [    7724.864547] 0003 0036 00000580
2022-04-07 14:40:15.817094 True [    7724.872797] 0003 0035 00000462
2022-04-07 14:40:15.817094 True [    7724.872797] 0003 0036 00000581
2022-04-07 14:40:15.825562 True [    7724.881077] 0003 0035 00000467
2022-04-07 14:40:15.825562 True [    7724.881077] 0003 0036 00000582
2022-04-07 14:40:15.834020 True [    7724.889327] 0003 0035 0000046b
2022-04-07 14:40:15.834020 True [    7724.889327] 0003 0036 00000583
2022-04-07 14:40:15.843561 True [    7724.897724] 0003 0035 0000046f
2022-04-07 14:40:15.843561 True [    7724.897724] 0003 0036 00000585
2022-04-07 14:40:15.850149 True [    7724.905879] 0003 0035 00000473
2022-04-07 14:40:15.858969 True [    7724.914293] 0003 0035 00000479
2022-04-07 14:40:15.858969 True [    7724.914293] 0003 0036 00000587
2022-04-07 14:40:15.867215 True [    7724.922526] 0003 0035 0000047e
2022-04-07 14:40:15.867215 True [    7724.922526] 0003 0036 00000588
2022-04-07 14:40:15.875727 True [    7724.930928] 0003 0035 00000482
2022-04-07 14:40:15.875727 True [    7724.930928] 0003 0036 0000058b
2022-04-07 14:40:15.884643 True [    7724.939142] 0003 0035 00000486
2022-04-07 14:40:15.884643 True [    7724.939142] 0003 0036 0000058e
2022-04-07 14:40:15.893093 True [    7724.947612] 0003 0035 00000489
2022-04-07 14:40:15.893093 True [    7724.947612] 0003 0036 0000058f
2022-04-07 14:40:15.899902 True [    7724.955759] 0003 0035 0000048d
2022-04-07 14:40:15.899902 True [    7724.955759] 0003 0036 00000593
2022-04-07 14:40:15.909254 False [    7724.964317] 0003 0035 00000490
2022-04-07 14:40:15.909254 False [    7724.964317] 0003 0036 00000595
2022-04-07 14:40:15.917041 False [    7724.972378] 0003 0035 00000495
2022-04-07 14:40:15.917041 False [    7724.972378] 0003 0036 0000059c
2022-04-07 14:40:15.925385 False [    7724.980998] 0003 0035 0000049d
2022-04-07 14:40:15.925385 False [    7724.980998] 0003 0036 000005a3
2022-04-07 14:40:15.934101 False [    7724.989057] 0003 0035 000004a2
2022-04-07 14:40:15.934101 False [    7724.989057] 0003 0036 000005a8
2022-04-07 14:40:15.942157 False [    7724.997436] 0003 0035 000004a8
2022-04-07 14:40:15.942157 False [    7724.997436] 0003 0036 000005ae
2022-04-07 14:40:15.951660 False [    7725.005576] 0003 0035 000004b3
2022-04-07 14:40:15.951660 False [    7725.005576] 0003 0036 000005b5
2022-04-07 14:40:15.958674 False [    7725.014001] 0003 0035 000004ba
2022-04-07 14:40:15.958674 False [    7725.014001] 0003 0036 000005be
2022-04-07 14:40:15.967108 False [    7725.022221] 0003 0035 000004c0
2022-04-07 14:40:15.967108 False [    7725.022221] 0003 0036 000005c2
2022-04-07 14:40:15.975012 False [    7725.030670] 0003 0035 000004c7
2022-04-07 14:40:15.975012 False [    7725.030670] 0003 0036 000005cd
2022-04-07 14:40:15.983539 False [    7725.038824] 0003 0035 000004d0
2022-04-07 14:40:15.983539 False [    7725.038824] 0003 0036 000005d5
2022-04-07 14:40:15.992625 False [    7725.047277] 0003 0035 000004d6
2022-04-07 14:40:15.992625 False [    7725.047277] 0003 0036 000005db
2022-04-07 14:40:15.999363 False [    7725.055444] 0003 0035 000004dc
2022-04-07 14:40:15.999363 False [    7725.055444] 0003 0036 000005e0
2022-04-07 14:40:16.007308 False [    7725.063842] 0003 0035 000004e3
2022-04-07 14:40:16.007308 False [    7725.063842] 0003 0036 000005e5
2022-04-07 14:40:16.016341 False [    7725.072093] 0003 0035 000004e9
2022-04-07 14:40:16.016341 False [    7725.072093] 0003 0036 000005eb
2022-04-07 14:40:16.024795 False [    7725.080587] 0003 0035 000004ee
