Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.2787713170649056 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:43:43.694978 True [    1757.242742] 0003 0035 00000359
2022-04-06 14:43:43.704752 True [    1757.252140] 0003 0035 0000035c
2022-04-06 14:43:43.711853 True [    1757.259607] 0003 0035 0000035f
2022-04-06 14:43:43.720681 True [    1757.268423] 0003 0035 00000363
2022-04-06 14:43:43.728767 True [    1757.276286] 0003 0035 00000366
2022-04-06 14:43:43.737047 True [    1757.284298] 0003 0035 00000369
2022-04-06 14:43:43.745076 True [    1757.292619] 0003 0035 0000036d
2022-04-06 14:43:43.753696 True [    1757.301031] 0003 0035 00000372
2022-04-06 14:43:43.761761 True [    1757.309060] 0003 0035 00000376
2022-04-06 14:43:43.771753 True [    1757.318631] 0003 0035 0000037a
2022-04-06 14:43:43.778596 True [    1757.326095] 0003 0035 0000037e
2022-04-06 14:43:43.788599 True [    1757.334477] 0003 0035 00000383
2022-04-06 14:43:43.794874 True [    1757.342291] 0003 0035 00000387
2022-04-06 14:43:43.804630 True [    1757.351899] 0003 0035 0000038a
2022-04-06 14:43:43.811008 True [    1757.359055] 0003 0035 0000038d
2022-04-06 14:43:43.821710 True [    1757.368846] 0003 0035 00000391
2022-04-06 14:43:43.829189 True [    1757.376157] 0003 0035 00000394
2022-04-06 14:43:43.829189 True [    1757.376157] 0003 0036 000003e4
2022-04-06 14:43:43.837671 True [    1757.384852] 0003 0035 00000398
2022-04-06 14:43:43.845838 True [    1757.392332] 0003 0035 0000039b
2022-04-06 14:43:43.845838 True [    1757.392332] 0003 0036 000003e5
2022-04-06 14:43:43.855207 True [    1757.401796] 0003 0035 0000039e
2022-04-06 14:43:43.855207 True [    1757.401796] 0003 0036 000003e6
2022-04-06 14:43:43.861910 True [    1757.408931] 0003 0035 000003a1
2022-04-06 14:43:43.871742 True [    1757.418414] 0003 0035 000003a4
2022-04-06 14:43:43.871742 True [    1757.418414] 0003 0036 000003e7
2022-04-06 14:43:43.879393 True [    1757.425357] 0003 0035 000003a7
2022-04-06 14:43:43.879393 True [    1757.425357] 0003 0036 000003e8
2022-04-06 14:43:43.886557 True [    1757.434022] 0003 0035 000003ab
2022-04-06 14:43:43.887833 True [    1757.434022] 0003 0036 000003e9
2022-04-06 14:43:43.894555 True [    1757.441975] 0003 0035 000003ad
2022-04-06 14:43:43.895448 True [    1757.441975] 0003 0036 000003ea
2022-04-06 14:43:43.903944 True [    1757.450854] 0003 0035 000003af
2022-04-06 14:43:43.903944 True [    1757.450854] 0003 0036 000003eb
2022-04-06 14:43:43.910738 True [    1757.458571] 0003 0035 000003b2
2022-04-06 14:43:43.919658 True [    1757.467382] 0003 0035 000003b4
2022-04-06 14:43:43.919658 True [    1757.467382] 0003 0036 000003ec
2022-04-06 14:43:43.928273 True [    1757.475596] 0003 0035 000003b6
2022-04-06 14:43:43.928939 True [    1757.475596] 0003 0036 000003ed
2022-04-06 14:43:43.936521 True [    1757.484335] 0003 0035 000003b8
2022-04-06 14:43:43.944272 True [    1757.492068] 0003 0035 000003b9
2022-04-06 14:43:43.945381 True [    1757.492068] 0003 0036 000003ee
2022-04-06 14:43:43.953076 True [    1757.500616] 0003 0035 000003bb
2022-04-06 14:43:43.953860 True [    1757.500616] 0003 0036 000003ef
2022-04-06 14:43:43.960759 True [    1757.508868] 0003 0035 000003bc
2022-04-06 14:43:43.970685 True [    1757.517795] 0003 0035 000003bd
2022-04-06 14:43:43.977647 True [    1757.525305] 0003 0035 000003bf
2022-04-06 14:43:43.978651 True [    1757.525305] 0003 0036 000003f0
2022-04-06 14:43:43.986192 True [    1757.533744] 0003 0035 000003c0
2022-04-06 14:43:43.987123 True [    1757.533744] 0003 0036 000003f1
2022-04-06 14:43:44.003745 True [    1757.550985] 0003 0035 000003c1
2022-04-06 14:43:44.005452 True [    1757.550985] 0003 0036 000003f2
2022-04-06 14:43:44.011369 True [    1757.558688] 0003 0035 000003c2
2022-04-06 14:43:44.011369 True [    1757.558688] 0003 0036 000003f3
2022-04-06 14:43:44.019774 True [    1757.567526] 0003 0035 000003c3
2022-04-06 14:43:44.027350 True [    1757.574943] 0003 0035 000003c4
2022-04-06 14:43:44.037123 True [    1757.584657] 0003 0036 000003f4
2022-04-06 14:43:44.044150 True [    1757.591587] 0003 0035 000003c5
2022-04-06 14:43:44.053771 True [    1757.600950] 0003 0035 000003c6
2022-04-06 14:43:44.053771 True [    1757.600950] 0003 0036 000003f5
2022-04-06 14:43:44.070682 True [    1757.617955] 0003 0035 000003c7
2022-04-06 14:43:44.077468 True [    1757.625027] 0003 0036 000003f6
2022-04-06 14:43:44.094756 True [    1757.641421] 0003 0036 000003f7
2022-04-06 14:43:44.102626 True [    1757.650191] 0003 0035 000003c8
2022-04-06 14:43:44.110980 True [    1757.658030] 0003 0036 000003f8
2022-04-06 14:43:44.120688 True [    1757.667621] 0003 0036 000003f9
2022-04-06 14:43:44.128202 True [    1757.675195] 0003 0035 000003c9
2022-04-06 14:43:44.144598 True [    1757.691835] 0003 0036 000003fa
2022-04-06 14:43:44.153790 True [    1757.701490] 0003 0036 000003fb
2022-04-06 14:43:44.170233 True [    1757.717423] 0003 0035 000003c8
2022-04-06 14:43:44.170233 True [    1757.717423] 0003 0036 000003fd
2022-04-06 14:43:44.177241 True [    1757.724746] 0003 0036 000003fe
2022-04-06 14:43:44.186850 True [    1757.734109] 0003 0035 000003c7
2022-04-06 14:43:44.186850 True [    1757.734109] 0003 0036 000003ff
2022-04-06 14:43:44.193676 True [    1757.741402] 0003 0036 00000401
2022-04-06 14:43:44.203403 True [    1757.750798] 0003 0035 000003c6
2022-04-06 14:43:44.203403 True [    1757.750798] 0003 0036 00000403
2022-04-06 14:43:44.210683 True [    1757.758009] 0003 0035 000003c4
2022-04-06 14:43:44.210683 True [    1757.758009] 0003 0036 00000404
2022-04-06 14:43:44.218925 True [    1757.766330] 0003 0035 000003c1
2022-04-06 14:43:44.218925 True [    1757.766330] 0003 0036 00000406
2022-04-06 14:43:44.226479 True [    1757.774532] 0003 0035 000003bf
2022-04-06 14:43:44.226479 True [    1757.774532] 0003 0036 00000409
2022-04-06 14:43:44.235740 True [    1757.783304] 0003 0035 000003bd
2022-04-06 14:43:44.236780 True [    1757.783304] 0003 0036 0000040a
2022-04-06 14:43:44.243350 True [    1757.791023] 0003 0035 000003b9
2022-04-06 14:43:44.243350 True [    1757.791023] 0003 0036 0000040d
2022-04-06 14:43:44.253802 True [    1757.801795] 0003 0035 000003b6
2022-04-06 14:43:44.253802 True [    1757.801795] 0003 0036 0000040f
2022-04-06 14:43:44.259861 True [    1757.807834] 0003 0035 000003b2
2022-04-06 14:43:44.260681 True [    1757.807834] 0003 0036 00000412
2022-04-06 14:43:44.269410 True [    1757.816357] 0003 0035 000003af
2022-04-06 14:43:44.269410 True [    1757.816357] 0003 0036 00000414
2022-04-06 14:43:44.277095 True [    1757.824900] 0003 0035 000003ac
2022-04-06 14:43:44.277095 True [    1757.824900] 0003 0036 00000415
2022-04-06 14:43:44.285586 True [    1757.833592] 0003 0035 000003a9
2022-04-06 14:43:44.285586 True [    1757.833592] 0003 0036 00000417
2022-04-06 14:43:44.293466 True [    1757.840906] 0003 0035 000003a6
2022-04-06 14:43:44.293466 True [    1757.840906] 0003 0036 00000418
2022-04-06 14:43:44.301932 True [    1757.849311] 0003 0035 000003a3
2022-04-06 14:43:44.301932 True [    1757.849311] 0003 0036 00000419
2022-04-06 14:43:44.309922 True [    1757.857484] 0003 0035 000003a0
2022-04-06 14:43:44.309922 True [    1757.857484] 0003 0036 0000041a
2022-04-06 14:43:44.319023 True [    1757.865917] 0003 0035 0000039d
2022-04-06 14:43:44.319023 True [    1757.865917] 0003 0036 0000041c
2022-04-06 14:43:44.326922 True [    1757.874113] 0003 0035 00000398
2022-04-06 14:43:44.326922 True [    1757.874113] 0003 0036 0000041e
2022-04-06 14:43:44.334959 True [    1757.882513] 0003 0035 00000394
2022-04-06 14:43:44.334959 True [    1757.882513] 0003 0036 0000041f
2022-04-06 14:43:44.342770 True [    1757.890714] 0003 0035 00000390
2022-04-06 14:43:44.342770 True [    1757.890714] 0003 0036 00000420
2022-04-06 14:43:44.351630 True [    1757.899153] 0003 0035 0000038d
2022-04-06 14:43:44.351630 True [    1757.899153] 0003 0036 00000421
2022-04-06 14:43:44.359425 True [    1757.907333] 0003 0035 00000389
2022-04-06 14:43:44.359425 True [    1757.907333] 0003 0036 00000422
2022-04-06 14:43:44.367850 True [    1757.915739] 0003 0035 00000385
2022-04-06 14:43:44.367850 True [    1757.915739] 0003 0036 00000423
2022-04-06 14:43:44.376773 True [    1757.924171] 0003 0035 00000381
2022-04-06 14:43:44.376773 True [    1757.924171] 0003 0036 00000424
2022-04-06 14:43:44.386406 True [    1757.933534] 0003 0035 0000037c
2022-04-06 14:43:44.393736 True [    1757.940750] 0003 0035 00000379
2022-04-06 14:43:44.401943 True [    1757.949198] 0003 0035 00000374
2022-04-06 14:43:44.410717 True [    1757.957345] 0003 0035 0000036f
2022-04-06 14:43:44.410717 True [    1757.957345] 0003 0036 00000425
2022-04-06 14:43:44.418319 True [    1757.966080] 0003 0035 0000036b
2022-04-06 14:43:44.427148 True [    1757.974436] 0003 0035 00000366
2022-04-06 14:43:44.435040 True [    1757.982499] 0003 0035 00000361
2022-04-06 14:43:44.442081 True [    1757.990476] 0003 0035 0000035d
2022-04-06 14:43:44.452865 True [    1758.000088] 0003 0035 00000359
2022-04-06 14:43:44.459758 True [    1758.007018] 0003 0035 00000356
