Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.97733540518634 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:26:57.468069 False [   19394.540662] 0003 0035 00000427
2022-03-16 15:26:57.468069 False [   19394.540662] 0003 0036 0000004c
2022-03-16 15:26:57.481785 False [   19394.557517] 0003 0035 00000427
2022-03-16 15:26:57.482802 False [   19394.557517] 0003 0036 0000004c
2022-03-16 15:26:57.500040 False [   19394.575344] 0003 0035 00000427
2022-03-16 15:26:57.505273 False [   19394.575344] 0003 0036 0000004c
2022-03-16 15:26:57.520847 False [   19394.592075] 0003 0035 00000427
2022-03-16 15:26:57.520847 False [   19394.592075] 0003 0036 0000004c
2022-03-16 15:26:57.533807 False [   19394.609236] 0003 0035 00000427
2022-03-16 15:26:57.533807 False [   19394.609236] 0003 0036 0000004c
2022-03-16 15:26:57.558025 False [   19394.626033] 0003 0035 00000427
2022-03-16 15:26:57.558025 False [   19394.626033] 0003 0036 0000004c
2022-03-16 15:26:57.571988 False [   19394.643151] 0003 0035 00000427
2022-03-16 15:26:57.571988 False [   19394.643151] 0003 0036 0000004c
2022-03-16 15:26:57.589016 False [   19394.659630] 0003 0035 00000427
2022-03-16 15:26:57.589016 False [   19394.659630] 0003 0036 0000004c
2022-03-16 15:26:57.602273 False [   19394.675544] 0003 0035 00000427
2022-03-16 15:26:57.602273 False [   19394.675544] 0003 0036 0000004c
2022-03-16 15:26:57.618143 False [   19394.693958] 0003 0035 00000427
2022-03-16 15:26:57.618143 False [   19394.693958] 0003 0036 0000004c
2022-03-16 15:26:57.640048 False [   19394.710183] 0003 0035 00000427
2022-03-16 15:26:57.640048 False [   19394.710183] 0003 0036 0000004c
2022-03-16 15:26:57.654934 False [   19394.726850] 0003 0035 00000427
2022-03-16 15:26:57.654934 False [   19394.726850] 0003 0036 0000004c
2022-03-16 15:26:57.672084 False [   19394.743994] 0003 0035 00000427
2022-03-16 15:26:57.672084 False [   19394.743994] 0003 0036 0000004c
2022-03-16 15:26:57.690692 False [   19394.761176] 0003 0035 00000427
2022-03-16 15:26:57.690692 False [   19394.761176] 0003 0036 0000004c
2022-03-16 15:26:57.703174 False [   19394.777221] 0003 0035 00000427
2022-03-16 15:26:57.703174 False [   19394.777221] 0003 0036 0000004c
2022-03-16 15:26:57.725103 False [   19394.795491] 0003 0035 00000427
2022-03-16 15:26:57.725103 False [   19394.795491] 0003 0036 0000004c
2022-03-16 15:26:57.736728 False [   19394.811786] 0003 0035 00000427
2022-03-16 15:26:57.736728 False [   19394.811786] 0003 0036 0000004c
2022-03-16 15:26:57.754838 False [   19394.829187] 0003 0035 00000427
2022-03-16 15:26:57.754838 False [   19394.829187] 0003 0036 0000004c
2022-03-16 15:26:57.775416 False [   19394.845732] 0003 0035 00000427
