Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:21:22.838751 False [  157606.007904] 0003 0036 000003a2
2022-04-02 17:21:22.847576 False [  157606.016295] 0003 0035 00000542
2022-04-02 17:21:22.847576 False [  157606.016295] 0003 0036 000003a6
2022-04-02 17:21:22.854217 False [  157606.024547] 0003 0035 00000540
2022-04-02 17:21:22.854217 False [  157606.024547] 0003 0036 000003aa
2022-04-02 17:21:22.863484 False [  157606.032877] 0003 0035 0000053e
2022-04-02 17:21:22.863484 False [  157606.032877] 0003 0036 000003ad
2022-04-02 17:21:22.871596 False [  157606.041061] 0003 0035 0000053c
2022-04-02 17:21:22.871596 False [  157606.041061] 0003 0036 000003b0
2022-04-02 17:21:22.880627 False [  157606.049640] 0003 0035 0000053a
2022-04-02 17:21:22.880627 False [  157606.049640] 0003 0036 000003b5
2022-04-02 17:21:22.888501 False [  157606.057664] 0003 0035 00000538
2022-04-02 17:21:22.888501 False [  157606.057664] 0003 0036 000003b8
2022-04-02 17:21:22.896339 False [  157606.066206] 0003 0035 00000536
2022-04-02 17:21:22.896339 False [  157606.066206] 0003 0036 000003bb
2022-04-02 17:21:22.906193 False [  157606.074311] 0003 0035 00000534
2022-04-02 17:21:22.906193 False [  157606.074311] 0003 0036 000003bf
2022-04-02 17:21:22.912994 False [  157606.082794] 0003 0035 00000531
2022-04-02 17:21:22.912994 False [  157606.082794] 0003 0036 000003c3
2022-04-02 17:21:22.921821 False [  157606.090952] 0003 0035 0000052f
2022-04-02 17:21:22.921821 False [  157606.090952] 0003 0036 000003c7
2022-04-02 17:21:22.931141 False [  157606.099365] 0003 0035 0000052c
2022-04-02 17:21:22.931141 False [  157606.099365] 0003 0036 000003cb
2022-04-02 17:21:22.937910 False [  157606.107583] 0003 0035 00000529
2022-04-02 17:21:22.937910 False [  157606.107583] 0003 0036 000003d0
2022-04-02 17:21:22.947205 False [  157606.115979] 0003 0035 00000527
2022-04-02 17:21:22.947205 False [  157606.115979] 0003 0036 000003d5
2022-04-02 17:21:22.957372 False [  157606.124292] 0003 0035 00000523
2022-04-02 17:21:22.957372 False [  157606.124292] 0003 0036 000003dd
2022-04-02 17:21:22.967006 False [  157606.132685] 0003 0035 0000051f
2022-04-02 17:21:22.967006 False [  157606.132685] 0003 0036 000003e2
2022-04-02 17:21:22.973238 False [  157606.140909] 0003 0035 0000051c
2022-04-02 17:21:22.974219 False [  157606.140909] 0003 0036 000003e8
2022-04-02 17:21:22.980379 False [  157606.149434] 0003 0035 0000051a
2022-04-02 17:21:22.980379 False [  157606.149434] 0003 0036 000003ec
2022-04-02 17:21:22.987828 False [  157606.157427] 0003 0035 00000517
2022-04-02 17:21:22.987828 False [  157606.157427] 0003 0036 000003ef
2022-04-02 17:21:22.998573 False [  157606.165934] 0003 0035 00000513
2022-04-02 17:21:22.998573 False [  157606.165934] 0003 0036 000003f3
2022-04-02 17:21:23.005267 False [  157606.174084] 0003 0035 00000510
2022-04-02 17:21:23.005267 False [  157606.174084] 0003 0036 000003f6
2022-04-02 17:21:23.011744 False [  157606.182449] 0003 0035 0000050d
2022-04-02 17:21:23.011744 False [  157606.182449] 0003 0036 000003f9
2022-04-02 17:21:23.020598 False [  157606.190673] 0003 0035 0000050b
2022-04-02 17:21:23.020598 False [  157606.190673] 0003 0036 000003fc
2022-04-02 17:21:23.031957 False [  157606.199088] 0003 0035 00000508
2022-04-02 17:21:23.031957 False [  157606.199088] 0003 0036 000003ff
2022-04-02 17:21:23.039348 False [  157606.207342] 0003 0035 00000505
2022-04-02 17:21:23.039348 True [  157606.207342] 0003 0036 00000404
2022-04-02 17:21:23.045090 True [  157606.215729] 0003 0035 00000503
2022-04-02 17:21:23.046001 True [  157606.215729] 0003 0036 00000407
2022-04-02 17:21:23.053148 True [  157606.223900] 0003 0035 00000501
2022-04-02 17:21:23.053148 True [  157606.223900] 0003 0036 0000040b
2022-04-02 17:21:23.064278 True [  157606.232396] 0003 0035 000004ff
2022-04-02 17:21:23.064278 True [  157606.232396] 0003 0036 0000040e
2022-04-02 17:21:23.071865 True [  157606.240740] 0003 0035 000004fe
2022-04-02 17:21:23.071865 True [  157606.240740] 0003 0036 00000411
2022-04-02 17:21:23.080317 True [  157606.248977] 0003 0035 000004fc
2022-04-02 17:21:23.080317 True [  157606.248977] 0003 0036 00000414
2022-04-02 17:21:23.087549 True [  157606.257134] 0003 0035 000004fb
2022-04-02 17:21:23.087549 True [  157606.257134] 0003 0036 00000418
2022-04-02 17:21:23.101159 True [  157606.265599] 0003 0035 000004fa
2022-04-02 17:21:23.101159 True [  157606.265599] 0003 0036 0000041b
2022-04-02 17:21:23.114267 True [  157606.282337] 0003 0035 000004f8
2022-04-02 17:21:23.114267 True [  157606.282337] 0003 0036 0000041f
2022-04-02 17:21:23.120432 True [  157606.290411] 0003 0035 000004f7
2022-04-02 17:21:23.120432 True [  157606.290411] 0003 0036 00000424
2022-04-02 17:21:23.130452 True [  157606.298899] 0003 0036 00000427
2022-04-02 17:21:23.137446 True [  157606.307000] 0003 0035 000004f5
2022-04-02 17:21:23.137446 True [  157606.307000] 0003 0036 00000429
2022-04-02 17:21:23.146914 True [  157606.315465] 0003 0035 000004f3
2022-04-02 17:21:23.146914 True [  157606.315465] 0003 0036 0000042d
2022-04-02 17:21:23.154574 True [  157606.323669] 0003 0035 000004f2
2022-04-02 17:21:23.154574 True [  157606.323669] 0003 0036 00000430
2022-04-02 17:21:23.163585 True [  157606.332066] 0003 0035 000004f0
2022-04-02 17:21:23.163585 True [  157606.332066] 0003 0036 00000433
2022-04-02 17:21:23.171904 True [  157606.340460] 0003 0035 000004ef
2022-04-02 17:21:23.171904 True [  157606.340460] 0003 0036 00000436
2022-04-02 17:21:23.180922 True [  157606.348716] 0003 0035 000004ed
2022-04-02 17:21:23.180922 True [  157606.348716] 0003 0036 00000439
2022-04-02 17:21:23.198000 True [  157606.365530] 0003 0036 0000043c
2022-04-02 17:21:23.206923 True [  157606.373581] 0003 0036 00000440
2022-04-02 17:21:23.213824 True [  157606.382181] 0003 0035 000004eb
2022-04-02 17:21:23.213824 True [  157606.382181] 0003 0036 00000447
2022-04-02 17:21:23.221558 True [  157606.390263] 0003 0035 000004ea
2022-04-02 17:21:23.221558 True [  157606.390263] 0003 0036 0000044c
2022-04-02 17:21:23.231823 True [  157606.398663] 0003 0035 000004e9
2022-04-02 17:21:23.231823 True [  157606.398663] 0003 0036 00000450
2022-04-02 17:21:23.238071 True [  157606.406760] 0003 0035 000004e8
2022-04-02 17:21:23.238071 True [  157606.406760] 0003 0036 00000454
2022-04-02 17:21:23.255677 True [  157606.423393] 0003 0035 000004e7
2022-04-02 17:21:23.255677 True [  157606.423393] 0003 0036 00000457
2022-04-02 17:21:23.265098 True [  157606.431813] 0003 0035 000004e6
2022-04-02 17:21:23.265098 True [  157606.431813] 0003 0036 0000045a
2022-04-02 17:21:23.271923 True [  157606.440193] 0003 0036 0000045b
2022-04-02 17:21:23.286121 True [  157606.448401] 0003 0036 0000045c
2022-04-02 17:21:23.291383 True [  157606.456820] 0003 0036 0000045d
