Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:51.539840 True [    1423.950903] 0003 0035 00000391
2022-04-06 14:33:51.539840 True [    1423.950903] 0003 0036 000003ce
2022-04-06 14:33:51.549627 True [    1423.959131] 0003 0036 000003cc
2022-04-06 14:33:51.557802 True [    1423.967605] 0003 0035 00000390
2022-04-06 14:33:51.557802 True [    1423.967605] 0003 0036 000003cb
2022-04-06 14:33:51.565856 True [    1423.975819] 0003 0036 000003ca
2022-04-06 14:33:51.572704 True [    1423.984305] 0003 0035 0000038f
2022-04-06 14:33:51.572704 True [    1423.984305] 0003 0036 000003c8
2022-04-06 14:33:51.588930 True [    1424.000892] 0003 0035 0000038e
2022-04-06 14:33:51.588930 True [    1424.000892] 0003 0036 000003c7
2022-04-06 14:33:51.597971 True [    1424.009137] 0003 0036 000003c6
2022-04-06 14:33:51.606302 True [    1424.017620] 0003 0036 000003c5
2022-04-06 14:33:51.616026 True [    1424.025884] 0003 0036 000003c4
2022-04-06 14:33:51.640611 True [    1424.050979] 0003 0036 000003c3
2022-04-06 14:33:51.648908 True [    1424.059133] 0003 0036 000003c2
2022-04-06 14:33:51.665922 True [    1424.075867] 0003 0036 000003c1
2022-04-06 14:33:51.674007 True [    1424.084280] 0003 0036 000003c0
2022-04-06 14:33:51.683753 True [    1424.092750] 0003 0036 000003bf
2022-04-06 14:33:51.711597 True [    1424.117744] 0003 0036 000003be
2022-04-06 14:33:51.716001 True [    1424.125903] 0003 0036 000003bd
2022-04-06 14:33:51.723848 True [    1424.134250] 0003 0036 000003bc
2022-04-06 14:33:51.740262 True [    1424.150963] 0003 0036 000003bb
2022-04-06 14:33:51.749321 True [    1424.159154] 0003 0036 000003ba
2022-04-06 14:33:51.773524 True [    1424.184304] 0003 0036 000003b9
2022-04-06 14:33:51.782207 True [    1424.192527] 0003 0036 000003b8
2022-04-06 14:33:51.792210 True [    1424.201018] 0003 0036 000003b7
2022-04-06 14:33:51.798867 True [    1424.209195] 0003 0036 000003b6
2022-04-06 14:33:51.807185 True [    1424.217630] 0003 0035 0000038d
2022-04-06 14:33:51.807185 True [    1424.217630] 0003 0036 000003b5
2022-04-06 14:33:51.824523 True [    1424.234318] 0003 0036 000003b4
2022-04-06 14:33:51.832672 True [    1424.242497] 0003 0036 000003b2
2022-04-06 14:33:51.843727 True [    1424.250940] 0003 0035 0000038c
2022-04-06 14:33:51.843727 True [    1424.250940] 0003 0036 000003b0
2022-04-06 14:33:51.849282 True [    1424.259201] 0003 0036 000003af
2022-04-06 14:33:51.866217 True [    1424.275852] 0003 0035 0000038b
2022-04-06 14:33:51.866217 True [    1424.275852] 0003 0036 000003ae
2022-04-06 14:33:51.874469 True [    1424.284307] 0003 0036 000003ac
2022-04-06 14:33:51.881708 True [    1424.292559] 0003 0036 000003ab
2022-04-06 14:33:51.891191 True [    1424.301078] 0003 0036 000003aa
2022-04-06 14:33:51.907345 True [    1424.317604] 0003 0036 000003a8
2022-04-06 14:33:51.917166 True [    1424.326055] 0003 0036 000003a7
2022-04-06 14:33:51.924574 True [    1424.334294] 0003 0036 000003a5
2022-04-06 14:33:51.932382 True [    1424.342485] 0003 0036 000003a4
2022-04-06 14:33:51.940352 True [    1424.350931] 0003 0036 000003a3
2022-04-06 14:33:51.949441 True [    1424.359214] 0003 0036 000003a1
