Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.113634001116318 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:12:52.909254 True [   71644.456499] 0003 0035 00000277
2022-03-03 19:12:52.926908 True [   71644.473486] 0003 0035 00000289
2022-03-03 19:12:52.943896 True [   71644.490485] 0003 0035 00000299
2022-03-03 19:12:52.963877 True [   71644.507325] 0003 0035 000002a8
2022-03-03 19:12:52.979979 True [   71644.524937] 0003 0035 000002b6
2022-03-03 19:12:52.997015 True [   71644.541243] 0003 0035 000002c4
2022-03-03 19:12:53.012969 True [   71644.557997] 0003 0035 000002d1
2022-03-03 19:12:53.028074 True [   71644.574920] 0003 0035 000002de
2022-03-03 19:12:53.045656 True [   71644.591810] 0003 0035 000002ea
2022-03-03 19:12:53.064366 True [   71644.609440] 0003 0035 000002f5
2022-03-03 19:12:53.080611 True [   71644.626662] 0003 0035 00000303
2022-03-03 19:12:53.096645 True [   71644.642657] 0003 0035 00000314
2022-03-03 19:12:53.113734 True [   71644.659578] 0003 0035 00000326
2022-03-03 19:12:53.131594 True [   71644.676529] 0003 0035 00000337
2022-03-03 19:12:53.150552 True [   71644.694163] 0003 0035 00000345
2022-03-03 19:12:53.165525 True [   71644.710360] 0003 0035 00000351
2022-03-03 19:12:53.184460 True [   71644.727645] 0003 0035 0000035b
2022-03-03 19:12:53.199420 True [   71644.744204] 0003 0035 00000363
2022-03-03 19:12:53.214501 True [   71644.760962] 0003 0035 0000036a
2022-03-03 19:12:53.370288 True [   71644.913939] 0003 0035 00000375
2022-03-03 19:12:53.386307 True [   71644.931595] 0003 0035 00000375
2022-03-03 19:12:53.405112 True [   71644.947683] 0003 0035 00000379
2022-03-03 19:12:53.419596 True [   71644.964239] 0003 0035 0000037d
2022-03-03 19:12:53.437183 True [   71644.981743] 0003 0035 00000380
2022-03-03 19:12:53.452913 True [   71644.998225] 0003 0035 00000380
2022-03-03 19:12:53.468651 True [   71645.015114] 0003 0035 0000037d
2022-03-03 19:12:53.503212 True [   71645.049320] 0003 0035 00000379
2022-03-03 19:12:53.520810 True [   71645.065866] 0003 0035 00000372
2022-03-03 19:12:53.537606 True [   71645.082744] 0003 0035 00000367
2022-03-03 19:12:53.554960 True [   71645.099597] 0003 0035 0000035a
2022-03-03 19:12:53.572908 True [   71645.117395] 0003 0035 0000034c
2022-03-03 19:12:53.620856 True [   71645.167459] 0003 0035 0000033c
2022-03-03 19:12:53.639352 True [   71645.184434] 0003 0035 00000324
2022-03-03 19:12:53.655432 True [   71645.201584] 0003 0035 00000306
2022-03-03 19:12:53.671775 True [   71645.218971] 0003 0035 000002e9
2022-03-03 19:12:53.688495 True [   71645.235199] 0003 0035 000002ce
2022-03-03 19:12:53.705912 True [   71645.251935] 0003 0035 000002b6
2022-03-03 19:12:53.721832 True [   71645.268857] 0003 0035 000002a0
2022-03-03 19:12:53.741265 True [   71645.285756] 0003 0035 0000028d
2022-03-03 19:12:53.756218 True [   71645.302811] 0003 0035 0000027d
2022-03-03 19:12:53.773254 True [   71645.319725] 0003 0035 0000026d
2022-03-03 19:12:53.790488 True [   71645.336873] 0003 0035 0000025b
2022-03-03 19:12:53.810160 True [   71645.354249] 0003 0035 00000248
2022-03-03 19:12:53.825752 True [   71645.370388] 0003 0035 00000237
2022-03-03 19:12:53.842129 True [   71645.387343] 0003 0035 00000229
2022-03-03 19:12:53.859081 True [   71645.404213] 0003 0035 0000021d
2022-03-03 19:12:53.909411 True [   71645.455185] 0003 0035 00000215
2022-03-03 19:12:53.926857 True [   71645.471898] 0003 0035 0000020f
2022-03-03 19:12:53.941997 True [   71645.488866] 0003 0035 0000020b
2022-03-03 19:12:53.961239 True [   71645.505851] 0003 0035 0000020b
2022-03-03 19:12:53.979209 True [   71645.523007] 0003 0035 0000020b
2022-03-03 19:12:53.995167 True [   71645.539804] 0003 0035 00000209
2022-03-03 19:12:54.009284 True [   71645.556504] 0003 0035 00000209
2022-03-03 19:12:54.027347 True [   71645.573461] 0003 0035 00000209
2022-03-03 19:12:54.043436 True [   71645.590390] 0003 0035 0000020b
2022-03-03 19:12:54.061395 True [   71645.607409] 0003 0035 0000020f
2022-03-03 19:12:54.078103 True [   71645.624496] 0003 0035 00000218
2022-03-03 19:12:54.095620 True [   71645.641158] 0003 0035 00000223
2022-03-03 19:12:54.113854 True [   71645.658842] 0003 0035 0000022e
2022-03-03 19:12:54.129855 True [   71645.675007] 0003 0035 00000239
2022-03-03 19:12:54.146358 True [   71645.691902] 0003 0035 00000244
2022-03-03 19:12:54.163315 True [   71645.709581] 0003 0035 00000252
2022-03-03 19:12:54.180028 True [   71645.726252] 0003 0035 00000264
2022-03-03 19:12:54.197823 True [   71645.742665] 0003 0035 00000278
2022-03-03 19:12:54.213066 True [   71645.759654] 0003 0035 0000028a
2022-03-03 19:12:54.230064 True [   71645.776932] 0003 0035 0000029a
2022-03-03 19:12:54.246702 True [   71645.793455] 0003 0035 000002aa
2022-03-03 19:12:54.264489 True [   71645.810406] 0003 0035 000002bc
2022-03-03 19:12:54.298335 True [   71645.844689] 0003 0035 000002d0
2022-03-03 19:12:54.316454 True [   71645.862111] 0003 0035 000002e3
2022-03-03 19:12:54.333206 True [   71645.877995] 0003 0035 000002f7
2022-03-03 19:12:54.348610 True [   71645.895086] 0003 0035 0000030d
2022-03-03 19:12:54.366569 True [   71645.911982] 0003 0035 00000322
2022-03-03 19:12:54.400867 True [   71645.946641] 0003 0035 00000334
2022-03-03 19:12:54.417532 True [   71645.963413] 0003 0035 00000342
2022-03-03 19:12:54.434141 True [   71645.979571] 0003 0035 0000034e
2022-03-03 19:12:54.450938 True [   71645.996769] 0003 0035 00000356
2022-03-03 19:12:54.466506 True [   71646.013749] 0003 0035 0000035b
2022-03-03 19:12:54.502230 True [   71646.047649] 0003 0035 0000035e
2022-03-03 19:12:54.517508 True [   71646.064225] 0003 0035 0000035e
2022-03-03 19:12:54.535744 True [   71646.081163] 0003 0035 00000359
2022-03-03 19:12:54.551812 True [   71646.098108] 0003 0035 0000034f
2022-03-03 19:12:54.570757 True [   71646.115042] 0003 0035 00000342
2022-03-03 19:12:54.585681 True [   71646.132304] 0003 0035 00000335
2022-03-03 19:12:54.602934 False [   71646.149119] 0003 0035 00000329
2022-03-03 19:12:54.618960 False [   71646.165746] 0003 0035 0000031d
2022-03-03 19:12:54.637590 False [   71646.182685] 0003 0035 0000030f
2022-03-03 19:12:54.653945 False [   71646.199642] 0003 0035 000002fe
2022-03-03 19:12:54.671669 False [   71646.217170] 0003 0035 000002ed
2022-03-03 19:12:54.690167 False [   71646.236157] 0003 0035 000002dd
2022-03-03 19:12:54.704905 False [   71646.250350] 0003 0035 000002cf
2022-03-03 19:12:54.721699 False [   71646.267254] 0003 0035 000002c3
2022-03-03 19:12:54.738905 False [   71646.284226] 0003 0035 000002b8
2022-03-03 19:12:54.756919 False [   71646.301570] 0003 0035 000002ad
2022-03-03 19:12:54.772910 False [   71646.318195] 0003 0035 000002a3
2022-03-03 19:12:54.792059 False [   71646.335402] 0003 0035 00000299
2022-03-03 19:12:54.806566 False [   71646.351911] 0003 0035 0000028f
2022-03-03 19:12:54.823468 False [   71646.368805] 0003 0035 00000285
2022-03-03 19:12:54.841514 False [   71646.385779] 0003 0035 0000027c
2022-03-03 19:12:54.858076 False [   71646.402645] 0003 0035 00000274
2022-03-03 19:12:54.874066 False [   71646.419752] 0003 0035 0000026e
2022-03-03 19:12:54.891032 False [   71646.436760] 0003 0035 00000269
2022-03-03 19:12:54.906713 False [   71646.453442] 0003 0035 00000263
2022-03-03 19:12:54.924282 False [   71646.470378] 0003 0035 0000025d
2022-03-03 19:12:54.943190 False [   71646.487395] 0003 0035 00000256
2022-03-03 19:12:54.960160 False [   71646.504509] 0003 0035 00000250
2022-03-03 19:12:54.977242 False [   71646.521562] 0003 0035 00000249
2022-03-03 19:12:54.992014 False [   71646.538074] 0003 0035 00000241
2022-03-03 19:12:55.008466 False [   71646.554967] 0003 0035 00000238
2022-03-03 19:12:55.027209 False [   71646.571864] 0003 0035 00000230
2022-03-03 19:12:55.044017 False [   71646.588863] 0003 0035 0000022a
2022-03-03 19:12:55.061292 False [   71646.605839] 0003 0035 00000225
2022-03-03 19:12:55.077462 False [   71646.622959] 0003 0035 00000221
2022-03-03 19:12:55.093728 False [   71646.640503] 0003 0035 00000221
2022-03-03 19:12:55.110477 False [   71646.656942] 0003 0035 00000221
2022-03-03 19:12:55.129022 False [   71646.673441] 0003 0035 0000021d
2022-03-03 19:12:55.145647 False [   71646.690384] 0003 0035 0000021d
2022-03-03 19:12:55.163602 False [   71646.707368] 0003 0035 0000021b
2022-03-03 19:12:55.178791 False [   71646.724272] 0003 0035 0000021b
2022-03-03 19:12:55.197860 True [   71646.741117] 0003 0035 0000021b
2022-03-03 19:12:55.211145 True [   71646.758036] 0003 0035 0000021b
2022-03-03 19:12:55.229653 True [   71646.774971] 0003 0035 0000021f
2022-03-03 19:12:55.247345 True [   71646.791967] 0003 0035 00000226
2022-03-03 19:12:55.263367 True [   71646.809078] 0003 0035 0000022f
2022-03-03 19:12:55.280145 True [   71646.825931] 0003 0035 00000238
2022-03-03 19:12:55.297494 True [   71646.842909] 0003 0035 00000241
2022-03-03 19:12:55.315484 True [   71646.859563] 0003 0035 00000249
2022-03-03 19:12:55.332170 True [   71646.876510] 0003 0035 00000250
2022-03-03 19:12:55.349776 True [   71646.894007] 0003 0035 00000256
2022-03-03 19:12:55.365697 True [   71646.910354] 0003 0035 0000025f
2022-03-03 19:12:55.381669 True [   71646.927747] 0003 0035 0000026b
2022-03-03 19:12:55.399788 True [   71646.944250] 0003 0035 00000278
2022-03-03 19:12:55.414513 True [   71646.961060] 0003 0035 00000285
2022-03-03 19:12:55.432152 True [   71646.978019] 0003 0035 0000028f
2022-03-03 19:12:55.448728 True [   71646.995367] 0003 0035 00000297
2022-03-03 19:12:55.466101 True [   71647.012524] 0003 0035 0000029d
2022-03-03 19:12:55.499823 True [   71647.046222] 0003 0035 0000029d
2022-03-03 19:12:55.519551 True [   71647.063411] 0003 0035 000002a1
2022-03-03 19:12:55.533736 True [   71647.079560] 0003 0035 000002a1
2022-03-03 19:12:55.549810 True [   71647.096700] 0003 0035 000002a1
2022-03-03 19:12:55.569113 True [   71647.113502] 0003 0035 000002a1
2022-03-03 19:12:55.588023 True [   71647.133476] 0003 0035 000002a1
2022-03-03 19:12:55.601055 True [   71647.147435] 0003 0035 000002a3
2022-03-03 19:12:55.618447 True [   71647.164392] 0003 0035 000002a3
2022-03-03 19:12:55.634206 True [   71647.181136] 0003 0035 000002a3
2022-03-03 19:12:55.651964 True [   71647.198320] 0003 0035 000002a3
2022-03-03 19:12:55.669562 True [   71647.215412] 0003 0035 000002a3
2022-03-03 19:12:55.688387 True [   71647.235554] 0003 0035 000002a3
2022-03-03 19:12:55.701969 True [   71647.248775] 0003 0035 000002a3
2022-03-03 19:12:55.721648 True [   71647.265680] 0003 0035 000002a3
2022-03-03 19:12:55.736315 True [   71647.282627] 0003 0035 000002a1
2022-03-03 19:12:55.754971 True [   71647.299704] 0003 0035 0000029f
2022-03-03 19:12:55.771947 True [   71647.316675] 0003 0035 0000029c
2022-03-03 19:12:55.788948 False [   71647.333752] 0003 0035 0000029a
2022-03-03 19:12:55.805926 False [   71647.350323] 0003 0035 00000297
2022-03-03 19:12:55.822885 False [   71647.367217] 0003 0035 00000293
2022-03-03 19:12:55.839422 False [   71647.384220] 0003 0035 0000028e
2022-03-03 19:12:55.855226 False [   71647.401276] 0003 0035 0000028a
2022-03-03 19:12:55.875138 False [   71647.418042] 0003 0035 00000288
2022-03-03 19:12:55.890553 False [   71647.435162] 0003 0035 00000288
2022-03-03 19:12:55.905927 False [   71647.451872] 0003 0035 00000286
2022-03-03 19:12:55.921837 False [   71647.468773] 0003 0035 00000286
2022-03-03 19:12:55.940598 False [   71647.485694] 0003 0035 00000284
2022-03-03 19:12:55.957992 False [   71647.502672] 0003 0035 00000284
2022-03-03 19:12:55.973951 False [   71647.519960] 0003 0035 00000284
2022-03-03 19:12:55.992894 False [   71647.536758] 0003 0035 00000284
2022-03-03 19:12:56.007397 False [   71647.553401] 0003 0035 00000284
2022-03-03 19:12:56.023879 False [   71647.570300] 0003 0035 00000284
2022-03-03 19:12:56.041773 False [   71647.587375] 0003 0035 00000284
2022-03-03 19:12:56.058119 False [   71647.604272] 0003 0035 00000284
2022-03-03 19:12:56.075879 False [   71647.621410] 0003 0035 00000284
2022-03-03 19:12:56.092016 False [   71647.638074] 0003 0035 00000284
2022-03-03 19:12:56.108019 False [   71647.654926] 0003 0035 00000284
2022-03-03 19:12:56.125970 False [   71647.671817] 0003 0035 00000284
2022-03-03 19:12:56.141894 False [   71647.688825] 0003 0035 00000284
2022-03-03 19:12:56.158886 False [   71647.705743] 0003 0035 00000284
2022-03-03 19:12:56.177572 False [   71647.722720] 0003 0035 00000284
2022-03-03 19:12:56.193683 False [   71647.739677] 0003 0035 00000284
2022-03-03 19:12:56.209367 False [   71647.756489] 0003 0035 00000284
2022-03-03 19:12:56.226122 False [   71647.773406] 0003 0035 00000284
2022-03-03 19:12:56.243452 False [   71647.790292] 0003 0035 00000284
2022-03-03 19:12:56.261426 False [   71647.807373] 0003 0035 00000284
2022-03-03 19:12:56.279709 False [   71647.824633] 0003 0035 00000284
2022-03-03 19:12:56.299530 False [   71647.841481] 0003 0035 00000284
2022-03-03 19:12:56.312328 False [   71647.858313] 0003 0035 00000284
2022-03-03 19:12:56.329011 False [   71647.874917] 0003 0035 00000284
2022-03-03 19:12:56.346603 False [   71647.891925] 0003 0035 00000284
2022-03-03 19:12:56.362207 False [   71647.908759] 0003 0035 00000284
2022-03-03 19:12:56.381022 False [   71647.925953] 0003 0035 00000284
2022-03-03 19:12:56.397978 False [   71647.942628] 0003 0035 00000284
2022-03-03 19:12:56.414096 False [   71647.959502] 0003 0035 00000284
2022-03-03 19:12:56.430138 False [   71647.976408] 0003 0035 00000284
2022-03-03 19:12:56.448706 False [   71647.993635] 0003 0035 00000284
2022-03-03 19:12:56.464417 False [   71648.010324] 0003 0035 00000284
