Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:38:31.958318 True [   87834.834544] 0003 0035 0000025c
2022-03-10 15:38:31.974522 True [   87834.851444] 0003 0035 0000025c
2022-03-10 15:38:31.991388 True [   87834.868715] 0003 0035 0000025c
2022-03-10 15:38:32.007274 True [   87834.885369] 0003 0035 0000025c
2022-03-10 15:38:32.024288 True [   87834.902220] 0003 0035 0000025c
2022-03-10 15:38:32.041694 True [   87834.919396] 0003 0035 0000025c
2022-03-10 15:38:32.059370 True [   87834.936646] 0003 0035 0000025c
2022-03-10 15:38:32.075404 True [   87834.953236] 0003 0035 0000025c
2022-03-10 15:38:32.092381 True [   87834.969967] 0003 0035 0000025c
2022-03-10 15:38:32.109510 True [   87834.986881] 0003 0035 0000025c
2022-03-10 15:38:32.126701 True [   87835.003840] 0003 0035 0000025c
2022-03-10 15:38:32.143777 True [   87835.021454] 0003 0035 0000025c
2022-03-10 15:38:32.160758 True [   87835.038193] 0003 0035 0000025c
2022-03-10 15:38:32.177728 True [   87835.055323] 0003 0035 0000025c
2022-03-10 15:38:32.194131 True [   87835.071541] 0003 0035 0000025c
2022-03-10 15:38:32.211356 True [   87835.089035] 0003 0035 0000025c
2022-03-10 15:38:32.228132 True [   87835.105624] 0003 0035 0000025c
2022-03-10 15:38:32.250011 True [   87835.125907] 0003 0035 0000025c
2022-03-10 15:38:32.262829 True [   87835.139293] 0003 0035 0000025c
2022-03-10 15:38:32.279125 True [   87835.156185] 0003 0035 0000025c
2022-03-10 15:38:32.296359 True [   87835.173115] 0003 0035 0000025c
2022-03-10 15:38:32.312821 True [   87835.190069] 0003 0035 0000025c
2022-03-10 15:38:32.329901 True [   87835.206947] 0003 0035 0000025c
2022-03-10 15:38:32.346649 True [   87835.223888] 0003 0035 0000025c
2022-03-10 15:38:32.363607 True [   87835.241149] 0003 0035 0000025c
2022-03-10 15:38:32.379562 True [   87835.257703] 0003 0035 0000025c
2022-03-10 15:38:32.397517 True [   87835.274721] 0003 0035 0000025c
2022-03-10 15:38:32.414488 True [   87835.291643] 0003 0035 0000025c
2022-03-10 15:38:32.431448 True [   87835.308567] 0003 0035 0000025c
2022-03-10 15:38:32.449396 True [   87835.325472] 0003 0035 0000025c
2022-03-10 15:38:32.467684 True [   87835.342441] 0003 0035 0000025c
2022-03-10 15:38:32.482624 True [   87835.359507] 0003 0035 0000025c
2022-03-10 15:38:32.499023 True [   87835.376195] 0003 0035 0000025c
2022-03-10 15:38:32.515977 True [   87835.393255] 0003 0035 0000025c
2022-03-10 15:38:32.533927 True [   87835.410145] 0003 0035 0000025c
2022-03-10 15:38:32.549884 True [   87835.427080] 0003 0035 0000025c
2022-03-10 15:38:32.569860 True [   87835.444067] 0003 0035 0000025c
2022-03-10 15:38:32.583361 True [   87835.460920] 0003 0035 0000025c
2022-03-10 15:38:32.600703 True [   87835.477887] 0003 0035 0000025c
2022-03-10 15:38:32.617707 True [   87835.494848] 0003 0035 0000025c
2022-03-10 15:38:32.634373 True [   87835.511801] 0003 0035 0000025c
2022-03-10 15:38:32.651891 True [   87835.528338] 0003 0035 0000025c
