Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:31.603007 False [  156954.781891] 0003 0036 0000042c
2022-04-02 17:10:31.610513 False [  156954.790311] 0003 0036 0000042d
2022-04-02 17:10:31.619080 False [  156954.798733] 0003 0036 0000042e
2022-04-02 17:10:31.626832 False [  156954.806927] 0003 0036 0000042d
2022-04-02 17:10:31.644150 False [  156954.823892] 0003 0036 0000042c
2022-04-02 17:10:31.652658 False [  156954.831793] 0003 0036 0000042a
2022-04-02 17:10:31.660685 False [  156954.840716] 0003 0036 00000428
2022-04-02 17:10:31.667970 False [  156954.848324] 0003 0036 00000421
2022-04-02 17:10:31.678846 False [  156954.856784] 0003 0035 000004f9
2022-04-02 17:10:31.678846 False [  156954.856784] 0003 0036 00000419
2022-04-02 17:10:31.685615 False [  156954.865009] 0003 0035 000004fb
2022-04-02 17:10:31.686612 False [  156954.865009] 0003 0036 0000040f
2022-04-02 17:10:31.694575 False [  156954.873392] 0003 0035 000004fd
2022-04-02 17:10:31.694575 False [  156954.873392] 0003 0036 00000406
2022-04-02 17:10:31.701705 False [  156954.881723] 0003 0035 000004fe
2022-04-02 17:10:31.701705 False [  156954.881723] 0003 0036 000003ff
2022-04-02 17:10:31.711123 False [  156954.890079] 0003 0035 00000501
2022-04-02 17:10:31.711123 False [  156954.890079] 0003 0036 000003f8
2022-04-02 17:10:31.719311 False [  156954.898248] 0003 0035 00000502
2022-04-02 17:10:31.719311 False [  156954.898248] 0003 0036 000003f3
2022-04-02 17:10:31.728159 False [  156954.906663] 0003 0035 00000503
2022-04-02 17:10:31.728159 False [  156954.906663] 0003 0036 000003ef
2022-04-02 17:10:31.736221 False [  156954.914880] 0003 0035 00000504
2022-04-02 17:10:31.736221 False [  156954.914880] 0003 0036 000003eb
2022-04-02 17:10:31.743810 False [  156954.923611] 0003 0035 00000505
2022-04-02 17:10:31.743810 False [  156954.923611] 0003 0036 000003ea
2022-04-02 17:10:31.752850 False [  156954.931444] 0003 0036 000003e8
2022-04-02 17:10:31.760446 False [  156954.940142] 0003 0036 000003e9
2022-04-02 17:10:31.777239 False [  156954.956774] 0003 0035 00000504
2022-04-02 17:10:31.777239 False [  156954.956774] 0003 0036 000003ed
2022-04-02 17:10:31.784842 False [  156954.964747] 0003 0035 00000503
2022-04-02 17:10:31.784842 False [  156954.964747] 0003 0036 000003f0
2022-04-02 17:10:31.792855 False [  156954.973155] 0003 0035 00000501
2022-04-02 17:10:31.792855 False [  156954.973155] 0003 0036 000003f8
2022-04-02 17:10:31.801585 False [  156954.981379] 0003 0035 000004ff
2022-04-02 17:10:31.801585 False [  156954.981379] 0003 0036 000003fd
2022-04-02 17:10:31.809981 False [  156954.989791] 0003 0035 000004fe
2022-04-02 17:10:31.809981 False [  156954.989791] 0003 0036 00000404
2022-04-02 17:10:31.817888 False [  156954.997970] 0003 0035 000004fc
2022-04-02 17:10:31.817888 False [  156954.997970] 0003 0036 0000040a
2022-04-02 17:10:31.827054 False [  156955.006367] 0003 0035 000004f9
2022-04-02 17:10:31.827054 False [  156955.006367] 0003 0036 00000412
2022-04-02 17:10:31.835052 False [  156955.014620] 0003 0035 000004f7
2022-04-02 17:10:31.835052 False [  156955.014620] 0003 0036 00000417
2022-04-02 17:10:31.843517 False [  156955.023704] 0003 0035 000004f4
2022-04-02 17:10:31.843517 False [  156955.023704] 0003 0036 0000041f
2022-04-02 17:10:31.852504 False [  156955.031272] 0003 0035 000004f2
2022-04-02 17:10:31.852504 False [  156955.031272] 0003 0036 00000424
2022-04-02 17:10:31.859610 False [  156955.039891] 0003 0035 000004f0
2022-04-02 17:10:31.859610 False [  156955.039891] 0003 0036 00000429
2022-04-02 17:10:31.869068 False [  156955.047832] 0003 0035 000004ed
2022-04-02 17:10:31.869068 False [  156955.047832] 0003 0036 0000042e
2022-04-02 17:10:31.878548 False [  156955.056487] 0003 0035 000004ea
2022-04-02 17:10:31.878548 False [  156955.056487] 0003 0036 00000432
2022-04-02 17:10:31.884209 False [  156955.064512] 0003 0035 000004e9
2022-04-02 17:10:31.884209 False [  156955.064512] 0003 0036 00000434
2022-04-02 17:10:31.895464 False [  156955.073080] 0003 0035 000004e7
2022-04-02 17:10:31.895464 False [  156955.073080] 0003 0036 00000437
2022-04-02 17:10:31.900879 False [  156955.081097] 0003 0035 000004e6
2022-04-02 17:10:31.900879 False [  156955.081097] 0003 0036 00000439
2022-04-02 17:10:31.911414 False [  156955.089505] 0003 0035 000004e5
2022-04-02 17:10:31.911414 False [  156955.089505] 0003 0036 0000043a
2022-04-02 17:10:31.928826 False [  156955.107013] 0003 0036 0000043b
2022-04-02 17:10:31.934175 False [  156955.114268] 0003 0035 000004e4
