Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21523805025642817 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:51:03.878616 False [  159386.941976] 0003 0036 00000703
2022-04-02 17:51:03.931952 False [  159386.954561] 0003 0036 00000714
2022-04-02 17:51:03.931952 False [  159386.968897] 0003 0035 00000567
2022-04-02 17:51:03.931952 False [  159386.968897] 0003 0036 00000735
2022-04-02 17:51:03.931952 False [  159386.980556] 0003 0036 00000745
2022-04-02 17:51:03.931952 False [  159386.993693] 0003 0035 00000566
2022-04-02 17:51:03.931952 False [  159386.993693] 0003 0036 00000762
2022-04-02 17:51:03.931952 False [  159387.002038] 0003 0036 0000076e
2022-04-02 17:51:03.931952 False [  159387.014268] 0003 0036 00000779
2022-04-02 17:51:03.931952 False [  159387.026696] 0003 0035 00000564
2022-04-02 17:51:03.931952 False [  159387.026696] 0003 0036 00000787
2022-04-02 17:51:03.952548 False [  159387.036977] 0003 0036 0000078b
2022-04-02 17:51:03.952548 False [  159387.051693] 0003 0035 00000563
2022-04-02 17:51:03.952548 False [  159387.051693] 0003 0036 00000790
2022-04-02 17:51:03.952548 False [  159387.063382] 0003 0036 00000791
2022-04-02 17:51:04.041641 False [  159387.086151] 0003 0036 00000790
2022-04-02 17:51:04.041641 False [  159387.100337] 0003 0036 0000078d
2022-04-02 17:51:04.154635 False [  159387.115438] 0003 0035 00000564
2022-04-02 17:51:04.154635 False [  159387.115438] 0003 0036 00000788
2022-04-02 17:51:04.154635 False [  159387.126787] 0003 0035 00000566
2022-04-02 17:51:04.154635 False [  159387.126787] 0003 0036 00000778
2022-04-02 17:51:04.154635 False [  159387.137265] 0003 0036 0000076e
2022-04-02 17:51:04.154635 False [  159387.152310] 0003 0035 00000567
2022-04-02 17:51:04.154635 False [  159387.152310] 0003 0036 00000760
2022-04-02 17:51:04.154635 False [  159387.164271] 0003 0036 00000749
2022-04-02 17:51:04.154635 False [  159387.176622] 0003 0035 00000566
2022-04-02 17:51:04.154635 False [  159387.176622] 0003 0036 00000725
2022-04-02 17:51:04.154635 False [  159387.188704] 0003 0036 00000719
2022-04-02 17:51:04.208814 False [  159387.203502] 0003 0035 00000564
2022-04-02 17:51:04.208814 False [  159387.203502] 0003 0036 000006f5
