Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:36.587884 True [     232.950092] 0003 0035 00000142
2022-03-10 16:52:36.605402 True [     232.967190] 0003 0035 00000151
2022-03-10 16:52:36.622506 True [     232.984097] 0003 0035 00000162
2022-03-10 16:52:36.638542 True [     233.000660] 0003 0035 00000173
2022-03-10 16:52:36.638542 True [     233.000660] 0003 0035 0000019f
2022-03-10 16:52:36.655623 False [     233.017364] 0003 0035 00000184
2022-03-10 16:52:36.656325 False [     233.017364] 0003 0035 0000019f
2022-03-10 16:52:36.672229 False [     233.034567] 0003 0035 00000199
2022-03-10 16:52:36.690185 False [     233.051394] 0003 0035 000001b1
2022-03-10 16:52:36.707440 False [     233.068351] 0003 0035 000001c8
2022-03-10 16:52:36.724002 False [     233.085235] 0003 0035 000001dd
2022-03-10 16:52:36.739734 False [     233.102302] 0003 0035 000001f0
2022-03-10 16:52:36.757320 False [     233.119112] 0003 0035 00000204
2022-03-10 16:52:36.773949 False [     233.135800] 0003 0035 00000217
2022-03-10 16:52:36.792721 False [     233.153043] 0003 0035 00000228
2022-03-10 16:52:36.808458 False [     233.170049] 0003 0035 00000235
2022-03-10 16:52:36.826076 False [     233.187660] 0003 0035 00000240
2022-03-10 16:52:36.826076 False [     233.187660] 0003 0035 00000254
2022-03-10 16:52:36.841770 False [     233.204096] 0003 0035 0000024a
2022-03-10 16:52:36.842731 False [     233.204096] 0003 0035 00000254
2022-03-10 16:52:36.858995 False [     233.220556] 0003 0035 00000255
2022-03-10 16:52:36.875692 False [     233.237536] 0003 0035 00000263
2022-03-10 16:52:36.892657 False [     233.254438] 0003 0035 00000272
2022-03-10 16:52:36.909444 False [     233.271462] 0003 0035 00000280
2022-03-10 16:52:36.928398 False [     233.288688] 0003 0035 0000028c
2022-03-10 16:52:36.944530 False [     233.305996] 0003 0035 00000296
2022-03-10 16:52:36.960012 False [     233.322416] 0003 0035 0000029e
2022-03-10 16:52:36.977595 False [     233.339083] 0003 0035 000002a3
2022-03-10 16:52:36.993802 False [     233.355995] 0003 0035 000002a3
2022-03-10 16:52:37.315958 False [     233.678250] 0003 0035 00000145
2022-03-10 16:52:37.333401 True [     233.695149] 0003 0035 00000145
2022-03-10 16:52:37.349931 True [     233.712239] 0003 0035 00000145
2022-03-10 16:52:37.366681 True [     233.729090] 0003 0035 00000145
2022-03-10 16:52:37.384388 True [     233.746361] 0003 0035 0000014b
2022-03-10 16:52:37.401133 True [     233.762975] 0003 0035 00000159
2022-03-10 16:52:37.419658 True [     233.780082] 0003 0035 0000016a
2022-03-10 16:52:37.436320 True [     233.796927] 0003 0035 0000017a
2022-03-10 16:52:37.451444 True [     233.813845] 0003 0035 00000189
2022-03-10 16:52:37.468512 False [     233.830680] 0003 0035 0000019b
2022-03-10 16:52:37.485958 False [     233.847990] 0003 0035 000001b1
2022-03-10 16:52:37.504242 False [     233.865053] 0003 0035 000001c8
2022-03-10 16:52:37.520517 False [     233.882000] 0003 0035 000001dd
2022-03-10 16:52:37.536607 False [     233.898453] 0003 0035 000001f3
2022-03-10 16:52:37.553838 False [     233.915484] 0003 0035 0000020b
2022-03-10 16:52:37.570319 False [     233.932552] 0003 0035 00000222
2022-03-10 16:52:37.586995 False [     233.949537] 0003 0035 00000234
2022-03-10 16:52:37.604170 False [     233.966223] 0003 0035 00000242
