Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.2744603292816725 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:02:39.766744 True [   19289.074132] 0003 0036 0000037c
2022-04-07 19:02:39.775491 True [   19289.082526] 0003 0036 0000037b
2022-04-07 19:02:39.783571 True [   19289.090908] 0003 0035 00000466
2022-04-07 19:02:39.783571 True [   19289.090908] 0003 0036 0000036e
2022-04-07 19:02:39.790342 True [   19289.099196] 0003 0035 0000046a
2022-04-07 19:02:39.790342 True [   19289.099196] 0003 0036 00000367
2022-04-07 19:02:39.800331 True [   19289.107348] 0003 0035 0000046c
2022-04-07 19:02:39.800331 True [   19289.107348] 0003 0036 00000362
2022-04-07 19:02:39.808918 True [   19289.115797] 0003 0035 0000046e
2022-04-07 19:02:39.808918 True [   19289.115797] 0003 0036 0000035f
2022-04-07 19:02:39.815477 True [   19289.123984] 0003 0035 00000475
2022-04-07 19:02:39.815477 False [   19289.123984] 0003 0036 00000352
2022-04-07 19:02:39.824991 False [   19289.132650] 0003 0035 0000047a
2022-04-07 19:02:39.824991 False [   19289.132650] 0003 0036 0000034a
2022-04-07 19:02:39.832024 False [   19289.140657] 0003 0035 0000047c
2022-04-07 19:02:39.832024 False [   19289.140657] 0003 0036 00000346
2022-04-07 19:02:39.841119 False [   19289.149024] 0003 0035 0000047e
2022-04-07 19:02:39.841119 False [   19289.149024] 0003 0036 00000342
2022-04-07 19:02:39.850385 False [   19289.157183] 0003 0036 00000341
2022-04-07 19:02:39.861330 False [   19289.165628] 0003 0035 00000485
2022-04-07 19:02:39.861330 False [   19289.165628] 0003 0036 00000339
2022-04-07 19:02:39.867533 False [   19289.173880] 0003 0035 0000048a
2022-04-07 19:02:39.867533 False [   19289.173880] 0003 0036 00000333
2022-04-07 19:02:39.874731 False [   19289.182273] 0003 0035 0000048c
2022-04-07 19:02:39.874731 False [   19289.182273] 0003 0036 0000032f
2022-04-07 19:02:39.883796 False [   19289.190445] 0003 0035 0000048f
2022-04-07 19:02:39.883796 False [   19289.190445] 0003 0036 0000032c
2022-04-07 19:02:39.891794 False [   19289.198861] 0003 0035 00000492
2022-04-07 19:02:39.891794 False [   19289.198861] 0003 0036 00000325
2022-04-07 19:02:39.896803 False [   19289.207073] 0003 0035 00000495
2022-04-07 19:02:39.896803 False [   19289.207073] 0003 0036 0000031f
2022-04-07 19:02:39.907010 False [   19289.215481] 0003 0035 00000497
2022-04-07 19:02:39.907010 False [   19289.215481] 0003 0036 0000031b
2022-04-07 19:02:39.916851 False [   19289.223653] 0003 0036 00000319
2022-04-07 19:02:39.926185 False [   19289.232121] 0003 0035 0000049a
2022-04-07 19:02:39.926185 False [   19289.232121] 0003 0036 00000311
2022-04-07 19:02:39.934080 False [   19289.240414] 0003 0035 0000049d
2022-04-07 19:02:39.934080 False [   19289.240414] 0003 0036 0000030a
2022-04-07 19:02:39.941378 False [   19289.248702] 0003 0035 0000049e
2022-04-07 19:02:39.941378 False [   19289.248702] 0003 0036 00000305
2022-04-07 19:02:39.949162 False [   19289.256894] 0003 0035 000004a0
2022-04-07 19:02:39.949162 False [   19289.256894] 0003 0036 00000300
2022-04-07 19:02:39.957228 False [   19289.265340] 0003 0035 000004a2
2022-04-07 19:02:39.957228 False [   19289.265340] 0003 0036 000002fe
2022-04-07 19:02:39.965735 False [   19289.273565] 0003 0035 000004a4
2022-04-07 19:02:39.965735 False [   19289.273565] 0003 0036 000002fc
2022-04-07 19:02:39.975266 False [   19289.281945] 0003 0036 000002fa
