Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:15:13.442489 False [     305.869118] 0003 0035 000004ad
2022-04-06 14:15:13.442489 False [     305.869118] 0003 0036 00000362
2022-04-06 14:15:13.449080 False [     305.877549] 0003 0035 000004ab
2022-04-06 14:15:13.449662 False [     305.877549] 0003 0036 00000365
2022-04-06 14:15:13.458021 False [     305.885802] 0003 0035 000004a8
2022-04-06 14:15:13.458021 False [     305.885802] 0003 0036 00000369
2022-04-06 14:15:13.466551 False [     305.894268] 0003 0035 000004a7
2022-04-06 14:15:13.466796 False [     305.894268] 0003 0036 0000036c
2022-04-06 14:15:13.474095 False [     305.902431] 0003 0035 000004a5
2022-04-06 14:15:13.474095 False [     305.902431] 0003 0036 0000036f
2022-04-06 14:15:13.481869 False [     305.910933] 0003 0035 000004a3
2022-04-06 14:15:13.481869 False [     305.910933] 0003 0036 00000374
2022-04-06 14:15:13.490700 False [     305.919156] 0003 0035 000004a2
2022-04-06 14:15:13.490700 False [     305.919156] 0003 0036 00000377
2022-04-06 14:15:13.499153 False [     305.927608] 0003 0035 000004a1
2022-04-06 14:15:13.499153 False [     305.927608] 0003 0036 0000037b
2022-04-06 14:15:13.506861 False [     305.935808] 0003 0035 000004a0
2022-04-06 14:15:13.506861 False [     305.935808] 0003 0036 0000037f
2022-04-06 14:15:13.516513 False [     305.944249] 0003 0035 0000049e
2022-04-06 14:15:13.516513 False [     305.944249] 0003 0036 00000383
2022-04-06 14:15:13.525639 False [     305.952519] 0003 0036 00000388
2022-04-06 14:15:13.533124 False [     305.960928] 0003 0035 0000049d
2022-04-06 14:15:13.533124 False [     305.960928] 0003 0036 0000038c
2022-04-06 14:15:13.541684 False [     305.969195] 0003 0035 0000049c
2022-04-06 14:15:13.541684 False [     305.969195] 0003 0036 0000038f
2022-04-06 14:15:13.549527 False [     305.977590] 0003 0035 0000049b
2022-04-06 14:15:13.549527 False [     305.977590] 0003 0036 00000394
2022-04-06 14:15:13.559092 False [     305.985877] 0003 0035 0000049a
2022-04-06 14:15:13.559092 False [     305.985877] 0003 0036 00000397
2022-04-06 14:15:13.566199 False [     305.994265] 0003 0036 0000039b
2022-04-06 14:15:13.575632 False [     306.002513] 0003 0036 0000039f
2022-04-06 14:15:13.583248 False [     306.010950] 0003 0035 00000499
2022-04-06 14:15:13.583248 False [     306.010950] 0003 0036 000003a2
