Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:27.257250 False [  159890.333959] 0003 0035 000005c3
2022-04-02 17:59:27.257250 False [  159890.333959] 0003 0036 000004cb
2022-04-02 17:59:27.288537 False [  159890.344810] 0003 0035 000005c2
2022-04-02 17:59:27.289537 False [  159890.344810] 0003 0036 000004cf
2022-04-02 17:59:27.289537 False [  159890.356175] 0003 0035 000005c0
2022-04-02 17:59:27.289537 False [  159890.356175] 0003 0036 000004d4
2022-04-02 17:59:27.289537 False [  159890.361095] 0003 0035 000005bf
2022-04-02 17:59:27.289537 False [  159890.361095] 0003 0036 000004da
2022-04-02 17:59:27.289537 False [  159890.367189] 0003 0036 000004e0
2022-04-02 17:59:27.289537 False [  159890.378796] 0003 0035 000005be
2022-04-02 17:59:27.289537 False [  159890.378796] 0003 0036 000004e6
2022-04-02 17:59:27.289537 False [  159890.385714] 0003 0036 000004ed
2022-04-02 17:59:27.289537 False [  159890.398018] 0003 0036 000004f5
2022-04-02 17:59:27.348725 False [  159890.405339] 0003 0035 000005bd
2022-04-02 17:59:27.348725 False [  159890.405339] 0003 0036 000004fe
2022-04-02 17:59:27.348725 False [  159890.408779] 0003 0036 00000506
2022-04-02 17:59:27.348725 False [  159890.417265] 0003 0036 00000511
2022-04-02 17:59:27.348725 False [  159890.430571] 0003 0036 0000051b
2022-04-02 17:59:27.459450 False [  159890.439899] 0003 0036 00000526
2022-04-02 17:59:27.459450 False [  159890.448929] 0003 0036 00000530
2022-04-02 17:59:27.459450 False [  159890.462503] 0003 0036 00000539
2022-04-02 17:59:27.460442 False [  159890.474929] 0003 0035 000005be
2022-04-02 17:59:27.460442 False [  159890.474929] 0003 0036 0000054c
2022-04-02 17:59:27.460442 False [  159890.483433] 0003 0035 000005bf
2022-04-02 17:59:27.460442 False [  159890.483433] 0003 0036 0000055d
2022-04-02 17:59:27.460442 False [  159890.492187] 0003 0036 00000564
2022-04-02 17:59:27.460442 False [  159890.508996] 0003 0035 000005c0
2022-04-02 17:59:27.460442 False [  159890.508996] 0003 0036 0000056b
2022-04-02 17:59:27.490322 False [  159890.521554] 0003 0036 00000576
2022-04-02 17:59:27.490322 False [  159890.535110] 0003 0036 0000057a
2022-04-02 17:59:27.490322 False [  159890.548165] 0003 0035 000005bf
2022-04-02 17:59:27.490322 False [  159890.548165] 0003 0036 0000057f
2022-04-02 17:59:27.490322 False [  159890.560632] 0003 0035 000005be
2022-04-02 17:59:27.490322 False [  159890.560632] 0003 0036 00000582
2022-04-02 17:59:27.490322 False [  159890.573704] 0003 0035 000005b8
2022-04-02 17:59:27.490322 False [  159890.573704] 0003 0036 0000058f
2022-04-02 17:59:27.490322 False [  159890.588203] 0003 0035 000005b4
2022-04-02 17:59:27.490322 False [  159890.588203] 0003 0036 0000059a
2022-04-02 17:59:27.490322 False [  159890.599654] 0003 0035 000005a5
2022-04-02 17:59:27.490322 False [  159890.599654] 0003 0036 000005b4
2022-04-02 17:59:27.562926 False [  159890.612582] 0003 0035 0000059d
2022-04-02 17:59:27.562926 False [  159890.612582] 0003 0036 000005c0
2022-04-02 17:59:27.562926 False [  159890.620323] 0003 0035 0000058d
2022-04-02 17:59:27.562926 False [  159890.620323] 0003 0036 000005d8
2022-04-02 17:59:27.562926 False [  159890.625239] 0003 0035 00000586
2022-04-02 17:59:27.562926 False [  159890.625239] 0003 0036 000005e3
2022-04-02 17:59:27.630386 False [  159890.632932] 0003 0035 00000581
2022-04-02 17:59:27.630386 False [  159890.632932] 0003 0036 000005ed
2022-04-02 17:59:27.630386 False [  159890.644633] 0003 0035 0000057c
2022-04-02 17:59:27.630386 False [  159890.644633] 0003 0036 000005f6
2022-04-02 17:59:27.630386 False [  159890.655787] 0003 0035 00000578
2022-04-02 17:59:27.630386 False [  159890.655787] 0003 0036 000005fe
2022-04-02 17:59:27.630386 False [  159890.668110] 0003 0035 00000577
2022-04-02 17:59:27.630386 False [  159890.668110] 0003 0036 00000604
2022-04-02 17:59:27.630386 False [  159890.679780] 0003 0035 00000574
2022-04-02 17:59:27.630386 False [  159890.679780] 0003 0036 00000611
2022-04-02 17:59:27.630386 False [  159890.690222] 0003 0036 00000614
2022-04-02 17:59:27.630386 False [  159890.703282] 0003 0036 00000619
2022-04-02 17:59:27.698386 False [  159890.716532] 0003 0035 00000571
2022-04-02 17:59:27.698386 False [  159890.716532] 0003 0036 00000626
2022-04-02 17:59:27.698386 False [  159890.729762] 0003 0035 0000056d
2022-04-02 17:59:27.698386 False [  159890.729762] 0003 0036 00000638
2022-04-02 17:59:27.698386 False [  159890.745698] 0003 0035 0000056a
2022-04-02 17:59:27.698386 False [  159890.745698] 0003 0036 00000642
2022-04-02 17:59:27.698386 False [  159890.758328] 0003 0035 00000564
2022-04-02 17:59:27.698386 False [  159890.758328] 0003 0036 00000655
2022-04-02 17:59:27.699383 False [  159890.766051] 0003 0035 0000055b
2022-04-02 17:59:27.699383 False [  159890.766051] 0003 0036 0000066f
2022-04-02 17:59:27.750768 False [  159890.774230] 0003 0035 00000557
2022-04-02 17:59:27.750768 False [  159890.774230] 0003 0036 0000067d
2022-04-02 17:59:27.750768 False [  159890.782588] 0003 0035 00000551
2022-04-02 17:59:27.750768 False [  159890.782588] 0003 0036 0000068b
2022-04-02 17:59:27.750768 False [  159890.793105] 0003 0035 0000054c
2022-04-02 17:59:27.750768 False [  159890.793105] 0003 0036 0000069a
2022-04-02 17:59:27.750768 False [  159890.806229] 0003 0035 00000546
2022-04-02 17:59:27.750768 False [  159890.806229] 0003 0036 000006a8
2022-04-02 17:59:27.750768 False [  159890.815409] 0003 0035 00000541
2022-04-02 17:59:27.750768 False [  159890.815409] 0003 0036 000006b4
2022-04-02 17:59:27.750768 False [  159890.828343] 0003 0035 0000053b
2022-04-02 17:59:27.750768 False [  159890.828343] 0003 0036 000006c1
2022-04-02 17:59:27.750768 False [  159890.840237] 0003 0035 00000533
2022-04-02 17:59:27.750768 False [  159890.840237] 0003 0036 000006d5
