Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:57.932157 False [   18555.023243] 0003 0036 00000243
2022-03-16 15:12:57.948114 False [   18555.040279] 0003 0035 00000373
2022-03-16 15:12:57.948114 False [   18555.040279] 0003 0036 00000243
2022-03-16 15:12:57.965675 False [   18555.057261] 0003 0035 0000036f
2022-03-16 15:12:57.965675 False [   18555.057261] 0003 0036 00000241
2022-03-16 15:12:57.983305 False [   18555.074874] 0003 0035 0000036f
2022-03-16 15:12:57.983305 False [   18555.074874] 0003 0036 00000241
2022-03-16 15:12:57.999192 False [   18555.090682] 0003 0035 0000036f
2022-03-16 15:12:57.999192 False [   18555.090682] 0003 0036 00000241
2022-03-16 15:12:58.016057 False [   18555.107460] 0003 0035 0000036a
2022-03-16 15:12:58.016057 False [   18555.107460] 0003 0036 0000023d
2022-03-16 15:12:58.036575 False [   18555.124896] 0003 0035 0000036a
2022-03-16 15:12:58.036575 False [   18555.124896] 0003 0036 0000023d
2022-03-16 15:12:58.051122 False [   18555.141674] 0003 0035 00000365
2022-03-16 15:12:58.051122 False [   18555.141674] 0003 0036 00000239
2022-03-16 15:12:58.067755 False [   18555.158663] 0003 0035 00000361
2022-03-16 15:12:58.067755 False [   18555.158663] 0003 0036 00000236
2022-03-16 15:12:58.084189 False [   18555.175227] 0003 0035 00000361
2022-03-16 15:12:58.084189 False [   18555.175227] 0003 0036 00000236
2022-03-16 15:12:58.100071 False [   18555.192702] 0003 0035 0000035c
2022-03-16 15:12:58.101083 False [   18555.192702] 0003 0036 00000232
2022-03-16 15:12:58.117687 False [   18555.209524] 0003 0035 00000357
2022-03-16 15:12:58.117687 False [   18555.209524] 0003 0036 0000022e
2022-03-16 15:12:58.136733 False [   18555.226732] 0003 0035 00000351
2022-03-16 15:12:58.137714 False [   18555.226732] 0003 0036 0000022b
2022-03-16 15:12:58.151819 False [   18555.243546] 0003 0035 0000034a
2022-03-16 15:12:58.151819 False [   18555.243546] 0003 0036 00000228
2022-03-16 15:12:58.168966 False [   18555.259761] 0003 0035 00000343
2022-03-16 15:12:58.168966 False [   18555.259761] 0003 0036 00000225
2022-03-16 15:12:58.185977 False [   18555.276884] 0003 0035 0000033d
2022-03-16 15:12:58.185977 False [   18555.276884] 0003 0036 00000223
