Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:45:47.525708 True [   88270.392969] 0003 0035 000002f8
2022-03-10 15:45:47.543314 True [   88270.409880] 0003 0035 00000312
2022-03-10 15:45:47.558985 True [   88270.427198] 0003 0035 0000032c
2022-03-10 15:45:47.575796 True [   88270.443840] 0003 0035 00000343
2022-03-10 15:45:47.592186 True [   88270.460685] 0003 0035 00000358
2022-03-10 15:45:47.611337 True [   88270.477614] 0003 0035 0000036b
2022-03-10 15:45:47.627686 True [   88270.494609] 0003 0035 0000037d
2022-03-10 15:45:47.645554 True [   88270.511522] 0003 0035 0000038e
2022-03-10 15:45:47.660007 True [   88270.528397] 0003 0035 0000039d
2022-03-10 15:45:47.677812 True [   88270.545372] 0003 0035 000003a9
2022-03-10 15:45:47.694850 True [   88270.562378] 0003 0035 000003b4
2022-03-10 15:45:47.712584 True [   88270.579265] 0003 0035 000003bc
2022-03-10 15:45:47.728664 True [   88270.596155] 0003 0035 000003c2
2022-03-10 15:45:47.745321 True [   88270.613058] 0003 0035 000003cb
2022-03-10 15:45:47.763203 True [   88270.630405] 0003 0035 000003de
2022-03-10 15:45:50.289784 True [   88273.155342] 0003 0035 000001ae
2022-03-10 15:45:50.302915 True [   88273.171293] 0003 0035 000001ae
2022-03-10 15:45:50.320319 True [   88273.188123] 0003 0035 000001ae
2022-03-10 15:45:50.336049 True [   88273.204953] 0003 0035 000001ae
2022-03-10 15:45:50.354650 True [   88273.221964] 0003 0035 000001b2
2022-03-10 15:45:50.371377 True [   88273.238780] 0003 0035 000001b9
2022-03-10 15:45:50.388950 True [   88273.255806] 0003 0035 000001c3
2022-03-10 15:45:50.404616 True [   88273.272669] 0003 0035 000001d0
2022-03-10 15:45:50.424684 True [   88273.289660] 0003 0035 000001de
2022-03-10 15:45:50.438128 True [   88273.306596] 0003 0035 000001ed
2022-03-10 15:45:50.457480 True [   88273.323567] 0003 0035 000001ff
2022-03-10 15:45:50.473965 True [   88273.340465] 0003 0035 00000210
2022-03-10 15:45:50.489709 True [   88273.357407] 0003 0035 00000220
2022-03-10 15:45:50.510175 True [   88273.374854] 0003 0035 0000022d
2022-03-10 15:45:50.524414 True [   88273.391404] 0003 0035 00000237
2022-03-10 15:45:50.541248 True [   88273.408277] 0003 0035 0000023f
2022-03-10 15:45:50.559027 True [   88273.425160] 0003 0035 00000244
2022-03-10 15:45:50.575660 True [   88273.442071] 0003 0035 00000248
2022-03-10 15:45:50.590781 True [   88273.458988] 0003 0035 00000248
2022-03-10 15:45:50.608833 True [   88273.475971] 0003 0035 00000248
2022-03-10 15:45:50.625863 True [   88273.493395] 0003 0035 00000248
2022-03-10 15:45:50.642503 True [   88273.509886] 0003 0035 00000248
2022-03-10 15:45:50.661186 True [   88273.527059] 0003 0035 0000024c
2022-03-10 15:45:50.675617 True [   88273.543771] 0003 0035 00000251
2022-03-10 15:45:50.693289 True [   88273.560626] 0003 0035 00000257
2022-03-10 15:45:50.710471 True [   88273.577681] 0003 0035 00000261
2022-03-10 15:45:50.727744 True [   88273.594532] 0003 0035 0000026d
2022-03-10 15:45:50.746581 True [   88273.611386] 0003 0035 00000279
2022-03-10 15:45:50.946441 True [   88273.814655] 0003 0035 00000250
2022-03-10 15:45:50.966233 True [   88273.831852] 0003 0035 00000250
2022-03-10 15:45:50.979880 True [   88273.848722] 0003 0035 00000250
2022-03-10 15:45:50.998376 True [   88273.865638] 0003 0035 00000250
2022-03-10 15:45:51.014614 True [   88273.882743] 0003 0035 00000250
2022-03-10 15:45:51.032448 True [   88273.899509] 0003 0035 00000250
2022-03-10 15:45:51.049145 True [   88273.916365] 0003 0035 00000257
2022-03-10 15:45:51.069476 True [   88273.934253] 0003 0035 00000262
2022-03-10 15:45:51.082885 True [   88273.950344] 0003 0035 00000270
2022-03-10 15:45:51.099605 True [   88273.967183] 0003 0035 0000027f
2022-03-10 15:45:51.118694 True [   88273.984493] 0003 0035 0000028d
2022-03-10 15:45:51.135936 True [   88274.001932] 0003 0035 00000299
2022-03-10 15:45:51.151239 True [   88274.018080] 0003 0035 000002a3
2022-03-10 15:45:51.167629 True [   88274.034909] 0003 0035 000002ad
2022-03-10 15:45:51.184245 True [   88274.051900] 0003 0035 000002bc
2022-03-10 15:45:51.201531 True [   88274.068839] 0003 0035 000002cc
2022-03-10 15:45:51.220176 True [   88274.086466] 0003 0035 000002dc
2022-03-10 15:45:51.235703 True [   88274.102824] 0003 0035 000002e9
2022-03-10 15:45:51.252994 True [   88274.119559] 0003 0035 000002fa
2022-03-10 15:45:51.270455 True [   88274.136321] 0003 0035 00000316
