Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:54:47.959396 True [    2421.497852] 0003 0035 000002b4
2022-04-06 14:54:47.968020 True [    2421.506296] 0003 0035 000002b1
2022-04-06 14:54:47.968020 True [    2421.506296] 0003 0036 00000369
2022-04-06 14:54:47.975958 True [    2421.514481] 0003 0035 000002ae
2022-04-06 14:54:47.986425 True [    2421.522898] 0003 0035 000002ad
2022-04-06 14:54:47.994208 True [    2421.531098] 0003 0035 000002ab
2022-04-06 14:54:48.001372 True [    2421.539501] 0003 0035 000002a6
2022-04-06 14:54:48.009877 True [    2421.547696] 0003 0035 000002a2
2022-04-06 14:54:48.009877 True [    2421.547696] 0003 0036 00000368
2022-04-06 14:54:48.018714 True [    2421.556126] 0003 0035 0000029f
2022-04-06 14:54:48.018714 True [    2421.556126] 0003 0036 00000367
2022-04-06 14:54:48.026708 True [    2421.564335] 0003 0035 0000029b
2022-04-06 14:54:48.026708 True [    2421.564335] 0003 0036 00000364
2022-04-06 14:54:48.036303 True [    2421.572752] 0003 0035 00000298
2022-04-06 14:54:48.036303 True [    2421.572752] 0003 0036 00000361
2022-04-06 14:54:48.052002 True [    2421.589475] 0003 0035 00000294
2022-04-06 14:54:48.054791 True [    2421.589475] 0003 0036 0000035f
2022-04-06 14:54:48.059877 True [    2421.597573] 0003 0035 00000292
2022-04-06 14:54:48.061781 True [    2421.597573] 0003 0036 0000035d
2022-04-06 14:54:48.068796 True [    2421.605982] 0003 0035 00000290
2022-04-06 14:54:48.068796 True [    2421.605982] 0003 0036 0000035c
2022-04-06 14:54:48.076510 True [    2421.614190] 0003 0035 0000028d
2022-04-06 14:54:48.076510 True [    2421.614190] 0003 0036 0000035a
2022-04-06 14:54:48.085595 True [    2421.622609] 0003 0035 0000028b
2022-04-06 14:54:48.085595 True [    2421.622609] 0003 0036 00000359
2022-04-06 14:54:48.093864 True [    2421.630822] 0003 0035 00000289
2022-04-06 14:54:48.101663 True [    2421.639220] 0003 0035 00000288
2022-04-06 14:54:48.101663 True [    2421.639220] 0003 0036 00000358
2022-04-06 14:54:48.110530 True [    2421.647440] 0003 0035 00000287
2022-04-06 14:54:48.110530 True [    2421.647440] 0003 0036 00000357
2022-04-06 14:54:48.118440 True [    2421.655896] 0003 0035 00000286
2022-04-06 14:54:48.118440 True [    2421.655896] 0003 0036 00000356
2022-04-06 14:54:48.126176 True [    2421.664101] 0003 0035 00000283
2022-04-06 14:54:48.126176 True [    2421.664101] 0003 0036 00000355
2022-04-06 14:54:48.134949 True [    2421.672576] 0003 0035 00000280
2022-04-06 14:54:48.134949 True [    2421.672576] 0003 0036 00000353
2022-04-06 14:54:48.143594 True [    2421.680760] 0003 0035 0000027e
2022-04-06 14:54:48.143594 True [    2421.680760] 0003 0036 00000350
2022-04-06 14:54:48.152727 True [    2421.689103] 0003 0035 0000027b
2022-04-06 14:54:48.152727 True [    2421.689103] 0003 0036 0000034f
2022-04-06 14:54:48.160233 True [    2421.697306] 0003 0035 0000027a
2022-04-06 14:54:48.160233 True [    2421.697306] 0003 0036 0000034d
2022-04-06 14:54:48.168806 True [    2421.705813] 0003 0035 00000278
2022-04-06 14:54:48.168806 True [    2421.705813] 0003 0036 0000034b
2022-04-06 14:54:48.176702 True [    2421.713916] 0003 0035 00000277
2022-04-06 14:54:48.185648 True [    2421.722427] 0003 0035 00000275
2022-04-06 14:54:48.185648 True [    2421.722427] 0003 0036 00000349
2022-04-06 14:54:48.193491 True [    2421.730875] 0003 0035 00000274
2022-04-06 14:54:48.193491 True [    2421.730875] 0003 0036 00000348
2022-04-06 14:54:48.200891 True [    2421.738934] 0003 0036 00000347
2022-04-06 14:54:48.219067 True [    2421.747125] 0003 0035 00000272
2022-04-06 14:54:48.219067 True [    2421.755523] 0003 0035 00000270
2022-04-06 14:54:48.225676 True [    2421.763688] 0003 0035 0000026e
2022-04-06 14:54:48.225676 True [    2421.763688] 0003 0036 00000346
2022-04-06 14:54:48.235070 True [    2421.772188] 0003 0035 0000026d
2022-04-06 14:54:48.244668 True [    2421.780430] 0003 0035 0000026b
2022-04-06 14:54:48.251520 True [    2421.788763] 0003 0035 0000026a
2022-04-06 14:54:48.269730 True [    2421.805572] 0003 0035 00000269
2022-04-06 14:54:48.269730 True [    2421.805572] 0003 0036 00000345
2022-04-06 14:54:48.275793 True [    2421.813610] 0003 0035 00000268
2022-04-06 14:54:48.283959 True [    2421.822043] 0003 0035 00000267
2022-04-06 14:54:48.283959 True [    2421.822043] 0003 0036 00000344
2022-04-06 14:54:48.293107 True [    2421.830254] 0003 0035 00000266
2022-04-06 14:54:48.301832 True [    2421.838666] 0003 0035 00000265
2022-04-06 14:54:48.301832 True [    2421.838666] 0003 0036 00000343
2022-04-06 14:54:48.309825 True [    2421.846838] 0003 0035 00000264
2022-04-06 14:54:48.309825 True [    2421.846838] 0003 0036 00000342
2022-04-06 14:54:48.318195 True [    2421.855262] 0003 0035 00000263
2022-04-06 14:54:48.325934 True [    2421.863462] 0003 0035 00000262
2022-04-06 14:54:48.342835 True [    2421.880162] 0003 0035 00000261
2022-04-06 14:54:48.342835 True [    2421.880162] 0003 0036 00000341
2022-04-06 14:54:48.352963 True [    2421.888554] 0003 0035 00000260
2022-04-06 14:54:48.358777 True [    2421.896701] 0003 0035 0000025f
2022-04-06 14:54:48.358777 True [    2421.896701] 0003 0036 00000340
2022-04-06 14:54:48.375683 True [    2421.913422] 0003 0035 0000025e
2022-04-06 14:54:48.375683 True [    2421.913422] 0003 0036 0000033f
2022-04-06 14:54:48.384710 True [    2421.921750] 0003 0035 0000025d
2022-04-06 14:54:48.392690 True [    2421.929945] 0003 0035 0000025c
2022-04-06 14:54:48.399952 True [    2421.938375] 0003 0035 0000025b
2022-04-06 14:54:48.408892 True [    2421.946568] 0003 0036 0000033e
2022-04-06 14:54:48.417049 True [    2421.954977] 0003 0035 0000025a
2022-04-06 14:54:48.425200 True [    2421.963215] 0003 0035 00000257
2022-04-06 14:54:48.433791 True [    2421.971598] 0003 0035 00000255
2022-04-06 14:54:48.441758 True [    2421.979814] 0003 0035 00000253
2022-04-06 14:54:48.441758 True [    2421.979814] 0003 0036 0000033d
2022-04-06 14:54:48.451120 True [    2421.988306] 0003 0035 00000251
2022-04-06 14:54:48.458869 True [    2421.996427] 0003 0035 0000024f
