Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.13546263185060836 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:22:12.714560 False [     725.136402] 0003 0035 00000444
2022-04-06 14:22:12.714560 False [     725.136402] 0003 0036 00000390
2022-04-06 14:22:12.722504 False [     725.144712] 0003 0036 0000038f
2022-04-06 14:22:12.732576 False [     725.153092] 0003 0035 00000443
2022-04-06 14:22:12.732576 False [     725.153092] 0003 0036 0000038e
2022-04-06 14:22:12.739288 False [     725.161259] 0003 0036 0000038c
2022-04-06 14:22:12.749363 False [     725.169729] 0003 0035 00000442
2022-04-06 14:22:12.749363 False [     725.169729] 0003 0036 0000038b
2022-04-06 14:22:12.755655 False [     725.177930] 0003 0035 00000441
2022-04-06 14:22:12.755655 False [     725.177930] 0003 0036 00000389
2022-04-06 14:22:12.772569 False [     725.194577] 0003 0036 00000387
2022-04-06 14:22:12.782149 False [     725.203082] 0003 0035 00000440
2022-04-06 14:22:12.782149 False [     725.203082] 0003 0036 00000386
2022-04-06 14:22:12.797844 False [     725.219703] 0003 0035 0000043f
2022-04-06 14:22:12.797844 False [     725.219703] 0003 0036 00000384
2022-04-06 14:22:12.807041 False [     725.227958] 0003 0035 0000043e
2022-04-06 14:22:12.807041 False [     725.227958] 0003 0036 00000383
2022-04-06 14:22:12.813843 False [     725.236420] 0003 0035 0000043d
2022-04-06 14:22:12.813843 False [     725.236420] 0003 0036 00000381
2022-04-06 14:22:12.821717 False [     725.244596] 0003 0036 0000037f
2022-04-06 14:22:12.830674 False [     725.253060] 0003 0035 0000043c
2022-04-06 14:22:12.830674 False [     725.253060] 0003 0036 0000037e
2022-04-06 14:22:12.838967 False [     725.261275] 0003 0035 0000043b
2022-04-06 14:22:12.838967 False [     725.261275] 0003 0036 0000037c
2022-04-06 14:22:12.847629 False [     725.269693] 0003 0036 0000037b
2022-04-06 14:22:12.855731 False [     725.277927] 0003 0035 0000043a
2022-04-06 14:22:12.855731 False [     725.277927] 0003 0036 0000037a
2022-04-06 14:22:12.863715 False [     725.286388] 0003 0036 00000379
2022-04-06 14:22:12.872523 False [     725.294572] 0003 0035 00000439
2022-04-06 14:22:12.872523 False [     725.294572] 0003 0036 00000378
2022-04-06 14:22:12.889681 False [     725.311291] 0003 0035 00000438
2022-04-06 14:22:12.889681 False [     725.311291] 0003 0036 00000377
2022-04-06 14:22:12.897718 False [     725.319681] 0003 0035 00000437
2022-04-06 14:22:12.897718 False [     725.319681] 0003 0036 00000376
2022-04-06 14:22:12.905648 False [     725.327926] 0003 0035 00000436
2022-04-06 14:22:12.905648 False [     725.327926] 0003 0036 00000375
2022-04-06 14:22:12.925550 False [     725.344583] 0003 0035 00000435
2022-04-06 14:22:12.925550 False [     725.344583] 0003 0036 00000374
2022-04-06 14:22:12.931691 False [     725.353072] 0003 0035 00000434
2022-04-06 14:22:12.939255 False [     725.361258] 0003 0035 00000433
2022-04-06 14:22:12.967175 False [     725.386390] 0003 0035 00000432
2022-04-06 14:22:12.972631 False [     725.394676] 0003 0035 00000431
2022-04-06 14:22:12.980721 False [     725.403038] 0003 0035 00000430
2022-04-06 14:22:12.980721 False [     725.403038] 0003 0036 00000375
2022-04-06 14:22:12.989793 False [     725.411271] 0003 0035 0000042f
2022-04-06 14:22:12.989793 False [     725.411271] 0003 0036 00000376
