Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.6310691985003918 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 17:10:03.370907 False [   25580.807906] 0003 0036 00000277
2022-03-16 17:10:03.389154 False [   25580.825514] 0003 0035 00000379
2022-03-16 17:10:03.389154 False [   25580.825514] 0003 0036 00000270
2022-03-16 17:10:03.405635 False [   25580.841999] 0003 0035 00000392
2022-03-16 17:10:03.405635 False [   25580.841999] 0003 0036 00000269
2022-03-16 17:10:03.422228 False [   25580.859184] 0003 0035 000003ab
2022-03-16 17:10:03.422228 False [   25580.859184] 0003 0036 00000261
2022-03-16 17:10:03.440042 False [   25580.876155] 0003 0035 000003c4
2022-03-16 17:10:03.440042 False [   25580.876155] 0003 0036 0000025a
2022-03-16 17:10:03.456361 False [   25580.892725] 0003 0035 000003dd
2022-03-16 17:10:03.456361 False [   25580.892725] 0003 0036 00000253
2022-03-16 17:10:03.473073 False [   25580.909576] 0003 0035 000003f2
2022-03-16 17:10:03.473073 False [   25580.909576] 0003 0036 0000024d
2022-03-16 17:10:03.490443 False [   25580.926885] 0003 0035 00000402
2022-03-16 17:10:03.490443 False [   25580.926885] 0003 0036 00000247
2022-03-16 17:10:03.506884 False [   25580.943485] 0003 0035 0000040f
2022-03-16 17:10:03.506884 False [   25580.943485] 0003 0036 00000242
2022-03-16 17:10:03.524579 False [   25580.960904] 0003 0035 00000417
2022-03-16 17:10:03.524579 False [   25580.960904] 0003 0036 0000023f
2022-03-16 17:10:03.541163 False [   25580.977748] 0003 0035 0000041c
2022-03-16 17:10:03.541163 False [   25580.977748] 0003 0036 0000023d
2022-03-16 17:10:03.557797 False [   25580.994269] 0003 0035 0000041c
2022-03-16 17:10:03.557797 False [   25580.994269] 0003 0036 0000023d
2022-03-16 17:10:03.574705 False [   25581.011238] 0003 0035 00000417
2022-03-16 17:10:03.574705 False [   25581.011238] 0003 0036 00000240
2022-03-16 17:10:03.592026 False [   25581.028434] 0003 0035 00000407
2022-03-16 17:10:03.592026 False [   25581.028434] 0003 0036 00000246
2022-03-16 17:10:03.608861 False [   25581.045094] 0003 0035 000003f3
2022-03-16 17:10:03.608861 False [   25581.045094] 0003 0036 0000024e
2022-03-16 17:10:03.626174 False [   25581.062408] 0003 0035 000003dc
2022-03-16 17:10:03.627205 False [   25581.062408] 0003 0036 00000257
2022-03-16 17:10:03.641942 False [   25581.078991] 0003 0035 000003c0
2022-03-16 17:10:03.641942 False [   25581.078991] 0003 0036 00000261
2022-03-16 17:10:03.659805 False [   25581.096132] 0003 0035 000003a6
2022-03-16 17:10:03.659805 False [   25581.096132] 0003 0036 0000026b
2022-03-16 17:10:03.678952 False [   25581.115436] 0003 0035 00000392
2022-03-16 17:10:03.678952 False [   25581.115436] 0003 0036 00000274
2022-03-16 17:10:03.693958 False [   25581.130411] 0003 0035 00000383
