Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:25:50.628215 False [   90673.448365] 0003 0035 000000fb
2022-03-10 16:25:50.649235 False [   90673.465425] 0003 0035 000000ff
2022-03-10 16:25:50.663343 False [   90673.482473] 0003 0035 00000104
2022-03-10 16:25:50.679560 False [   90673.499592] 0003 0035 00000108
2022-03-10 16:25:50.696721 False [   90673.516294] 0003 0035 00000108
2022-03-10 16:25:50.716689 False [   90673.533124] 0003 0035 0000010d
2022-03-10 16:25:50.730499 False [   90673.550431] 0003 0035 00000112
2022-03-10 16:25:50.747823 False [   90673.567003] 0003 0035 00000116
2022-03-10 16:25:50.764780 False [   90673.584355] 0003 0035 0000011b
2022-03-10 16:25:50.781082 False [   90673.600930] 0003 0035 0000011f
2022-03-10 16:25:50.798495 False [   90673.617909] 0003 0035 00000123
2022-03-10 16:25:50.816191 False [   90673.634765] 0003 0035 00000127
2022-03-10 16:25:50.832299 False [   90673.651714] 0003 0035 00000127
2022-03-10 16:25:50.849321 False [   90673.668727] 0003 0035 00000127
2022-03-10 16:25:50.869928 False [   90673.685703] 0003 0035 00000127
2022-03-10 16:25:50.882715 False [   90673.702547] 0003 0035 0000012a
2022-03-10 16:25:50.898696 False [   90673.719639] 0003 0035 0000012a
2022-03-10 16:25:50.918396 False [   90673.736444] 0003 0035 0000012d
2022-03-10 16:25:50.934586 False [   90673.753428] 0003 0035 0000012d
2022-03-10 16:25:50.951496 False [   90673.770314] 0003 0035 00000130
2022-03-10 16:25:50.970269 False [   90673.787548] 0003 0035 00000132
2022-03-10 16:25:50.984760 False [   90673.804221] 0003 0035 00000132
2022-03-10 16:25:51.002971 False [   90673.821597] 0003 0035 00000135
2022-03-10 16:25:51.021890 False [   90673.838101] 0003 0035 00000135
2022-03-10 16:25:51.035016 False [   90673.855063] 0003 0035 00000138
2022-03-10 16:25:51.055326 False [   90673.872176] 0003 0035 00000138
2022-03-10 16:25:51.073088 False [   90673.889317] 0003 0035 00000138
2022-03-10 16:25:51.087206 False [   90673.905886] 0003 0035 0000013c
2022-03-10 16:25:51.107967 False [   90673.922813] 0003 0035 0000013c
2022-03-10 16:25:51.123412 False [   90673.939759] 0003 0035 00000140
2022-03-10 16:25:51.136425 False [   90673.956678] 0003 0035 00000140
2022-03-10 16:25:51.158593 False [   90673.973839] 0003 0035 00000144
2022-03-10 16:25:51.174080 False [   90673.991267] 0003 0035 00000148
2022-03-10 16:25:51.189394 False [   90674.007512] 0003 0035 0000014c
2022-03-10 16:25:51.205670 False [   90674.024498] 0003 0035 00000150
2022-03-10 16:25:51.225266 False [   90674.041419] 0003 0035 00000154
2022-03-10 16:25:51.239971 False [   90674.058894] 0003 0035 00000159
2022-03-10 16:25:51.256447 False [   90674.075384] 0003 0035 0000015e
2022-03-10 16:25:51.276083 False [   90674.092374] 0003 0035 00000162
2022-03-10 16:25:51.290030 False [   90674.109257] 0003 0035 00000162
2022-03-10 16:25:51.308336 False [   90674.126152] 0003 0035 00000166
2022-03-10 16:25:51.328217 False [   90674.143071] 0003 0035 00000166
