Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:40.018157 False [   19949.226661] 0003 0036 000001cd
2022-04-07 19:13:40.018157 False [   19949.236447] 0003 0035 00000491
2022-04-07 19:13:40.018157 False [   19949.236447] 0003 0036 000001c7
2022-04-07 19:13:40.018157 False [   19949.247639] 0003 0035 0000047b
2022-04-07 19:13:40.018157 False [   19949.247639] 0003 0036 000001bf
2022-04-07 19:13:40.018157 False [   19949.258411] 0003 0035 00000463
2022-04-07 19:13:40.018157 False [   19949.258411] 0003 0036 000001b7
2022-04-07 19:13:40.018157 False [   19949.267721] 0003 0035 00000434
2022-04-07 19:13:40.018157 False [   19949.267721] 0003 0036 000001a8
2022-04-07 19:13:40.072293 False [   19949.274280] 0003 0035 0000041b
2022-04-07 19:13:40.072293 False [   19949.274280] 0003 0036 000001a1
2022-04-07 19:13:40.072293 False [   19949.282698] 0003 0035 00000401
2022-04-07 19:13:40.072293 False [   19949.282698] 0003 0036 0000019b
2022-04-07 19:13:40.072293 False [   19949.292397] 0003 0035 000003e5
2022-04-07 19:13:40.072293 False [   19949.292397] 0003 0036 00000197
2022-04-07 19:13:40.072293 False [   19949.302487] 0003 0035 000003c7
2022-04-07 19:13:40.072293 False [   19949.302487] 0003 0036 00000193
2022-04-07 19:13:40.072293 False [   19949.311291] 0003 0035 000003a9
2022-04-07 19:13:40.072293 False [   19949.311291] 0003 0036 00000190
2022-04-07 19:13:40.072293 False [   19949.320316] 0003 0035 0000038b
2022-04-07 19:13:40.072293 False [   19949.320316] 0003 0036 0000018f
2022-04-07 19:13:40.128110 False [   19949.329081] 0003 0035 0000036d
2022-04-07 19:13:40.128110 False [   19949.329081] 0003 0036 0000018e
2022-04-07 19:13:40.128110 False [   19949.337232] 0003 0035 0000034a
2022-04-07 19:13:40.128110 False [   19949.347857] 0003 0035 0000032a
2022-04-07 19:13:40.128110 False [   19949.358194] 0003 0035 00000309
2022-04-07 19:13:40.128110 False [   19949.368222] 0003 0035 000002c6
2022-04-07 19:13:40.128110 False [   19949.368222] 0003 0036 00000190
2022-04-07 19:13:40.128110 False [   19949.375203] 0003 0035 000002a3
2022-04-07 19:13:40.128110 False [   19949.375203] 0003 0036 00000191
2022-04-07 19:13:40.198134 False [   19949.383433] 0003 0035 0000027e
2022-04-07 19:13:40.198134 False [   19949.383433] 0003 0036 00000192
2022-04-07 19:13:40.198134 False [   19949.392636] 0003 0035 0000025a
2022-04-07 19:13:40.198134 False [   19949.392636] 0003 0036 00000193
2022-04-07 19:13:40.198134 False [   19949.401391] 0003 0035 00000237
2022-04-07 19:13:40.198134 False [   19949.401391] 0003 0036 00000194
2022-04-07 19:13:40.198134 False [   19949.410167] 0003 0035 00000214
2022-04-07 19:13:40.198134 False [   19949.420433] 0003 0035 000001f0
2022-04-07 19:13:40.198134 False [   19949.430512] 0003 0035 000001d0
2022-04-07 19:13:40.247443 False [   19949.441716] 0003 0035 000001af
2022-04-07 19:13:40.247443 False [   19949.441716] 0003 0036 00000193
2022-04-07 19:13:40.247443 False [   19949.451649] 0003 0035 00000172
2022-04-07 19:13:40.247443 False [   19949.451649] 0003 0036 00000191
2022-04-07 19:13:40.247443 False [   19949.458592] 0003 0035 00000156
2022-04-07 19:13:40.247443 False [   19949.458592] 0003 0036 0000018f
2022-04-07 19:13:40.247443 False [   19949.469241] 0003 0035 0000013a
2022-04-07 19:13:40.247443 False [   19949.469241] 0003 0036 0000018e
2022-04-07 19:13:40.247443 False [   19949.473859] 0003 0035 00000122
2022-04-07 19:13:40.247443 False [   19949.473859] 0003 0036 0000018d
2022-04-07 19:13:40.247443 False [   19949.482534] 0003 0035 0000010b
2022-04-07 19:13:40.247443 False [   19949.482534] 0003 0036 0000018b
