Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.1520927405445303 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:33:19.954214 True [  143913.884288] 0003 0035 00000324
2022-04-02 13:33:19.954214 True [  143913.884288] 0003 0036 0000055c
2022-04-02 13:33:19.961976 True [  143913.892316] 0003 0035 00000327
2022-04-02 13:33:19.961976 True [  143913.892316] 0003 0036 0000056a
2022-04-02 13:33:19.970217 True [  143913.900756] 0003 0035 0000032a
2022-04-02 13:33:19.971176 True [  143913.900756] 0003 0036 00000578
2022-04-02 13:33:19.978720 True [  143913.909026] 0003 0035 0000032d
2022-04-02 13:33:19.978720 True [  143913.909026] 0003 0036 00000586
2022-04-02 13:33:19.987854 True [  143913.917411] 0003 0035 00000330
2022-04-02 13:33:19.987854 True [  143913.917411] 0003 0036 00000593
2022-04-02 13:33:19.996015 True [  143913.925602] 0003 0035 00000332
2022-04-02 13:33:19.996015 True [  143913.925602] 0003 0036 000005a0
2022-04-02 13:33:20.003961 True [  143913.934055] 0003 0035 00000335
2022-04-02 13:33:20.003961 True [  143913.934055] 0003 0036 000005ae
2022-04-02 13:33:20.012850 True [  143913.942384] 0003 0035 00000336
2022-04-02 13:33:20.012850 True [  143913.942384] 0003 0036 000005b7
2022-04-02 13:33:20.020732 True [  143913.950671] 0003 0035 00000339
2022-04-02 13:33:20.020732 True [  143913.950671] 0003 0036 000005c7
2022-04-02 13:33:20.029130 True [  143913.958923] 0003 0035 0000033b
2022-04-02 13:33:20.029130 True [  143913.958923] 0003 0036 000005d1
2022-04-02 13:33:20.037956 True [  143913.967314] 0003 0035 0000033d
2022-04-02 13:33:20.037956 True [  143913.967314] 0003 0036 000005e3
2022-04-02 13:33:20.046144 True [  143913.975450] 0003 0035 0000033f
2022-04-02 13:33:20.046144 True [  143913.975450] 0003 0036 000005ee
2022-04-02 13:33:20.053917 True [  143913.983852] 0003 0035 00000340
2022-04-02 13:33:20.053917 True [  143913.983852] 0003 0036 000005ff
2022-04-02 13:33:20.061951 True [  143913.992175] 0003 0036 0000060a
2022-04-02 13:33:20.070980 True [  143914.000844] 0003 0036 0000061b
2022-04-02 13:33:20.078557 True [  143914.008821] 0003 0036 00000626
2022-04-02 13:33:20.087942 True [  143914.017097] 0003 0035 0000033e
2022-04-02 13:33:20.087942 True [  143914.017097] 0003 0036 0000063a
2022-04-02 13:33:20.095847 True [  143914.025284] 0003 0035 0000033d
2022-04-02 13:33:20.095847 True [  143914.025284] 0003 0036 00000646
2022-04-02 13:33:20.104030 True [  143914.033766] 0003 0035 0000033c
2022-04-02 13:33:20.104030 True [  143914.033766] 0003 0036 00000657
2022-04-02 13:33:20.114396 True [  143914.042225] 0003 0035 0000033b
2022-04-02 13:33:20.114396 True [  143914.042225] 0003 0036 00000662
2022-04-02 13:33:20.120787 True [  143914.050358] 0003 0035 0000033a
2022-04-02 13:33:20.120787 True [  143914.050358] 0003 0036 00000672
2022-04-02 13:33:20.129560 True [  143914.058598] 0003 0035 00000339
2022-04-02 13:33:20.129560 True [  143914.058598] 0003 0036 0000067d
2022-04-02 13:33:20.138088 True [  143914.067060] 0003 0035 00000338
2022-04-02 13:33:20.138088 True [  143914.067060] 0003 0036 0000068e
2022-04-02 13:33:20.145205 True [  143914.075263] 0003 0035 00000337
2022-04-02 13:33:20.145205 True [  143914.075263] 0003 0036 00000699
2022-04-02 13:33:20.154083 True [  143914.083595] 0003 0035 00000336
2022-04-02 13:33:20.154083 True [  143914.083595] 0003 0036 000006a9
2022-04-02 13:33:20.161923 True [  143914.091859] 0003 0035 00000335
2022-04-02 13:33:20.161923 True [  143914.091859] 0003 0036 000006b3
2022-04-02 13:33:20.171125 True [  143914.100300] 0003 0036 000006c3
2022-04-02 13:33:20.179053 True [  143914.108682] 0003 0036 000006cd
2022-04-02 13:33:20.185982 True [  143914.116835] 0003 0036 000006de
2022-04-02 13:33:20.195324 True [  143914.125147] 0003 0036 000006e8
2022-04-02 13:33:20.203895 True [  143914.133555] 0003 0035 00000334
2022-04-02 13:33:20.203895 True [  143914.133555] 0003 0036 000006f8
2022-04-02 13:33:20.211815 True [  143914.141713] 0003 0036 00000702
2022-04-02 13:33:20.219931 True [  143914.150051] 0003 0036 00000710
2022-04-02 13:33:20.228765 True [  143914.158372] 0003 0035 00000333
2022-04-02 13:33:20.228765 True [  143914.158372] 0003 0036 0000071a
2022-04-02 13:33:20.235934 True [  143914.166777] 0003 0035 00000332
2022-04-02 13:33:20.235934 False [  143914.166777] 0003 0036 00000729
2022-04-02 13:33:20.244320 False [  143914.174933] 0003 0035 00000331
2022-04-02 13:33:20.244320 False [  143914.174933] 0003 0036 00000734
2022-04-02 13:33:20.253764 False [  143914.183369] 0003 0036 00000741
2022-04-02 13:33:20.260804 False [  143914.191682] 0003 0036 0000074a
2022-04-02 13:33:20.270132 False [  143914.199992] 0003 0035 00000330
2022-04-02 13:33:20.270132 False [  143914.199992] 0003 0036 00000758
2022-04-02 13:33:20.278476 False [  143914.208245] 0003 0035 0000032f
2022-04-02 13:33:20.278476 False [  143914.208245] 0003 0036 00000761
2022-04-02 13:33:20.286874 False [  143914.216752] 0003 0036 0000076d
2022-04-02 13:33:20.294138 False [  143914.224820] 0003 0035 0000032e
2022-04-02 13:33:20.294138 False [  143914.224820] 0003 0036 00000775
2022-04-02 13:33:20.303028 False [  143914.233226] 0003 0036 00000780
2022-04-02 13:33:20.311518 False [  143914.241408] 0003 0036 00000788
2022-04-02 13:33:20.319705 False [  143914.249820] 0003 0036 0000078d
2022-04-02 13:33:20.328536 False [  143914.258117] 0003 0035 0000032d
2022-04-02 13:33:20.328536 False [  143914.258117] 0003 0036 00000796
2022-04-02 13:33:20.335847 False [  143914.266446] 0003 0036 0000079d
2022-04-02 13:33:20.346204 False [  143914.274780] 0003 0036 000007a2
2022-04-02 13:33:20.353559 False [  143914.283104] 0003 0035 0000032c
2022-04-02 13:33:20.353559 False [  143914.283104] 0003 0036 000007a9
2022-04-02 13:33:20.361843 False [  143914.291308] 0003 0036 000007af
2022-04-02 13:33:20.369499 False [  143914.299684] 0003 0035 0000032b
2022-04-02 13:33:20.369499 False [  143914.299684] 0003 0036 000007b3
2022-04-02 13:33:20.378032 False [  143914.307884] 0003 0036 000007b9
2022-04-02 13:33:20.386229 False [  143914.316361] 0003 0035 0000032a
2022-04-02 13:33:20.386229 False [  143914.316361] 0003 0036 000007be
2022-04-02 13:33:20.394241 False [  143914.324594] 0003 0036 000007c3
2022-04-02 13:33:20.402736 False [  143914.332913] 0003 0036 000007c8
2022-04-02 13:33:20.411198 False [  143914.341146] 0003 0035 00000329
2022-04-02 13:33:20.411198 False [  143914.341146] 0003 0036 000007cd
2022-04-02 13:33:20.420321 False [  143914.349569] 0003 0036 000007d1
2022-04-02 13:33:20.427524 False [  143914.357722] 0003 0036 000007d5
2022-04-02 13:33:20.435948 False [  143914.366176] 0003 0036 000007d9
2022-04-02 13:33:20.444269 False [  143914.374428] 0003 0036 000007df
2022-04-02 13:33:20.454043 False [  143914.382869] 0003 0036 000007e5
