Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.7457779650029883 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:45:24.724968 False [  144638.645011] 0003 0036 000003a1
2022-04-02 13:45:24.733144 False [  144638.652974] 0003 0035 000000e8
2022-04-02 13:45:24.733144 False [  144638.652974] 0003 0036 000003a5
2022-04-02 13:45:24.741462 False [  144638.661578] 0003 0035 000000ed
2022-04-02 13:45:24.741462 False [  144638.661578] 0003 0036 000003a9
2022-04-02 13:45:24.750328 False [  144638.669535] 0003 0035 000000f0
2022-04-02 13:45:24.750328 False [  144638.669535] 0003 0036 000003ac
2022-04-02 13:45:24.759097 False [  144638.678127] 0003 0035 000000f3
2022-04-02 13:45:24.759097 False [  144638.678127] 0003 0036 000003af
2022-04-02 13:45:24.767277 False [  144638.686194] 0003 0035 000000f6
2022-04-02 13:45:24.767277 False [  144638.686194] 0003 0036 000003b3
2022-04-02 13:45:24.774495 False [  144638.694679] 0003 0035 000000fa
2022-04-02 13:45:24.774495 False [  144638.694679] 0003 0036 000003b7
2022-04-02 13:45:24.783288 False [  144638.703167] 0003 0035 000000fd
2022-04-02 13:45:24.783288 False [  144638.703167] 0003 0036 000003ba
2022-04-02 13:45:24.790968 False [  144638.711156] 0003 0035 00000101
2022-04-02 13:45:24.790968 False [  144638.711156] 0003 0036 000003be
2022-04-02 13:45:24.799975 False [  144638.719864] 0003 0035 00000104
2022-04-02 13:45:24.799975 False [  144638.719864] 0003 0036 000003c2
2022-04-02 13:45:24.807243 False [  144638.727915] 0003 0035 00000108
2022-04-02 13:45:24.807243 False [  144638.727915] 0003 0036 000003c6
2022-04-02 13:45:24.816229 False [  144638.736183] 0003 0035 0000010b
2022-04-02 13:45:24.816229 False [  144638.736183] 0003 0036 000003ca
2022-04-02 13:45:24.824440 False [  144638.744899] 0003 0035 0000010f
2022-04-02 13:45:24.824440 False [  144638.744899] 0003 0036 000003cc
2022-04-02 13:45:24.832317 False [  144638.752651] 0003 0035 00000111
2022-04-02 13:45:24.832317 False [  144638.752651] 0003 0036 000003d1
2022-04-02 13:45:24.841515 False [  144638.761451] 0003 0035 00000114
2022-04-02 13:45:24.841515 False [  144638.761451] 0003 0036 000003d4
2022-04-02 13:45:24.849890 False [  144638.769703] 0003 0035 00000117
2022-04-02 13:45:24.849890 False [  144638.769703] 0003 0036 000003d7
2022-04-02 13:45:24.857946 False [  144638.777717] 0003 0035 0000011b
2022-04-02 13:45:24.857946 False [  144638.777717] 0003 0036 000003db
2022-04-02 13:45:24.866786 False [  144638.785993] 0003 0035 0000011e
2022-04-02 13:45:24.866786 False [  144638.785993] 0003 0036 000003de
2022-04-02 13:45:24.874485 False [  144638.794313] 0003 0035 00000121
2022-04-02 13:45:24.874485 False [  144638.794313] 0003 0036 000003e1
2022-04-02 13:45:24.883827 False [  144638.802829] 0003 0035 00000124
2022-04-02 13:45:24.883827 False [  144638.802829] 0003 0036 000003e4
2022-04-02 13:45:24.890520 False [  144638.810947] 0003 0035 00000126
2022-04-02 13:45:24.890520 False [  144638.810947] 0003 0036 000003e6
2022-04-02 13:45:24.899902 False [  144638.819343] 0003 0035 00000128
2022-04-02 13:45:24.899902 False [  144638.819343] 0003 0036 000003e9
2022-04-02 13:45:24.917221 False [  144638.835966] 0003 0035 0000012d
2022-04-02 13:45:24.917221 False [  144638.835966] 0003 0036 000003ec
2022-04-02 13:45:24.924006 False [  144638.844479] 0003 0035 00000131
2022-04-02 13:45:24.924006 False [  144638.844479] 0003 0036 000003ef
2022-04-02 13:45:24.941507 False [  144638.861008] 0003 0035 00000136
2022-04-02 13:45:24.941507 False [  144638.861008] 0003 0036 000003f3
2022-04-02 13:45:24.949370 False [  144638.869248] 0003 0035 00000139
2022-04-02 13:45:24.949370 False [  144638.869248] 0003 0036 000003f5
2022-04-02 13:45:24.957775 False [  144638.877675] 0003 0035 0000013c
2022-04-02 13:45:24.957775 False [  144638.877675] 0003 0036 000003f8
2022-04-02 13:45:24.966440 False [  144638.885692] 0003 0035 0000013f
2022-04-02 13:45:24.966440 False [  144638.885692] 0003 0036 000003f9
2022-04-02 13:45:24.974092 False [  144638.894311] 0003 0035 00000141
2022-04-02 13:45:24.974092 False [  144638.894311] 0003 0036 000003fb
2022-04-02 13:45:24.983239 False [  144638.902346] 0003 0035 00000144
2022-04-02 13:45:24.983239 False [  144638.902346] 0003 0036 000003fd
2022-04-02 13:45:24.990308 False [  144638.910991] 0003 0035 00000146
2022-04-02 13:45:24.990308 False [  144638.910991] 0003 0036 000003fe
2022-04-02 13:45:25.000578 False [  144638.919066] 0003 0035 00000148
2022-04-02 13:45:25.000578 False [  144638.919066] 0003 0036 00000400
2022-04-02 13:45:25.007773 False [  144638.927689] 0003 0035 0000014b
2022-04-02 13:45:25.007773 False [  144638.927689] 0003 0036 00000401
2022-04-02 13:45:25.016776 False [  144638.935742] 0003 0035 0000014d
2022-04-02 13:45:25.016776 False [  144638.935742] 0003 0036 00000403
2022-04-02 13:45:25.025151 False [  144638.944083] 0003 0035 0000014f
2022-04-02 13:45:25.025151 False [  144638.944083] 0003 0036 00000404
2022-04-02 13:45:25.033187 False [  144638.952201] 0003 0035 00000153
2022-04-02 13:45:25.033187 False [  144638.952201] 0003 0036 00000406
2022-04-02 13:45:25.041268 False [  144638.960594] 0003 0035 00000155
2022-04-02 13:45:25.041268 False [  144638.960594] 0003 0036 00000408
2022-04-02 13:45:25.050198 False [  144638.968813] 0003 0035 00000157
2022-04-02 13:45:25.050198 False [  144638.968813] 0003 0036 00000409
2022-04-02 13:45:25.058249 False [  144638.977504] 0003 0035 0000015a
2022-04-02 13:45:25.058249 False [  144638.977504] 0003 0036 0000040b
2022-04-02 13:45:25.066228 False [  144638.985366] 0003 0035 0000015d
2022-04-02 13:45:25.066228 False [  144638.985366] 0003 0036 0000040d
2022-04-02 13:45:25.075203 False [  144638.993831] 0003 0035 00000161
2022-04-02 13:45:25.075203 False [  144638.993831] 0003 0036 0000040f
2022-04-02 13:45:25.082404 False [  144639.002194] 0003 0035 00000164
2022-04-02 13:45:25.082404 False [  144639.002194] 0003 0036 00000411
2022-04-02 13:45:25.092392 False [  144639.010614] 0003 0035 00000166
2022-04-02 13:45:25.092392 False [  144639.010614] 0003 0036 00000413
2022-04-02 13:45:25.098560 False [  144639.018659] 0003 0035 00000169
2022-04-02 13:45:25.098560 False [  144639.018659] 0003 0036 00000415
2022-04-02 13:45:25.108642 False [  144639.027444] 0003 0035 0000016d
2022-04-02 13:45:25.108642 False [  144639.027444] 0003 0036 00000417
2022-04-02 13:45:25.117273 False [  144639.035542] 0003 0035 00000170
2022-04-02 13:45:25.117273 False [  144639.035542] 0003 0036 00000419
2022-04-02 13:45:25.124636 False [  144639.043699] 0003 0035 00000173
2022-04-02 13:45:25.124636 False [  144639.043699] 0003 0036 0000041a
2022-04-02 13:45:25.133233 False [  144639.052189] 0003 0035 00000176
2022-04-02 13:45:25.133233 False [  144639.052189] 0003 0036 0000041d
2022-04-02 13:45:25.141139 False [  144639.060672] 0003 0035 0000017a
2022-04-02 13:45:25.141139 False [  144639.060672] 0003 0036 0000041f
2022-04-02 13:45:25.150700 False [  144639.068698] 0003 0035 0000017e
2022-04-02 13:45:25.150700 False [  144639.068698] 0003 0036 00000421
2022-04-02 13:45:25.156361 False [  144639.077008] 0003 0035 00000181
2022-04-02 13:45:25.156361 False [  144639.077008] 0003 0036 00000424
2022-04-02 13:45:25.166402 False [  144639.085117] 0003 0035 00000184
2022-04-02 13:45:25.166402 False [  144639.085117] 0003 0036 00000425
2022-04-02 13:45:25.173376 False [  144639.093582] 0003 0035 00000186
2022-04-02 13:45:25.173376 False [  144639.093582] 0003 0036 00000427
2022-04-02 13:45:25.181379 False [  144639.101713] 0003 0035 00000188
2022-04-02 13:45:25.181379 False [  144639.101713] 0003 0036 00000429
2022-04-02 13:45:25.190420 False [  144639.110425] 0003 0035 0000018c
2022-04-02 13:45:25.190420 False [  144639.110425] 0003 0036 0000042a
2022-04-02 13:45:25.198951 False [  144639.118370] 0003 0035 0000018e
2022-04-02 13:45:25.198951 False [  144639.118370] 0003 0036 0000042c
2022-04-02 13:45:25.207251 False [  144639.126857] 0003 0035 00000190
2022-04-02 13:45:25.207251 False [  144639.126857] 0003 0036 0000042e
2022-04-02 13:45:25.215232 False [  144639.135145] 0003 0035 00000193
2022-04-02 13:45:25.216206 False [  144639.135145] 0003 0036 0000042f
2022-04-02 13:45:25.224081 False [  144639.143399] 0003 0035 00000196
2022-04-02 13:45:25.224081 False [  144639.143399] 0003 0036 00000431
2022-04-02 13:45:25.231325 False [  144639.151706] 0003 0035 00000198
2022-04-02 13:45:25.231325 False [  144639.151706] 0003 0036 00000433
2022-04-02 13:45:25.240003 False [  144639.160532] 0003 0035 0000019a
2022-04-02 13:45:25.240003 False [  144639.160532] 0003 0036 00000434
2022-04-02 13:45:25.248682 False [  144639.168522] 0003 0035 0000019d
2022-04-02 13:45:25.248682 True [  144639.168522] 0003 0036 00000435
2022-04-02 13:45:25.256369 True [  144639.176835] 0003 0035 0000019f
2022-04-02 13:45:25.256369 True [  144639.176835] 0003 0036 00000437
2022-04-02 13:45:25.265159 True [  144639.184956] 0003 0035 000001a1
2022-04-02 13:45:25.265159 True [  144639.184956] 0003 0036 00000438
2022-04-02 13:45:25.274402 True [  144639.193476] 0003 0035 000001a4
2022-04-02 13:45:25.274402 True [  144639.193476] 0003 0036 0000043a
2022-04-02 13:45:25.282014 True [  144639.201502] 0003 0035 000001a5
2022-04-02 13:45:25.282014 True [  144639.201502] 0003 0036 0000043b
2022-04-02 13:45:25.291221 True [  144639.209976] 0003 0035 000001a8
2022-04-02 13:45:25.291221 True [  144639.209976] 0003 0036 0000043c
2022-04-02 13:45:25.299030 True [  144639.218245] 0003 0035 000001aa
2022-04-02 13:45:25.299030 True [  144639.218245] 0003 0036 0000043e
2022-04-02 13:45:25.317456 True [  144639.235080] 0003 0035 000001ad
2022-04-02 13:45:25.318393 True [  144639.235080] 0003 0036 0000043f
2022-04-02 13:45:25.323679 True [  144639.243151] 0003 0035 000001b1
2022-04-02 13:45:25.323679 True [  144639.243151] 0003 0036 00000442
2022-04-02 13:45:25.341227 True [  144639.260134] 0003 0035 000001b6
2022-04-02 13:45:25.341227 True [  144639.260134] 0003 0036 00000444
2022-04-02 13:45:25.348247 True [  144639.267974] 0003 0035 000001b9
2022-04-02 13:45:25.348247 True [  144639.267974] 0003 0036 00000446
2022-04-02 13:45:25.356228 True [  144639.276430] 0003 0035 000001bc
2022-04-02 13:45:25.356228 True [  144639.276430] 0003 0036 00000448
2022-04-02 13:45:25.364429 True [  144639.284700] 0003 0035 000001be
2022-04-02 13:45:25.364429 True [  144639.284700] 0003 0036 00000449
2022-04-02 13:45:25.372992 True [  144639.293121] 0003 0035 000001c1
2022-04-02 13:45:25.372992 True [  144639.293121] 0003 0036 0000044a
2022-04-02 13:45:25.382085 True [  144639.301238] 0003 0035 000001c4
2022-04-02 13:45:25.382085 True [  144639.301238] 0003 0036 0000044b
2022-04-02 13:45:25.398806 True [  144639.317895] 0003 0035 000001c7
2022-04-02 13:45:25.398806 True [  144639.317895] 0003 0036 0000044d
2022-04-02 13:45:25.407234 True [  144639.326618] 0003 0035 000001c9
2022-04-02 13:45:25.407234 True [  144639.326618] 0003 0036 0000044e
2022-04-02 13:45:25.422884 True [  144639.342922] 0003 0035 000001cc
2022-04-02 13:45:25.422884 True [  144639.342922] 0003 0036 0000044f
2022-04-02 13:45:25.431591 True [  144639.351437] 0003 0035 000001ce
2022-04-02 13:45:25.440270 True [  144639.359760] 0003 0035 000001d0
2022-04-02 13:45:25.440270 True [  144639.359760] 0003 0036 00000450
2022-04-02 13:45:25.449277 True [  144639.367808] 0003 0035 000001d1
2022-04-02 13:45:25.449277 True [  144639.367808] 0003 0036 00000451
2022-04-02 13:45:25.456207 True [  144639.376687] 0003 0035 000001d2
2022-04-02 13:45:25.465209 True [  144639.384585] 0003 0035 000001d3
2022-04-02 13:45:25.465209 True [  144639.384585] 0003 0036 00000452
2022-04-02 13:45:25.483385 True [  144639.401100] 0003 0035 000001d4
2022-04-02 13:45:25.490242 True [  144639.409429] 0003 0035 000001d5
2022-04-02 13:45:25.498149 True [  144639.417702] 0003 0035 000001d1
2022-04-02 13:45:25.498149 True [  144639.417702] 0003 0036 0000044f
2022-04-02 13:45:25.505353 True [  144639.425994] 0003 0035 000001cd
2022-04-02 13:45:25.505353 True [  144639.425994] 0003 0036 0000044c
2022-04-02 13:45:25.514329 True [  144639.434625] 0003 0035 000001cb
2022-04-02 13:45:25.514329 True [  144639.434625] 0003 0036 0000044a
2022-04-02 13:45:25.522733 True [  144639.442615] 0003 0035 000001c9
2022-04-02 13:45:25.522733 True [  144639.442615] 0003 0036 00000449
2022-04-02 13:45:25.531642 True [  144639.451293] 0003 0035 000001b5
2022-04-02 13:45:25.531642 True [  144639.451293] 0003 0036 0000043c
2022-04-02 13:45:25.539499 True [  144639.459557] 0003 0035 000001ab
2022-04-02 13:45:25.539499 True [  144639.459557] 0003 0036 00000436
2022-04-02 13:45:25.548732 True [  144639.467644] 0003 0035 000001a5
2022-04-02 13:45:25.548732 True [  144639.467644] 0003 0036 00000433
2022-04-02 13:45:25.557281 False [  144639.476335] 0003 0035 00000199
2022-04-02 13:45:25.557281 False [  144639.476335] 0003 0036 0000042e
2022-04-02 13:45:25.565163 False [  144639.484126] 0003 0035 00000190
2022-04-02 13:45:25.565163 False [  144639.484126] 0003 0036 0000042a
2022-04-02 13:45:25.573548 False [  144639.492726] 0003 0035 0000018c
2022-04-02 13:45:25.573548 False [  144639.492726] 0003 0036 00000428
2022-04-02 13:45:25.581033 False [  144639.500750] 0003 0035 00000183
2022-04-02 13:45:25.581033 False [  144639.500750] 0003 0036 00000423
2022-04-02 13:45:25.590133 False [  144639.509114] 0003 0035 0000017d
