Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.221698797590173 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:20:28.720514 False [  146752.000421] 0003 0036 00000276
2022-04-02 14:20:28.741235 False [  146752.008693] 0003 0036 00000277
2022-04-02 14:20:28.741235 False [  146752.023625] 0003 0036 00000278
2022-04-02 14:20:28.741235 False [  146752.035535] 0003 0035 000001b1
2022-04-02 14:20:28.741235 False [  146752.035535] 0003 0036 00000279
2022-04-02 14:20:28.780683 False [  146752.043738] 0003 0036 0000027a
2022-04-02 14:20:28.833360 False [  146752.058492] 0003 0035 000001b2
2022-04-02 14:20:28.833360 False [  146752.067095] 0003 0036 0000027b
2022-04-02 14:20:28.833360 False [  146752.075760] 0003 0036 0000027c
2022-04-02 14:20:28.833360 False [  146752.084405] 0003 0035 000001b3
2022-04-02 14:20:28.833360 False [  146752.095821] 0003 0036 0000027d
2022-04-02 14:20:28.844079 False [  146752.108467] 0003 0036 0000027e
2022-04-02 14:20:28.844079 False [  146752.121915] 0003 0035 000001b4
2022-04-02 14:20:28.844079 False [  146752.121915] 0003 0036 0000027f
2022-04-02 14:20:28.844079 False [  146752.133466] 0003 0035 000001b5
2022-04-02 14:20:28.848152 False [  146752.149970] 0003 0035 000001b6
2022-04-02 14:20:28.848152 False [  146752.149970] 0003 0036 00000280
2022-04-02 14:20:28.866306 False [  146752.166589] 0003 0035 000001b7
2022-04-02 14:20:28.866306 False [  146752.166589] 0003 0036 00000281
2022-04-02 14:20:28.880948 False [  146752.183248] 0003 0036 00000282
2022-04-02 14:20:28.914069 False [  146752.199833] 0003 0036 00000283
2022-04-02 14:20:28.928467 False [  146752.210294] 0003 0035 000001b8
2022-04-02 14:20:28.928467 False [  146752.216938] 0003 0036 00000284
2022-04-02 14:20:28.941428 False [  146752.233187] 0003 0035 000001b9
2022-04-02 14:20:28.949131 False [  146752.249768] 0003 0035 000001ba
2022-04-02 14:20:28.949131 False [  146752.249768] 0003 0036 00000285
2022-04-02 14:20:28.975022 False [  146752.266433] 0003 0036 00000286
2022-04-02 14:20:28.987071 False [  146752.278039] 0003 0036 00000287
2022-04-02 14:20:28.991627 False [  146752.291134] 0003 0035 000001bb
2022-04-02 14:20:28.991627 False [  146752.291134] 0003 0036 00000288
2022-04-02 14:20:29.015165 False [  146752.316452] 0003 0035 000001bc
2022-04-02 14:20:29.015165 False [  146752.316452] 0003 0036 00000289
2022-04-02 14:20:29.066133 False [  146752.332973] 0003 0036 0000028a
2022-04-02 14:20:29.071344 False [  146752.348415] 0003 0035 000001bd
2022-04-02 14:20:29.071344 False [  146752.359575] 0003 0036 0000028b
2022-04-02 14:20:29.071344 False [  146752.371653] 0003 0035 000001be
2022-04-02 14:20:29.071344 False [  146752.371653] 0003 0036 0000028c
2022-04-02 14:20:29.132840 False [  146752.390889] 0003 0036 0000028d
2022-04-02 14:20:29.150819 False [  146752.401038] 0003 0035 000001bf
2022-04-02 14:20:29.150819 False [  146752.411362] 0003 0036 0000028e
2022-04-02 14:20:29.150819 False [  146752.421377] 0003 0035 000001c0
2022-04-02 14:20:29.150819 False [  146752.434233] 0003 0036 0000028f
2022-04-02 14:20:29.150819 False [  146752.448790] 0003 0035 000001c1
2022-04-02 14:20:29.150819 False [  146752.448790] 0003 0036 00000290
2022-04-02 14:20:29.150819 False [  146752.456696] 0003 0036 00000291
2022-04-02 14:20:29.181621 False [  146752.474240] 0003 0035 000001c2
2022-04-02 14:20:29.181621 False [  146752.474240] 0003 0036 00000292
2022-04-02 14:20:29.235124 False [  146752.482488] 0003 0035 000001c3
2022-04-02 14:20:29.235124 False [  146752.482488] 0003 0036 00000293
2022-04-02 14:20:29.235124 False [  146752.494263] 0003 0035 000001c4
2022-04-02 14:20:29.235124 False [  146752.494263] 0003 0036 00000294
2022-04-02 14:20:29.261121 False [  146752.499029] 0003 0035 000001c5
2022-04-02 14:20:29.261121 False [  146752.510789] 0003 0036 00000295
2022-04-02 14:20:29.261121 False [  146752.523869] 0003 0035 000001c6
2022-04-02 14:20:29.261121 False [  146752.537418] 0003 0035 000001c7
2022-04-02 14:20:29.261121 False [  146752.537418] 0003 0036 00000296
