Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:48:49.933661 False [   35446.954472] 0003 0036 0000077f
2022-03-16 19:48:49.940098 False [   35446.962647] 0003 0035 000001b7
2022-03-16 19:48:49.940098 False [   35446.962647] 0003 0036 0000077c
2022-03-16 19:48:49.948391 False [   35446.971357] 0003 0036 0000077b
2022-03-16 19:48:49.958100 False [   35446.979299] 0003 0035 000001b9
2022-03-16 19:48:49.959105 False [   35446.979299] 0003 0036 0000077a
2022-03-16 19:48:49.967155 False [   35446.987989] 0003 0035 000001ba
2022-03-16 19:48:49.967155 False [   35446.987989] 0003 0036 00000779
2022-03-16 19:48:49.974818 False [   35446.995901] 0003 0036 00000778
2022-03-16 19:48:49.984558 False [   35447.004856] 0003 0035 000001bc
2022-03-16 19:48:49.984558 False [   35447.004856] 0003 0036 00000776
2022-03-16 19:48:49.993047 False [   35447.012573] 0003 0035 000001bd
2022-03-16 19:48:49.993047 False [   35447.012573] 0003 0036 00000775
2022-03-16 19:48:49.999760 False [   35447.021017] 0003 0035 000001be
2022-03-16 19:48:49.999760 False [   35447.021017] 0003 0036 00000774
2022-03-16 19:48:50.005852 False [   35447.029066] 0003 0036 00000773
2022-03-16 19:48:50.018433 False [   35447.037707] 0003 0035 000001bf
2022-03-16 19:48:50.018433 False [   35447.037707] 0003 0036 00000772
2022-03-16 19:48:50.024663 False [   35447.045777] 0003 0035 000001c0
2022-03-16 19:48:50.024663 False [   35447.045777] 0003 0036 00000770
2022-03-16 19:48:50.032149 False [   35447.054165] 0003 0035 000001c1
2022-03-16 19:48:50.032149 False [   35447.054165] 0003 0036 0000076f
2022-03-16 19:48:50.050827 False [   35447.070800] 0003 0035 000001c2
2022-03-16 19:48:50.050827 False [   35447.070800] 0003 0036 0000076e
2022-03-16 19:48:50.059686 False [   35447.079001] 0003 0035 000001c3
2022-03-16 19:48:50.059686 False [   35447.079001] 0003 0036 0000076d
2022-03-16 19:48:50.066280 False [   35447.087412] 0003 0035 000001c5
2022-03-16 19:48:50.066280 False [   35447.087412] 0003 0036 0000076b
2022-03-16 19:48:50.073967 False [   35447.095574] 0003 0035 000001c7
2022-03-16 19:48:50.073967 False [   35447.095574] 0003 0036 0000076a
2022-03-16 19:48:50.085782 False [   35447.104130] 0003 0035 000001c9
2022-03-16 19:48:50.085782 False [   35447.104130] 0003 0036 00000768
2022-03-16 19:48:50.093475 False [   35447.112659] 0003 0036 00000766
2022-03-16 19:48:50.098371 False [   35447.120689] 0003 0035 000001cb
2022-03-16 19:48:50.098371 False [   35447.120689] 0003 0036 00000765
2022-03-16 19:48:50.107826 False [   35447.129927] 0003 0035 000001cc
2022-03-16 19:48:50.107826 False [   35447.129927] 0003 0036 00000763
2022-03-16 19:48:50.115528 False [   35447.137404] 0003 0036 00000762
2022-03-16 19:48:50.123166 False [   35447.145541] 0003 0035 000001cd
2022-03-16 19:48:50.123166 False [   35447.145541] 0003 0036 00000760
2022-03-16 19:48:50.130754 False [   35447.153891] 0003 0035 000001cf
2022-03-16 19:48:50.130754 False [   35447.153891] 0003 0036 0000075f
2022-03-16 19:48:50.139289 False [   35447.162084] 0003 0035 000001d0
2022-03-16 19:48:50.139289 False [   35447.162084] 0003 0036 0000075d
2022-03-16 19:48:50.148642 False [   35447.171291] 0003 0036 0000075b
2022-03-16 19:48:50.156172 False [   35447.178734] 0003 0035 000001d1
2022-03-16 19:48:50.156172 False [   35447.178734] 0003 0036 0000075a
2022-03-16 19:48:50.164642 False [   35447.187160] 0003 0035 000001d2
2022-03-16 19:48:50.164642 False [   35447.187160] 0003 0036 00000758
2022-03-16 19:48:50.173158 False [   35447.195492] 0003 0035 000001d3
2022-03-16 19:48:50.173158 False [   35447.195492] 0003 0036 00000756
2022-03-16 19:48:50.181344 False [   35447.204064] 0003 0036 00000754
2022-03-16 19:48:50.189267 False [   35447.211949] 0003 0035 000001d4
2022-03-16 19:48:50.189267 False [   35447.211949] 0003 0036 00000751
2022-03-16 19:48:50.196290 False [   35447.220365] 0003 0035 000001d5
2022-03-16 19:48:50.196290 False [   35447.220365] 0003 0036 0000074f
2022-03-16 19:48:50.208278 False [   35447.228680] 0003 0035 000001d6
2022-03-16 19:48:50.208278 False [   35447.228680] 0003 0036 0000074d
2022-03-16 19:48:50.216843 False [   35447.236978] 0003 0036 0000074a
2022-03-16 19:48:50.224392 False [   35447.245325] 0003 0035 000001d7
2022-03-16 19:48:50.225795 False [   35447.245325] 0003 0036 00000749
2022-03-16 19:48:50.231355 False [   35447.253633] 0003 0036 00000747
2022-03-16 19:48:50.239828 False [   35447.261822] 0003 0036 00000745
2022-03-16 19:48:50.248373 False [   35447.270281] 0003 0035 000001d8
2022-03-16 19:48:50.248373 False [   35447.270281] 0003 0036 00000744
2022-03-16 19:48:50.256586 False [   35447.278660] 0003 0036 00000742
2022-03-16 19:48:50.264975 False [   35447.287186] 0003 0035 000001d9
2022-03-16 19:48:50.264975 False [   35447.287186] 0003 0036 00000740
2022-03-16 19:48:50.273861 False [   35447.295274] 0003 0035 000001da
2022-03-16 19:48:50.273861 False [   35447.295274] 0003 0036 0000073f
2022-03-16 19:48:50.282980 False [   35447.303920] 0003 0036 0000073d
2022-03-16 19:48:50.290661 False [   35447.311679] 0003 0035 000001db
2022-03-16 19:48:50.290661 False [   35447.311679] 0003 0036 0000073a
2022-03-16 19:48:50.297517 False [   35447.320546] 0003 0035 000001dc
2022-03-16 19:48:50.297517 False [   35447.320546] 0003 0036 00000739
2022-03-16 19:48:50.306934 False [   35447.328532] 0003 0035 000001dd
2022-03-16 19:48:50.306934 False [   35447.328532] 0003 0036 00000737
2022-03-16 19:48:50.313952 False [   35447.336813] 0003 0035 000001de
2022-03-16 19:48:50.313952 False [   35447.336813] 0003 0036 00000734
2022-03-16 19:48:50.327302 False [   35447.344984] 0003 0036 00000732
2022-03-16 19:48:50.334924 False [   35447.353354] 0003 0035 000001df
2022-03-16 19:48:50.334924 False [   35447.353354] 0003 0036 0000072f
2022-03-16 19:48:50.338478 False [   35447.361677] 0003 0035 000001e0
2022-03-16 19:48:50.338478 False [   35447.361677] 0003 0036 0000072d
2022-03-16 19:48:50.347289 False [   35447.369981] 0003 0035 000001e1
2022-03-16 19:48:50.347289 False [   35447.369981] 0003 0036 0000072a
2022-03-16 19:48:50.356766 False [   35447.378231] 0003 0035 000001e2
2022-03-16 19:48:50.356766 False [   35447.378231] 0003 0036 00000729
2022-03-16 19:48:50.363573 False [   35447.386846] 0003 0035 000001e3
2022-03-16 19:48:50.363573 False [   35447.386846] 0003 0036 00000725
2022-03-16 19:48:50.374088 False [   35447.394825] 0003 0035 000001e4
2022-03-16 19:48:50.374088 False [   35447.394825] 0003 0036 00000722
2022-03-16 19:48:50.381378 False [   35447.403247] 0003 0035 000001e5
2022-03-16 19:48:50.381378 False [   35447.403247] 0003 0036 0000071f
2022-03-16 19:48:50.391330 False [   35447.411500] 0003 0035 000001e7
2022-03-16 19:48:50.391330 False [   35447.411500] 0003 0036 0000071d
2022-03-16 19:48:50.397507 False [   35447.420098] 0003 0035 000001e9
2022-03-16 19:48:50.397507 False [   35447.420098] 0003 0036 0000071a
2022-03-16 19:48:50.405832 False [   35447.428078] 0003 0035 000001ea
2022-03-16 19:48:50.405832 False [   35447.428078] 0003 0036 00000718
2022-03-16 19:48:50.415181 False [   35447.436566] 0003 0035 000001ec
2022-03-16 19:48:50.415181 False [   35447.436566] 0003 0036 00000715
2022-03-16 19:48:50.423652 False [   35447.444703] 0003 0036 00000713
2022-03-16 19:48:50.433679 False [   35447.453056] 0003 0035 000001ee
