Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.8362420199827487 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:46:47.538582 False [  159130.658487] 0003 0036 000003ac
2022-04-02 17:46:47.575298 True [  159130.665695] 0003 0035 0000021b
2022-04-02 17:46:47.575298 False [  159130.665695] 0003 0036 000003a1
2022-04-02 17:46:47.575298 True [  159130.669030] 0003 0035 00000221
2022-04-02 17:46:47.575298 False [  159130.669030] 0003 0036 00000398
2022-04-02 17:46:47.575298 True [  159130.675700] 0003 0035 00000227
2022-04-02 17:46:47.575298 False [  159130.675700] 0003 0036 0000038f
2022-04-02 17:46:47.575298 True [  159130.684061] 0003 0035 0000022c
2022-04-02 17:46:47.575298 False [  159130.684061] 0003 0036 00000389
2022-04-02 17:46:47.619295 True [  159130.692443] 0003 0035 00000232
2022-04-02 17:46:47.619295 True [  159130.692443] 0003 0036 00000383
2022-04-02 17:46:47.619295 True [  159130.702782] 0003 0035 0000023a
2022-04-02 17:46:47.619295 True [  159130.702782] 0003 0036 0000037d
2022-04-02 17:46:47.619295 True [  159130.708910] 0003 0035 00000241
2022-04-02 17:46:47.619295 True [  159130.708910] 0003 0036 00000377
2022-04-02 17:46:47.619295 True [  159130.718548] 0003 0035 00000249
2022-04-02 17:46:47.619295 True [  159130.718548] 0003 0036 00000371
2022-04-02 17:46:47.619295 True [  159130.726457] 0003 0035 00000251
2022-04-02 17:46:47.619295 True [  159130.726457] 0003 0036 0000036c
2022-04-02 17:46:47.619295 True [  159130.734281] 0003 0035 0000025a
2022-04-02 17:46:47.619295 True [  159130.734281] 0003 0036 00000367
2022-04-02 17:46:47.652544 True [  159130.742183] 0003 0035 00000262
2022-04-02 17:46:47.652544 True [  159130.742183] 0003 0036 00000364
2022-04-02 17:46:47.652544 True [  159130.750613] 0003 0035 00000269
2022-04-02 17:46:47.652544 True [  159130.750613] 0003 0036 00000361
2022-04-02 17:46:47.652544 True [  159130.758839] 0003 0035 00000270
2022-04-02 17:46:47.652544 True [  159130.758839] 0003 0036 0000035e
2022-04-02 17:46:47.652544 True [  159130.768920] 0003 0035 00000276
2022-04-02 17:46:47.652544 True [  159130.768920] 0003 0036 0000035d
2022-04-02 17:46:47.705185 True [  159130.775448] 0003 0035 0000027a
2022-04-02 17:46:47.705185 True [  159130.775448] 0003 0036 0000035c
2022-04-02 17:46:47.705185 True [  159130.785449] 0003 0035 00000282
2022-04-02 17:46:47.705185 True [  159130.785449] 0003 0036 0000035a
2022-04-02 17:46:47.705185 True [  159130.794956] 0003 0035 00000288
2022-04-02 17:46:47.705185 True [  159130.794956] 0003 0036 00000359
2022-04-02 17:46:47.705185 True [  159130.804828] 0003 0035 0000028d
2022-04-02 17:46:47.754250 True [  159130.814355] 0003 0035 00000294
2022-04-02 17:46:47.754250 True [  159130.825948] 0003 0035 0000029a
