Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:16:11.359677 False [     363.786905] 0003 0035 00000384
2022-04-06 14:16:11.375900 False [     363.803594] 0003 0035 00000385
2022-04-06 14:16:11.375900 False [     363.803594] 0003 0036 00000354
2022-04-06 14:16:11.383244 False [     363.812049] 0003 0035 00000387
2022-04-06 14:16:11.400223 False [     363.828677] 0003 0035 00000388
2022-04-06 14:16:11.408585 False [     363.836997] 0003 0035 00000389
2022-04-06 14:16:11.417234 False [     363.845386] 0003 0035 0000038a
2022-04-06 14:16:11.425494 False [     363.853653] 0003 0035 0000038b
2022-04-06 14:16:11.450703 False [     363.878674] 0003 0035 0000038c
2022-04-06 14:16:11.466798 False [     363.895460] 0003 0035 0000038d
2022-04-06 14:16:11.493789 False [     363.920305] 0003 0035 0000038e
2022-04-06 14:16:11.559471 False [     363.987034] 0003 0035 00000387
2022-04-06 14:16:11.559471 False [     363.987034] 0003 0036 00000358
2022-04-06 14:16:11.567735 False [     363.995458] 0003 0035 00000381
2022-04-06 14:16:11.567735 False [     363.995458] 0003 0036 00000359
2022-04-06 14:16:11.575625 False [     364.003658] 0003 0035 0000037c
2022-04-06 14:16:11.575625 False [     364.003658] 0003 0036 0000035b
2022-04-06 14:16:11.583742 False [     364.012091] 0003 0035 0000037a
2022-04-06 14:16:11.583742 False [     364.012091] 0003 0036 0000035c
2022-04-06 14:16:11.591938 False [     364.020315] 0003 0035 00000378
2022-04-06 14:16:11.591938 False [     364.020315] 0003 0036 0000035d
2022-04-06 14:16:11.600924 False [     364.028749] 0003 0035 00000376
2022-04-06 14:16:11.600924 False [     364.028749] 0003 0036 0000035e
2022-04-06 14:16:11.609916 False [     364.036937] 0003 0035 0000036a
2022-04-06 14:16:11.609916 False [     364.036937] 0003 0036 00000362
2022-04-06 14:16:11.618014 False [     364.045422] 0003 0035 00000362
2022-04-06 14:16:11.618014 False [     364.045422] 0003 0036 00000364
2022-04-06 14:16:11.626007 False [     364.053605] 0003 0035 0000035c
2022-04-06 14:16:11.626007 False [     364.053605] 0003 0036 00000366
2022-04-06 14:16:11.634840 False [     364.062123] 0003 0035 00000359
2022-04-06 14:16:11.634840 False [     364.062123] 0003 0036 00000367
2022-04-06 14:16:11.641878 False [     364.070279] 0003 0035 00000352
2022-04-06 14:16:11.641878 False [     364.070279] 0003 0036 00000369
2022-04-06 14:16:11.649976 False [     364.078715] 0003 0035 0000034c
2022-04-06 14:16:11.649976 False [     364.078715] 0003 0036 0000036b
2022-04-06 14:16:11.658800 False [     364.087073] 0003 0035 00000346
2022-04-06 14:16:11.658800 False [     364.087073] 0003 0036 0000036d
2022-04-06 14:16:11.667169 False [     364.095402] 0003 0035 00000342
2022-04-06 14:16:11.667169 False [     364.095402] 0003 0036 0000036e
2022-04-06 14:16:11.675239 False [     364.103586] 0003 0035 0000033f
2022-04-06 14:16:11.675239 False [     364.103586] 0003 0036 0000036f
2022-04-06 14:16:11.683366 False [     364.112052] 0003 0035 0000033c
2022-04-06 14:16:11.684366 False [     364.112052] 0003 0036 00000370
2022-04-06 14:16:11.694152 True [     364.120317] 0003 0035 00000335
2022-04-06 14:16:11.694152 True [     364.120317] 0003 0036 00000372
2022-04-06 14:16:11.701321 True [     364.128783] 0003 0035 0000032e
2022-04-06 14:16:11.701321 True [     364.128783] 0003 0036 00000374
2022-04-06 14:16:11.708697 True [     364.136949] 0003 0035 00000328
2022-04-06 14:16:11.708697 True [     364.136949] 0003 0036 00000375
2022-04-06 14:16:11.716549 True [     364.145429] 0003 0035 00000323
2022-04-06 14:16:11.716549 True [     364.145429] 0003 0036 00000377
2022-04-06 14:16:11.725725 True [     364.153694] 0003 0035 0000031e
2022-04-06 14:16:11.725725 True [     364.153694] 0003 0036 00000378
2022-04-06 14:16:11.734274 True [     364.162119] 0003 0035 0000031a
2022-04-06 14:16:11.734274 True [     364.162119] 0003 0036 00000379
2022-04-06 14:16:11.741910 True [     364.170298] 0003 0035 00000317
2022-04-06 14:16:11.749946 True [     364.178763] 0003 0035 00000312
2022-04-06 14:16:11.759739 True [     364.186965] 0003 0035 0000030e
2022-04-06 14:16:11.759739 True [     364.186965] 0003 0036 0000037a
2022-04-06 14:16:11.767123 True [     364.195448] 0003 0035 0000030a
2022-04-06 14:16:11.767123 True [     364.195448] 0003 0036 0000037b
2022-04-06 14:16:11.775234 True [     364.203652] 0003 0035 00000306
2022-04-06 14:16:11.775234 True [     364.203652] 0003 0036 0000037c
2022-04-06 14:16:11.784004 True [     364.212127] 0003 0035 00000301
2022-04-06 14:16:11.784004 True [     364.212127] 0003 0036 0000037d
2022-04-06 14:16:11.791719 True [     364.220345] 0003 0035 000002fd
2022-04-06 14:16:11.791719 True [     364.220345] 0003 0036 0000037e
2022-04-06 14:16:11.800717 True [     364.228782] 0003 0035 000002f9
2022-04-06 14:16:11.800717 True [     364.228782] 0003 0036 0000037f
2022-04-06 14:16:11.810245 True [     364.236989] 0003 0035 000002f5
2022-04-06 14:16:11.817131 True [     364.245430] 0003 0035 000002f1
2022-04-06 14:16:11.825866 True [     364.253688] 0003 0035 000002ed
2022-04-06 14:16:11.825866 True [     364.253688] 0003 0036 00000380
2022-04-06 14:16:11.834875 True [     364.262137] 0003 0035 000002ea
2022-04-06 14:16:11.842005 True [     364.270338] 0003 0035 000002e6
2022-04-06 14:16:11.842005 True [     364.270338] 0003 0036 00000381
2022-04-06 14:16:11.850095 True [     364.278912] 0003 0035 000002e3
2022-04-06 14:16:11.858554 True [     364.287012] 0003 0035 000002e0
2022-04-06 14:16:11.858554 True [     364.287012] 0003 0036 00000382
2022-04-06 14:16:11.866694 True [     364.295474] 0003 0035 000002dd
2022-04-06 14:16:11.876641 True [     364.303642] 0003 0035 000002da
2022-04-06 14:16:11.876641 True [     364.303642] 0003 0036 00000383
2022-04-06 14:16:11.883953 True [     364.312118] 0003 0035 000002d8
2022-04-06 14:16:11.892169 True [     364.320364] 0003 0035 000002d6
2022-04-06 14:16:11.901676 True [     364.328824] 0003 0035 000002d4
2022-04-06 14:16:11.910045 True [     364.337017] 0003 0035 000002d1
2022-04-06 14:16:11.917771 True [     364.345520] 0003 0035 000002d0
2022-04-06 14:16:11.925389 True [     364.353692] 0003 0035 000002cd
2022-04-06 14:16:11.933479 True [     364.362168] 0003 0035 000002cb
2022-04-06 14:16:11.941275 True [     364.370361] 0003 0035 000002ca
2022-04-06 14:16:11.951152 True [     364.378849] 0003 0035 000002c8
2022-04-06 14:16:11.958624 True [     364.387049] 0003 0035 000002c6
2022-04-06 14:16:11.968321 True [     364.395482] 0003 0035 000002c4
2022-04-06 14:16:11.975630 True [     364.403712] 0003 0035 000002c3
2022-04-06 14:16:11.984623 True [     364.412163] 0003 0035 000002c1
2022-04-06 14:16:11.984623 True [     364.412163] 0003 0036 00000382
2022-04-06 14:16:11.992942 True [     364.420400] 0003 0035 000002bf
2022-04-06 14:16:12.001435 True [     364.428856] 0003 0035 000002be
2022-04-06 14:16:12.008547 True [     364.437012] 0003 0035 000002bd
2022-04-06 14:16:12.018486 True [     364.445495] 0003 0035 000002bb
2022-04-06 14:16:12.034247 True [     364.462184] 0003 0035 000002b9
2022-04-06 14:16:12.041695 True [     364.470384] 0003 0035 000002b8
2022-04-06 14:16:12.050102 True [     364.478861] 0003 0035 000002b7
2022-04-06 14:16:12.058435 True [     364.487120] 0003 0035 000002b6
2022-04-06 14:16:12.067318 True [     364.495483] 0003 0035 000002b4
2022-04-06 14:16:12.075292 True [     364.503692] 0003 0035 000002b3
2022-04-06 14:16:12.084337 True [     364.512168] 0003 0035 000002b1
2022-04-06 14:16:12.092212 True [     364.520394] 0003 0035 000002b0
2022-04-06 14:16:12.101070 True [     364.528858] 0003 0035 000002ae
2022-04-06 14:16:12.109647 True [     364.537089] 0003 0035 000002ad
2022-04-06 14:16:12.117849 True [     364.545510] 0003 0035 000002ab
2022-04-06 14:16:12.125284 True [     364.553727] 0003 0035 000002aa
2022-04-06 14:16:12.134463 True [     364.562132] 0003 0035 000002a7
2022-04-06 14:16:12.142006 True [     364.570398] 0003 0035 000002a6
2022-04-06 14:16:12.142006 True [     364.570398] 0003 0036 00000383
2022-04-06 14:16:12.151091 True [     364.578835] 0003 0035 000002a3
2022-04-06 14:16:12.159676 True [     364.587128] 0003 0035 000002a1
2022-04-06 14:16:12.167766 True [     364.595504] 0003 0035 0000029f
2022-04-06 14:16:12.167766 True [     364.595504] 0003 0036 00000384
2022-04-06 14:16:12.175103 True [     364.603710] 0003 0035 0000029c
2022-04-06 14:16:12.184921 True [     364.612157] 0003 0035 00000299
2022-04-06 14:16:12.192951 True [     364.620389] 0003 0035 00000297
2022-04-06 14:16:12.200370 True [     364.628815] 0003 0035 00000294
2022-04-06 14:16:12.200370 True [     364.628815] 0003 0036 00000385
2022-04-06 14:16:12.209137 True [     364.637087] 0003 0035 00000292
2022-04-06 14:16:12.217819 True [     364.645525] 0003 0035 0000028f
2022-04-06 14:16:12.217819 True [     364.645525] 0003 0036 00000386
2022-04-06 14:16:12.225741 True [     364.653733] 0003 0035 0000028d
2022-04-06 14:16:12.233858 True [     364.662150] 0003 0035 00000289
2022-04-06 14:16:12.233858 True [     364.662150] 0003 0036 00000387
2022-04-06 14:16:12.244208 True [     364.670400] 0003 0035 00000286
2022-04-06 14:16:12.244208 True [     364.670400] 0003 0036 00000388
2022-04-06 14:16:12.251116 True [     364.678989] 0003 0035 00000284
2022-04-06 14:16:12.258832 True [     364.687101] 0003 0035 00000282
2022-04-06 14:16:12.258832 True [     364.687101] 0003 0036 00000389
2022-04-06 14:16:12.268274 True [     364.695474] 0003 0035 0000027f
2022-04-06 14:16:12.275325 True [     364.703738] 0003 0035 0000027c
2022-04-06 14:16:12.283957 True [     364.712172] 0003 0035 00000279
2022-04-06 14:16:12.291636 True [     364.720457] 0003 0035 00000277
2022-04-06 14:16:12.291636 True [     364.720457] 0003 0036 0000038a
2022-04-06 14:16:12.300102 True [     364.728828] 0003 0035 00000274
2022-04-06 14:16:12.309426 True [     364.737117] 0003 0035 00000271
2022-04-06 14:16:12.309426 True [     364.737117] 0003 0036 0000038b
2022-04-06 14:16:12.317344 True [     364.745523] 0003 0035 0000026f
2022-04-06 14:16:12.324998 True [     364.753697] 0003 0035 0000026c
2022-04-06 14:16:12.324998 True [     364.753697] 0003 0036 0000038c
2022-04-06 14:16:12.334331 True [     364.762148] 0003 0035 00000269
2022-04-06 14:16:12.342121 True [     364.770447] 0003 0035 00000266
2022-04-06 14:16:12.342121 True [     364.770447] 0003 0036 0000038d
2022-04-06 14:16:12.351047 True [     364.778838] 0003 0035 00000264
2022-04-06 14:16:12.351047 True [     364.778838] 0003 0036 0000038e
2022-04-06 14:16:12.359721 True [     364.787095] 0003 0035 00000262
2022-04-06 14:16:12.367684 True [     364.795499] 0003 0035 0000025f
2022-04-06 14:16:12.367684 True [     364.795499] 0003 0036 0000038f
2022-04-06 14:16:12.375102 True [     364.803727] 0003 0035 0000025c
2022-04-06 14:16:12.384805 True [     364.812159] 0003 0035 00000259
2022-04-06 14:16:12.384805 True [     364.812159] 0003 0036 00000390
2022-04-06 14:16:12.393287 True [     364.820366] 0003 0035 00000257
2022-04-06 14:16:12.393287 True [     364.820366] 0003 0036 00000391
2022-04-06 14:16:12.400676 True [     364.828811] 0003 0035 00000254
2022-04-06 14:16:12.409460 True [     364.837071] 0003 0035 00000252
2022-04-06 14:16:12.409460 True [     364.837071] 0003 0036 00000392
2022-04-06 14:16:12.418120 True [     364.845503] 0003 0035 00000250
2022-04-06 14:16:12.418120 True [     364.845503] 0003 0036 00000393
2022-04-06 14:16:12.426107 True [     364.853666] 0003 0035 0000024d
2022-04-06 14:16:12.434308 True [     364.862121] 0003 0035 0000024b
2022-04-06 14:16:12.434308 True [     364.862121] 0003 0036 00000394
2022-04-06 14:16:12.442004 True [     364.870365] 0003 0035 00000249
2022-04-06 14:16:12.450103 True [     364.878819] 0003 0035 00000246
2022-04-06 14:16:12.459128 True [     364.887016] 0003 0035 00000244
2022-04-06 14:16:12.459128 True [     364.887016] 0003 0036 00000395
2022-04-06 14:16:12.467452 True [     364.895556] 0003 0035 00000242
2022-04-06 14:16:12.467452 True [     364.895556] 0003 0036 00000396
2022-04-06 14:16:12.476392 True [     364.903704] 0003 0035 0000023f
2022-04-06 14:16:12.476392 True [     364.903704] 0003 0036 00000397
2022-04-06 14:16:12.484612 True [     364.912138] 0003 0035 0000023d
2022-04-06 14:16:12.494182 True [     364.920380] 0003 0035 0000023b
2022-04-06 14:16:12.494182 True [     364.920380] 0003 0036 00000398
2022-04-06 14:16:12.501371 True [     364.928833] 0003 0035 00000238
2022-04-06 14:16:12.509447 True [     364.937073] 0003 0035 00000237
2022-04-06 14:16:12.509447 True [     364.937073] 0003 0036 00000399
2022-04-06 14:16:12.517640 True [     364.945496] 0003 0035 00000234
2022-04-06 14:16:12.517640 True [     364.945496] 0003 0036 0000039a
2022-04-06 14:16:12.525483 True [     364.953679] 0003 0035 00000232
2022-04-06 14:16:12.533782 True [     364.962150] 0003 0035 00000230
2022-04-06 14:16:12.542186 True [     364.970382] 0003 0035 0000022f
2022-04-06 14:16:12.550325 True [     364.978821] 0003 0035 0000022d
2022-04-06 14:16:12.550325 True [     364.978821] 0003 0036 0000039b
2022-04-06 14:16:12.558756 True [     364.987045] 0003 0035 0000022c
2022-04-06 14:16:12.567310 True [     364.995537] 0003 0035 00000229
2022-04-06 14:16:12.567310 True [     364.995537] 0003 0036 0000039c
2022-04-06 14:16:12.575609 True [     365.003719] 0003 0035 00000228
2022-04-06 14:16:12.584131 True [     365.012163] 0003 0035 00000226
2022-04-06 14:16:12.584131 True [     365.012163] 0003 0036 0000039d
2022-04-06 14:16:12.592371 True [     365.020442] 0003 0035 00000225
2022-04-06 14:16:12.600447 True [     365.028848] 0003 0035 00000223
2022-04-06 14:16:12.600447 True [     365.028848] 0003 0036 0000039e
2022-04-06 14:16:12.608927 True [     365.037094] 0003 0035 00000222
2022-04-06 14:16:12.616873 True [     365.045522] 0003 0035 00000221
2022-04-06 14:16:12.616873 True [     365.045522] 0003 0036 0000039f
2022-04-06 14:16:12.628039 True [     365.053749] 0003 0035 0000021f
2022-04-06 14:16:12.637517 True [     365.062224] 0003 0035 0000021e
2022-04-06 14:16:12.641954 True [     365.070389] 0003 0035 0000021c
2022-04-06 14:16:12.650838 True [     365.078827] 0003 0035 0000021b
2022-04-06 14:16:12.659707 True [     365.087185] 0003 0035 00000219
2022-04-06 14:16:12.659707 True [     365.087185] 0003 0036 000003a0
2022-04-06 14:16:12.668394 True [     365.095486] 0003 0035 00000217
2022-04-06 14:16:12.668394 True [     365.095486] 0003 0036 000003a1
2022-04-06 14:16:12.675234 True [     365.103719] 0003 0035 00000215
2022-04-06 14:16:12.684533 True [     365.112168] 0003 0035 00000214
2022-04-06 14:16:12.684533 True [     365.112168] 0003 0036 000003a2
2022-04-06 14:16:12.694633 True [     365.120452] 0003 0035 00000212
2022-04-06 14:16:12.694633 True [     365.120452] 0003 0036 000003a3
2022-04-06 14:16:12.700681 True [     365.128853] 0003 0035 00000210
2022-04-06 14:16:12.701693 True [     365.128853] 0003 0036 000003a4
2022-04-06 14:16:12.708437 True [     365.137096] 0003 0035 0000020f
2022-04-06 14:16:12.717307 True [     365.145539] 0003 0035 0000020d
2022-04-06 14:16:12.725517 True [     365.153794] 0003 0035 0000020c
2022-04-06 14:16:12.725517 True [     365.153794] 0003 0036 000003a5
2022-04-06 14:16:12.733476 True [     365.162196] 0003 0035 0000020a
2022-04-06 14:16:12.733476 True [     365.162196] 0003 0036 000003a6
