Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5157115037091708 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:46:39.132096 True [  144713.049538] 0003 0036 0000042d
2022-04-02 13:46:39.139521 True [  144713.057709] 0003 0035 00000291
2022-04-02 13:46:39.139521 True [  144713.057709] 0003 0036 000005a6
2022-04-02 13:46:39.139521 True [  144713.057709] 0003 0035 0000036b
2022-04-02 13:46:39.139521 True [  144713.057709] 0003 0036 0000042b
2022-04-02 13:46:39.147905 True [  144713.066154] 0003 0035 0000028f
2022-04-02 13:46:39.147905 True [  144713.066154] 0003 0036 000005a8
2022-04-02 13:46:39.147905 True [  144713.066154] 0003 0035 0000036c
2022-04-02 13:46:39.147905 True [  144713.066154] 0003 0036 0000042a
2022-04-02 13:46:39.158297 True [  144713.074554] 0003 0035 0000028d
2022-04-02 13:46:39.158297 True [  144713.074554] 0003 0035 0000036d
2022-04-02 13:46:39.158297 True [  144713.074554] 0003 0036 00000429
2022-04-02 13:46:39.164064 True [  144713.083121] 0003 0035 0000028b
2022-04-02 13:46:39.164064 True [  144713.083121] 0003 0036 000005aa
2022-04-02 13:46:39.173960 True [  144713.090999] 0003 0035 00000289
2022-04-02 13:46:39.173960 True [  144713.090999] 0003 0036 000005ac
2022-04-02 13:46:39.173960 True [  144713.090999] 0003 0035 0000036e
2022-04-02 13:46:39.173960 True [  144713.090999] 0003 0036 00000428
2022-04-02 13:46:39.180352 True [  144713.099776] 0003 0035 00000287
2022-04-02 13:46:39.180352 True [  144713.099776] 0003 0036 000005ae
2022-04-02 13:46:39.180352 True [  144713.099776] 0003 0036 00000427
2022-04-02 13:46:39.199121 True [  144713.116575] 0003 0035 00000284
2022-04-02 13:46:39.199121 True [  144713.116575] 0003 0036 000005b1
2022-04-02 13:46:39.199121 True [  144713.116575] 0003 0035 0000036f
2022-04-02 13:46:39.199121 True [  144713.116575] 0003 0036 00000426
2022-04-02 13:46:39.206950 True [  144713.124591] 0003 0035 00000282
2022-04-02 13:46:39.207942 True [  144713.124591] 0003 0036 000005b4
2022-04-02 13:46:39.207942 True [  144713.124591] 0003 0036 00000425
2022-04-02 13:46:39.214938 True [  144713.132998] 0003 0035 0000027f
