Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.48737622266180847 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:06:03.613764 True [   18140.713879] 0003 0035 000003eb
2022-03-16 15:06:03.613764 True [   18140.713879] 0003 0036 000001ea
2022-03-16 15:06:03.629467 True [   18140.730196] 0003 0035 000003f3
2022-03-16 15:06:03.630465 True [   18140.730196] 0003 0036 000001e8
2022-03-16 15:06:03.647605 True [   18140.747619] 0003 0035 000003f9
2022-03-16 15:06:03.647605 True [   18140.747619] 0003 0036 000001e6
2022-03-16 15:06:03.663844 True [   18140.764627] 0003 0035 000003fd
2022-03-16 15:06:03.664850 True [   18140.764627] 0003 0036 000001e6
2022-03-16 15:06:03.681296 True [   18140.781643] 0003 0035 000003fd
2022-03-16 15:06:03.681296 True [   18140.781643] 0003 0036 000001e6
2022-03-16 15:06:03.697824 True [   18140.798401] 0003 0035 000003fd
2022-03-16 15:06:03.697824 True [   18140.798401] 0003 0036 000001e6
2022-03-16 15:06:03.714908 True [   18140.814892] 0003 0035 00000401
2022-03-16 15:06:03.714908 True [   18140.814892] 0003 0036 000001e4
2022-03-16 15:06:03.731651 True [   18140.831468] 0003 0035 00000401
2022-03-16 15:06:03.731651 True [   18140.831468] 0003 0036 000001e4
2022-03-16 15:06:03.748913 True [   18140.848767] 0003 0035 00000401
2022-03-16 15:06:03.748913 True [   18140.848767] 0003 0036 000001e4
2022-03-16 15:06:03.765541 True [   18140.865806] 0003 0035 00000401
2022-03-16 15:06:03.765541 True [   18140.865806] 0003 0036 000001e4
2022-03-16 15:06:03.782594 True [   18140.883239] 0003 0035 00000405
2022-03-16 15:06:03.783597 True [   18140.883239] 0003 0036 000001e2
2022-03-16 15:06:03.799802 True [   18140.900206] 0003 0035 00000405
2022-03-16 15:06:03.799802 True [   18140.900206] 0003 0036 000001e2
2022-03-16 15:06:03.816498 True [   18140.916414] 0003 0035 00000405
2022-03-16 15:06:03.816498 True [   18140.916414] 0003 0036 000001e2
2022-03-16 15:06:03.832794 True [   18140.933196] 0003 0035 00000405
2022-03-16 15:06:03.832794 True [   18140.933196] 0003 0036 000001e2
2022-03-16 15:06:03.852086 True [   18140.951622] 0003 0035 00000405
2022-03-16 15:06:03.852086 True [   18140.951622] 0003 0036 000001e2
2022-03-16 15:06:03.866959 True [   18140.967092] 0003 0035 00000405
2022-03-16 15:06:03.866959 True [   18140.967092] 0003 0036 000001e2
2022-03-16 15:06:03.884408 True [   18140.984813] 0003 0035 00000405
2022-03-16 15:06:03.884408 True [   18140.984813] 0003 0036 000001e2
2022-03-16 15:06:03.900818 True [   18141.001490] 0003 0035 00000405
2022-03-16 15:06:03.901810 True [   18141.001490] 0003 0036 000001e2
2022-03-16 15:06:03.918086 True [   18141.018044] 0003 0035 00000405
2022-03-16 15:06:03.918086 True [   18141.018044] 0003 0036 000001e2
2022-03-16 15:06:03.935144 True [   18141.035400] 0003 0035 00000405
2022-03-16 15:06:03.935144 True [   18141.035400] 0003 0036 000001e2
2022-03-16 15:06:03.953029 True [   18141.053148] 0003 0035 00000409
2022-03-16 15:06:03.953029 True [   18141.053148] 0003 0036 000001df
2022-03-16 15:06:03.967913 True [   18141.068655] 0003 0035 00000409
