Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.5177620144684285 
    wm_size = [1200 1920] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:43:43.448161 False [   27600.845634] 0003 0036 0000023d
2022-03-16 17:43:43.464168 False [   27600.863077] 0003 0035 0000041f
2022-03-16 17:43:43.464168 False [   27600.863077] 0003 0036 0000023d
2022-03-16 17:43:43.481197 False [   27600.879933] 0003 0035 0000041f
2022-03-16 17:43:43.481197 False [   27600.879933] 0003 0036 0000023d
2022-03-16 17:43:43.500075 False [   27600.896654] 0003 0035 0000041f
2022-03-16 17:43:43.500075 False [   27600.896654] 0003 0036 0000023d
2022-03-16 17:43:43.516280 False [   27600.913943] 0003 0035 0000041f
2022-03-16 17:43:43.516280 False [   27600.913943] 0003 0036 0000023d
2022-03-16 17:43:43.531385 False [   27600.930630] 0003 0035 0000041f
2022-03-16 17:43:43.531385 False [   27600.930630] 0003 0036 0000023d
2022-03-16 17:43:43.548547 False [   27600.947384] 0003 0035 0000041f
2022-03-16 17:43:43.548547 False [   27600.947384] 0003 0036 0000023d
2022-03-16 17:43:43.566180 False [   27600.964927] 0003 0035 0000041f
2022-03-16 17:43:43.566180 False [   27600.964927] 0003 0036 0000023d
2022-03-16 17:43:43.583706 False [   27600.982161] 0003 0035 0000041b
2022-03-16 17:43:43.583706 False [   27600.982161] 0003 0036 0000023b
2022-03-16 17:43:43.600454 False [   27600.998791] 0003 0035 0000041b
2022-03-16 17:43:43.600454 False [   27600.998791] 0003 0036 0000023b
2022-03-16 17:43:43.617762 False [   27601.015530] 0003 0035 00000416
2022-03-16 17:43:43.617762 False [   27601.015530] 0003 0036 00000237
2022-03-16 17:43:43.634406 False [   27601.032938] 0003 0035 00000413
2022-03-16 17:43:43.634406 True [   27601.032938] 0003 0036 00000233
2022-03-16 17:43:43.650191 True [   27601.049296] 0003 0035 0000040f
2022-03-16 17:43:43.651197 True [   27601.049296] 0003 0036 0000022f
2022-03-16 17:43:43.668124 True [   27601.066234] 0003 0035 0000040a
2022-03-16 17:43:43.668124 True [   27601.066234] 0003 0036 0000022c
2022-03-16 17:43:43.684728 True [   27601.083439] 0003 0035 00000404
2022-03-16 17:43:43.684728 True [   27601.083439] 0003 0036 00000229
2022-03-16 17:43:43.701091 True [   27601.099712] 0003 0035 000003fe
2022-03-16 17:43:43.701091 True [   27601.099712] 0003 0036 00000227
2022-03-16 17:43:43.719257 True [   27601.117118] 0003 0035 000003f9
2022-03-16 17:43:43.719257 True [   27601.117118] 0003 0036 00000225
2022-03-16 17:43:43.735697 True [   27601.134508] 0003 0035 000003f5
2022-03-16 17:43:43.735697 True [   27601.134508] 0003 0036 00000225
2022-03-16 17:43:43.752393 True [   27601.150584] 0003 0035 000003f5
