Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5750715930537553 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:37:44.880776 False [  144178.807074] 0003 0036 000002ab
2022-04-02 13:37:44.888474 False [  144178.814709] 0003 0036 000002ae
2022-04-02 13:37:44.896997 False [  144178.823419] 0003 0035 0000015e
2022-04-02 13:37:44.896997 False [  144178.823419] 0003 0036 000002af
2022-04-02 13:37:44.905547 False [  144178.831296] 0003 0035 0000015f
2022-04-02 13:37:44.905547 False [  144178.831296] 0003 0036 000002b1
2022-04-02 13:37:44.913768 False [  144178.840106] 0003 0035 00000161
2022-04-02 13:37:44.913768 False [  144178.840106] 0003 0036 000002b3
2022-04-02 13:37:44.921422 False [  144178.847925] 0003 0036 000002b5
2022-04-02 13:37:44.930297 False [  144178.856657] 0003 0035 00000162
2022-04-02 13:37:44.930297 False [  144178.856657] 0003 0036 000002b7
2022-04-02 13:37:44.946988 False [  144178.873298] 0003 0035 00000164
2022-04-02 13:37:44.946988 False [  144178.873298] 0003 0036 000002ba
2022-04-02 13:37:44.956050 False [  144178.881544] 0003 0035 00000165
2022-04-02 13:37:44.956050 False [  144178.881544] 0003 0036 000002bd
2022-04-02 13:37:44.963390 False [  144178.889926] 0003 0035 00000166
2022-04-02 13:37:44.963970 False [  144178.889926] 0003 0036 000002bf
2022-04-02 13:37:44.972277 False [  144178.898044] 0003 0035 00000167
2022-04-02 13:37:44.972277 False [  144178.898044] 0003 0036 000002c2
2022-04-02 13:37:44.979999 False [  144178.906506] 0003 0035 00000168
2022-04-02 13:37:44.979999 False [  144178.906506] 0003 0036 000002c4
2022-04-02 13:37:44.988232 False [  144178.914458] 0003 0035 00000169
2022-04-02 13:37:44.988232 False [  144178.914458] 0003 0036 000002c7
2022-04-02 13:37:44.996516 False [  144178.923099] 0003 0035 0000016a
2022-04-02 13:37:44.996516 False [  144178.923099] 0003 0036 000002c9
2022-04-02 13:37:45.005039 False [  144178.931034] 0003 0035 0000016c
2022-04-02 13:37:45.005039 False [  144178.931034] 0003 0036 000002cb
2022-04-02 13:37:45.014064 False [  144178.939864] 0003 0035 0000016d
2022-04-02 13:37:45.014064 False [  144178.939864] 0003 0036 000002ce
2022-04-02 13:37:45.022055 False [  144178.947729] 0003 0035 0000016f
2022-04-02 13:37:45.022055 False [  144178.947729] 0003 0036 000002d0
2022-04-02 13:37:45.030510 False [  144178.956574] 0003 0035 00000170
2022-04-02 13:37:45.030510 False [  144178.956574] 0003 0036 000002d3
2022-04-02 13:37:45.040024 False [  144178.964581] 0003 0035 00000172
2022-04-02 13:37:45.040024 False [  144178.964581] 0003 0036 000002d5
2022-04-02 13:37:45.046215 False [  144178.972747] 0003 0035 00000173
2022-04-02 13:37:45.046215 False [  144178.972747] 0003 0036 000002d8
2022-04-02 13:37:45.054257 False [  144178.981026] 0003 0035 00000174
2022-04-02 13:37:45.054257 False [  144178.981026] 0003 0036 000002d9
2022-04-02 13:37:45.064522 False [  144178.989711] 0003 0035 00000175
2022-04-02 13:37:45.064522 False [  144178.989711] 0003 0036 000002db
2022-04-02 13:37:45.071069 False [  144178.997728] 0003 0035 00000176
2022-04-02 13:37:45.071069 False [  144178.997728] 0003 0036 000002de
2022-04-02 13:37:45.080006 False [  144179.006131] 0003 0035 00000177
