Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.408553276708556 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:10:35.173376 True [   19764.443447] 0003 0036 000003ae
2022-04-07 19:10:35.173376 True [   19764.451550] 0003 0035 00000458
2022-04-07 19:10:35.173376 True [   19764.451550] 0003 0036 000003b0
2022-04-07 19:10:35.214319 True [   19764.460156] 0003 0035 00000456
2022-04-07 19:10:35.214319 True [   19764.460156] 0003 0036 000003b3
2022-04-07 19:10:35.214319 True [   19764.469094] 0003 0035 00000455
2022-04-07 19:10:35.215320 True [   19764.469094] 0003 0036 000003b5
2022-04-07 19:10:35.215320 True [   19764.477560] 0003 0035 00000453
2022-04-07 19:10:35.215320 True [   19764.477560] 0003 0036 000003b7
2022-04-07 19:10:35.255373 True [   19764.486112] 0003 0035 00000452
2022-04-07 19:10:35.255373 True [   19764.486112] 0003 0036 000003ba
2022-04-07 19:10:35.255373 True [   19764.494069] 0003 0035 00000450
2022-04-07 19:10:35.255373 True [   19764.494069] 0003 0036 000003bb
2022-04-07 19:10:35.255373 True [   19764.503012] 0003 0035 0000044e
2022-04-07 19:10:35.255373 True [   19764.503012] 0003 0036 000003be
2022-04-07 19:10:35.255373 True [   19764.510726] 0003 0035 0000044c
2022-04-07 19:10:35.255373 True [   19764.510726] 0003 0036 000003c0
2022-04-07 19:10:35.255373 True [   19764.518713] 0003 0035 0000044b
2022-04-07 19:10:35.255373 True [   19764.518713] 0003 0036 000003c3
2022-04-07 19:10:35.312097 True [   19764.526451] 0003 0035 00000448
2022-04-07 19:10:35.312097 True [   19764.526451] 0003 0036 000003c5
2022-04-07 19:10:35.312097 True [   19764.534739] 0003 0035 00000447
2022-04-07 19:10:35.312097 True [   19764.534739] 0003 0036 000003c7
2022-04-07 19:10:35.312097 True [   19764.543632] 0003 0035 00000445
2022-04-07 19:10:35.312097 True [   19764.543632] 0003 0036 000003c8
2022-04-07 19:10:35.312097 True [   19764.551401] 0003 0035 00000444
2022-04-07 19:10:35.312097 True [   19764.551401] 0003 0036 000003ca
2022-04-07 19:10:35.312097 True [   19764.560217] 0003 0035 00000443
2022-04-07 19:10:35.312097 True [   19764.560217] 0003 0036 000003cb
2022-04-07 19:10:35.334389 True [   19764.568052] 0003 0035 00000442
2022-04-07 19:10:35.334389 True [   19764.568052] 0003 0036 000003cc
2022-04-07 19:10:35.334389 True [   19764.576520] 0003 0035 00000441
2022-04-07 19:10:35.334389 True [   19764.576520] 0003 0036 000003cd
2022-04-07 19:10:35.334389 True [   19764.584978] 0003 0036 000003cf
2022-04-07 19:10:35.334389 True [   19764.593582] 0003 0035 0000043f
2022-04-07 19:10:35.334389 True [   19764.593582] 0003 0036 000003d0
2022-04-07 19:10:35.334389 True [   19764.601692] 0003 0035 0000043e
2022-04-07 19:10:35.334389 True [   19764.601692] 0003 0036 000003d1
2022-04-07 19:10:35.334389 True [   19764.610028] 0003 0035 0000043d
2022-04-07 19:10:35.334389 True [   19764.610028] 0003 0036 000003d2
2022-04-07 19:10:35.334389 True [   19764.618449] 0003 0036 000003d3
2022-04-07 19:10:35.352995 True [   19764.626866] 0003 0035 0000043c
2022-04-07 19:10:35.352995 True [   19764.626866] 0003 0036 000003d5
2022-04-07 19:10:35.352995 True [   19764.634679] 0003 0035 0000043b
2022-04-07 19:10:35.379514 True [   19764.642847] 0003 0035 0000043a
2022-04-07 19:10:35.379514 True [   19764.642847] 0003 0036 000003d7
2022-04-07 19:10:35.379514 True [   19764.651784] 0003 0036 000003d8
2022-04-07 19:10:35.383802 True [   19764.659701] 0003 0035 00000439
2022-04-07 19:10:35.383802 True [   19764.659701] 0003 0036 000003d9
2022-04-07 19:10:35.383802 True [   19764.668761] 0003 0036 000003da
2022-04-07 19:10:35.383802 True [   19764.677166] 0003 0035 00000438
2022-04-07 19:10:35.383802 True [   19764.677166] 0003 0036 000003db
2022-04-07 19:10:35.413496 True [   19764.692646] 0003 0035 00000437
2022-04-07 19:10:35.413496 True [   19764.692646] 0003 0036 000003dc
2022-04-07 19:10:35.416627 True [   19764.701089] 0003 0036 000003dd
2022-04-07 19:10:35.416627 True [   19764.710320] 0003 0035 00000436
2022-04-07 19:10:35.416627 True [   19764.710320] 0003 0036 000003de
2022-04-07 19:10:35.439763 True [   19764.734010] 0003 0035 00000435
2022-04-07 19:10:35.439763 True [   19764.734010] 0003 0036 000003df
2022-04-07 19:10:35.467124 True [   19764.750717] 0003 0036 000003e0
2022-04-07 19:10:35.472437 True [   19764.762213] 0003 0035 00000434
2022-04-07 19:10:35.510553 True [   19764.810776] 0003 0036 000003df
2022-04-07 19:10:35.532514 True [   19764.817679] 0003 0035 00000435
2022-04-07 19:10:35.532514 True [   19764.817679] 0003 0036 000003de
2022-04-07 19:10:35.547774 True [   19764.825811] 0003 0036 000003dd
2022-04-07 19:10:35.547774 True [   19764.833824] 0003 0035 00000436
