Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7882221502565199 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:37:26.725499 0 [   34763.755779] 0003 0036 000004fe
2022-03-16 19:37:26.731808 0 [   34763.763946] 0003 0036 000004fc
2022-03-16 19:37:26.739016 0 [   34763.772376] 0003 0036 000004fa
2022-03-16 19:37:26.747673 0 [   34763.780635] 0003 0036 000004f9
2022-03-16 19:37:26.755651 0 [   34763.788979] 0003 0036 000004f6
2022-03-16 19:37:26.767470 0 [   34763.797185] 0003 0036 000004f5
2022-03-16 19:37:26.772393 0 [   34763.805633] 0003 0036 000004f3
2022-03-16 19:37:26.779915 0 [   34763.813829] 0003 0036 000004f1
2022-03-16 19:37:26.788296 0 [   34763.822241] 0003 0036 000004ef
2022-03-16 19:37:26.798444 0 [   34763.830422] 0003 0036 000004ee
2022-03-16 19:37:26.807977 0 [   34763.838845] 0003 0036 000004ec
2022-03-16 19:37:26.815290 0 [   34763.847017] 0003 0036 000004ea
2022-03-16 19:37:26.822623 0 [   34763.855576] 0003 0036 000004e8
2022-03-16 19:37:26.834796 0 [   34763.864811] 0003 0036 000004e6
2022-03-16 19:37:26.841294 0 [   34763.872109] 0003 0036 000004e4
2022-03-16 19:37:26.848331 0 [   34763.880410] 0003 0036 000004e2
2022-03-16 19:37:26.857075 0 [   34763.888712] 0003 0036 000004e0
2022-03-16 19:37:26.866901 0 [   34763.896988] 0003 0036 000004de
2022-03-16 19:37:26.874234 0 [   34763.905322] 0003 0036 000004dc
2022-03-16 19:37:26.882648 0 [   34763.913521] 0003 0036 000004da
2022-03-16 19:37:26.890358 0 [   34763.921952] 0003 0036 000004d8
2022-03-16 19:37:26.898148 0 [   34763.930138] 0003 0036 000004d5
2022-03-16 19:37:26.906863 0 [   34763.938564] 0003 0036 000004d3
2022-03-16 19:37:26.914188 0 [   34763.946733] 0003 0036 000004d0
2022-03-16 19:37:26.923326 0 [   34763.955179] 0003 0036 000004ce
2022-03-16 19:37:26.931968 0 [   34763.963379] 0003 0036 000004cc
2022-03-16 19:37:26.939715 0 [   34763.971804] 0003 0036 000004c9
2022-03-16 19:37:26.947770 0 [   34763.980136] 0003 0036 000004c8
2022-03-16 19:37:26.956904 0 [   34763.988477] 0003 0036 000004c5
2022-03-16 19:37:26.964072 0 [   34763.996574] 0003 0036 000004c3
2022-03-16 19:37:26.973982 0 [   34764.005045] 0003 0036 000004c0
2022-03-16 19:37:26.981238 0 [   34764.013245] 0003 0036 000004bf
2022-03-16 19:37:26.989566 0 [   34764.021635] 0003 0036 000004bd
2022-03-16 19:37:26.998210 0 [   34764.029836] 0003 0036 000004bb
2022-03-16 19:37:27.006592 0 [   34764.038284] 0003 0036 000004b9
2022-03-16 19:37:27.014415 0 [   34764.046497] 0003 0036 000004b7
2022-03-16 19:37:27.023260 0 [   34764.054910] 0003 0036 000004b4
2022-03-16 19:37:27.030500 0 [   34764.063100] 0003 0036 000004b3
2022-03-16 19:37:27.038555 0 [   34764.071548] 0003 0036 000004b1
2022-03-16 19:37:27.047698 0 [   34764.079810] 0003 0036 000004ae
2022-03-16 19:37:27.055684 0 [   34764.088166] 0003 0036 000004ad
2022-03-16 19:37:27.063652 0 [   34764.096331] 0003 0036 000004ac
2022-03-16 19:37:27.072864 0 [   34764.104803] 0003 0036 000004aa
2022-03-16 19:37:27.080666 0 [   34764.113100] 0003 0036 000004a9
2022-03-16 19:37:27.088471 0 [   34764.121365] 0003 0036 000004a6
2022-03-16 19:37:27.099131 0 [   34764.129675] 0003 0036 000004a4
2022-03-16 19:37:27.104771 0 [   34764.137972] 0003 0036 000004a1
2022-03-16 19:37:27.113258 0 [   34764.146165] 0003 0036 0000049e
2022-03-16 19:37:27.122554 0 [   34764.154580] 0003 0036 0000049c
2022-03-16 19:37:27.132006 0 [   34764.162865] 0003 0036 00000499
2022-03-16 19:37:27.139224 0 [   34764.171212] 0003 0036 00000497
2022-03-16 19:37:27.147387 0 [   34764.179390] 0003 0036 00000494
2022-03-16 19:37:27.156313 0 [   34764.187848] 0003 0036 00000491
2022-03-16 19:37:27.165281 0 [   34764.196186] 0003 0036 0000048f
2022-03-16 19:37:27.171392 0 [   34764.204577] 0003 0036 0000048c
2022-03-16 19:37:27.181354 0 [   34764.212645] 0003 0036 0000048a
2022-03-16 19:37:27.189218 0 [   34764.221061] 0003 0036 00000486
2022-03-16 19:37:27.198149 0 [   34764.229287] 0003 0036 00000484
2022-03-16 19:37:27.206996 0 [   34764.237725] 0003 0036 00000481
2022-03-16 19:37:27.214735 0 [   34764.245894] 0003 0036 0000047e
2022-03-16 19:37:27.222713 0 [   34764.254307] 0003 0036 0000047b
2022-03-16 19:37:27.231827 0 [   34764.262534] 0003 0036 00000478
2022-03-16 19:37:27.238803 0 [   34764.270952] 0003 0036 00000475
