Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:47.124989 True [    2660.658885] 0003 0036 00000429
2022-04-06 14:58:47.131767 True [    2660.665862] 0003 0035 00000414
2022-04-06 14:58:47.132759 True [    2660.665862] 0003 0036 0000042e
2022-04-06 14:58:47.139013 True [    2660.674162] 0003 0035 0000040f
2022-04-06 14:58:47.139013 True [    2660.674162] 0003 0036 00000432
2022-04-06 14:58:47.149492 True [    2660.683254] 0003 0035 0000040b
2022-04-06 14:58:47.149492 True [    2660.683254] 0003 0036 00000436
2022-04-06 14:58:47.155778 True [    2660.690962] 0003 0035 00000408
2022-04-06 14:58:47.155778 True [    2660.690962] 0003 0036 0000043a
2022-04-06 14:58:47.164924 True [    2660.699846] 0003 0035 00000404
2022-04-06 14:58:47.164924 True [    2660.699846] 0003 0036 0000043f
2022-04-06 14:58:47.173216 True [    2660.707397] 0003 0035 00000400
2022-04-06 14:58:47.173216 True [    2660.707397] 0003 0036 00000443
2022-04-06 14:58:47.182910 True [    2660.716098] 0003 0035 000003fb
2022-04-06 14:58:47.182910 True [    2660.716098] 0003 0036 00000446
2022-04-06 14:58:47.191211 True [    2660.725505] 0003 0035 000003f7
2022-04-06 14:58:47.191211 True [    2660.725505] 0003 0036 0000044a
2022-04-06 14:58:47.198661 True [    2660.732457] 0003 0035 000003f3
2022-04-06 14:58:47.198661 True [    2660.732457] 0003 0036 0000044e
2022-04-06 14:58:47.209657 True [    2660.741075] 0003 0035 000003ef
2022-04-06 14:58:47.209657 True [    2660.741075] 0003 0036 00000452
2022-04-06 14:58:47.216717 True [    2660.749083] 0003 0035 000003eb
2022-04-06 14:58:47.216717 True [    2660.749083] 0003 0036 00000455
2022-04-06 14:58:47.224613 True [    2660.758670] 0003 0035 000003e8
2022-04-06 14:58:47.224613 True [    2660.758670] 0003 0036 00000458
2022-04-06 14:58:47.232797 True [    2660.765413] 0003 0035 000003e4
2022-04-06 14:58:47.232797 True [    2660.765413] 0003 0036 0000045b
2022-04-06 14:58:47.242124 True [    2660.774322] 0003 0035 000003e0
2022-04-06 14:58:47.242124 True [    2660.774322] 0003 0036 0000045e
2022-04-06 14:58:47.248887 True [    2660.782031] 0003 0035 000003dd
2022-04-06 14:58:47.248887 True [    2660.782031] 0003 0036 00000461
2022-04-06 14:58:47.255759 True [    2660.790877] 0003 0035 000003d9
2022-04-06 14:58:47.255759 True [    2660.790877] 0003 0036 00000464
2022-04-06 14:58:47.264571 True [    2660.798668] 0003 0035 000003d6
2022-04-06 14:58:47.264571 True [    2660.798668] 0003 0036 00000466
2022-04-06 14:58:47.273690 True [    2660.807356] 0003 0035 000003d3
2022-04-06 14:58:47.273690 True [    2660.807356] 0003 0036 00000468
2022-04-06 14:58:47.282528 True [    2660.815282] 0003 0035 000003d0
2022-04-06 14:58:47.282528 True [    2660.815282] 0003 0036 00000469
2022-04-06 14:58:47.292447 True [    2660.825195] 0003 0035 000003ce
2022-04-06 14:58:47.292447 True [    2660.825195] 0003 0036 0000046c
2022-04-06 14:58:47.298235 True [    2660.831909] 0003 0035 000003cb
2022-04-06 14:58:47.298235 True [    2660.831909] 0003 0036 0000046d
2022-04-06 14:58:47.308759 True [    2660.841906] 0003 0035 000003c9
2022-04-06 14:58:47.308759 True [    2660.841906] 0003 0036 0000046f
2022-04-06 14:58:47.315760 True [    2660.848939] 0003 0035 000003c7
2022-04-06 14:58:47.315760 True [    2660.848939] 0003 0036 00000471
2022-04-06 14:58:47.325039 True [    2660.857181] 0003 0035 000003c6
2022-04-06 14:58:47.332988 True [    2660.865166] 0003 0035 000003c4
2022-04-06 14:58:47.332988 True [    2660.865166] 0003 0036 00000472
2022-04-06 14:58:47.342378 True [    2660.875049] 0003 0035 000003c3
2022-04-06 14:58:47.342378 True [    2660.875049] 0003 0036 00000473
2022-04-06 14:58:47.347908 True [    2660.881774] 0003 0035 000003c2
2022-04-06 14:58:47.347908 True [    2660.881774] 0003 0036 00000474
2022-04-06 14:58:47.360047 True [    2660.891682] 0003 0035 000003c1
2022-04-06 14:58:47.360047 True [    2660.891682] 0003 0036 00000475
2022-04-06 14:58:47.365765 True [    2660.898443] 0003 0035 000003c0
2022-04-06 14:58:47.383847 True [    2660.915606] 0003 0035 000003bf
2022-04-06 14:58:47.399863 True [    2660.931924] 0003 0035 000003be
2022-04-06 14:58:47.469711 True [    2660.999806] 0003 0035 000003bf
2022-04-06 14:58:47.473595 True [    2661.006623] 0003 0035 000003c0
2022-04-06 14:58:47.473595 True [    2661.006623] 0003 0036 00000473
2022-04-06 14:58:47.480757 True [    2661.014968] 0003 0035 000003c3
2022-04-06 14:58:47.480757 True [    2661.014968] 0003 0036 00000471
2022-04-06 14:58:47.493375 True [    2661.024654] 0003 0035 000003c7
2022-04-06 14:58:47.493375 True [    2661.024654] 0003 0036 0000046c
2022-04-06 14:58:47.497962 True [    2661.031346] 0003 0035 000003cd
2022-04-06 14:58:47.497962 True [    2661.031346] 0003 0036 00000467
2022-04-06 14:58:47.509926 True [    2661.041330] 0003 0035 000003d4
2022-04-06 14:58:47.509926 True [    2661.041330] 0003 0036 00000460
2022-04-06 14:58:47.515735 True [    2661.048094] 0003 0035 000003da
2022-04-06 14:58:47.515735 True [    2661.048094] 0003 0036 0000045a
2022-04-06 14:58:47.525988 True [    2661.058122] 0003 0035 000003e3
2022-04-06 14:58:47.525988 True [    2661.058122] 0003 0036 00000451
2022-04-06 14:58:47.531375 True [    2661.064669] 0003 0035 000003eb
2022-04-06 14:58:47.531375 True [    2661.064669] 0003 0036 00000449
2022-04-06 14:58:47.539685 True [    2661.074369] 0003 0035 000003f2
2022-04-06 14:58:47.539685 True [    2661.074369] 0003 0036 00000440
2022-04-06 14:58:47.546723 True [    2661.081319] 0003 0035 000003fa
2022-04-06 14:58:47.546723 True [    2661.081319] 0003 0036 00000439
