Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6857856942090075 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:19:54.211527 False [  161116.872926] 0003 0035 0000017c
2022-04-02 18:19:54.211527 False [  161116.872926] 0003 0036 00000496
2022-04-02 18:19:54.211527 False [  161116.895272] 0003 0035 0000017d
2022-04-02 18:19:54.211527 False [  161116.895272] 0003 0036 0000049c
2022-04-02 18:19:54.211527 False [  161116.916433] 0003 0035 00000181
2022-04-02 18:19:54.211527 False [  161116.916433] 0003 0036 000004c5
2022-04-02 18:19:54.211527 False [  161116.940824] 0003 0035 00000183
2022-04-02 18:19:54.211527 False [  161116.940824] 0003 0036 000004e3
2022-04-02 18:19:54.211527 False [  161116.967572] 0003 0036 000004f9
2022-04-02 18:19:54.211527 False [  161116.993960] 0003 0035 00000182
2022-04-02 18:19:54.211527 False [  161116.993960] 0003 0036 00000504
2022-04-02 18:19:54.211527 False [  161117.020422] 0003 0036 00000505
2022-04-02 18:19:54.211527 False [  161117.047569] 0003 0035 00000181
2022-04-02 18:19:54.211527 False [  161117.047569] 0003 0036 00000504
2022-04-02 18:19:54.222124 False [  161117.071805] 0003 0035 00000180
2022-04-02 18:19:54.222124 False [  161117.071805] 0003 0036 000004ef
2022-04-02 18:19:54.222124 False [  161117.098331] 0003 0035 0000017e
2022-04-02 18:19:54.222124 False [  161117.098331] 0003 0036 000004c8
2022-04-02 18:19:54.222124 False [  161117.126172] 0003 0036 000004ac
2022-04-02 18:19:54.222124 False [  161117.157668] 0003 0035 00000183
2022-04-02 18:19:54.222124 False [  161117.157668] 0003 0036 00000499
2022-04-02 18:19:54.222124 False [  161117.182297] 0003 0035 0000018a
2022-04-02 18:19:54.222124 False [  161117.182297] 0003 0036 00000490
2022-04-02 18:19:54.222124 True [  161117.211915] 0003 0035 0000018f
2022-04-02 18:19:54.222124 True [  161117.274171] 0003 0035 000001ac
2022-04-02 18:19:54.222124 True [  161117.274171] 0003 0036 0000049c
2022-04-02 18:19:54.222124 True [  161117.302865] 0003 0035 000001b4
2022-04-02 18:19:54.287218 True [  161117.375244] 0003 0035 000001ba
2022-04-02 18:19:54.287218 True [  161117.375244] 0003 0036 00000494
2022-04-02 18:19:54.518015 True [  161117.413127] 0003 0036 00000499
2022-04-02 18:19:54.765691 True [  161117.441707] 0003 0035 000001bc
2022-04-02 18:19:54.765691 True [  161117.441707] 0003 0036 000004b0
2022-04-02 18:19:54.766736 True [  161117.468774] 0003 0035 000001c1
2022-04-02 18:19:54.766736 True [  161117.468774] 0003 0036 000004ca
2022-04-02 18:19:54.766736 True [  161117.492994] 0003 0035 000001c4
2022-04-02 18:19:54.766736 True [  161117.492994] 0003 0036 000004dd
2022-04-02 18:19:54.766736 True [  161117.501170] 0003 0035 000001c5
2022-04-02 18:19:54.766736 True [  161117.501170] 0003 0036 000004e3
2022-04-02 18:19:54.766736 True [  161117.505681] 0003 0036 000004e7
2022-04-02 18:19:54.766736 True [  161117.513076] 0003 0036 000004ea
2022-04-02 18:19:54.766736 True [  161117.535124] 0003 0036 000004ee
2022-04-02 18:19:54.766736 True [  161117.562113] 0003 0036 000004ed
2022-04-02 18:19:54.766736 True [  161117.591918] 0003 0035 000001c4
2022-04-02 18:19:54.766736 True [  161117.591918] 0003 0036 000004df
2022-04-02 18:19:54.766736 True [  161117.619920] 0003 0035 000001be
2022-04-02 18:19:54.766736 True [  161117.619920] 0003 0036 000004c4
2022-04-02 18:19:54.766736 True [  161117.643144] 0003 0035 000001b8
2022-04-02 18:19:54.766736 True [  161117.643144] 0003 0036 000004ac
2022-04-02 18:19:55.032920 True [  161117.669512] 0003 0035 000001b6
2022-04-02 18:19:55.032920 True [  161117.669512] 0003 0036 000004a4
2022-04-02 18:19:55.032920 True [  161117.694585] 0003 0035 000001b5
2022-04-02 18:19:55.032920 True [  161117.694585] 0003 0036 000004a3
2022-04-02 18:19:55.032920 True [  161117.723173] 0003 0036 000004a4
2022-04-02 18:19:55.032920 True [  161117.753357] 0003 0035 000001b6
2022-04-02 18:19:55.032920 True [  161117.753357] 0003 0036 000004ae
2022-04-02 18:19:55.032920 True [  161117.775692] 0003 0035 000001b8
2022-04-02 18:19:55.032920 True [  161117.775692] 0003 0036 000004b9
2022-04-02 18:19:55.032920 True [  161117.791412] 0003 0036 000004bd
2022-04-02 18:19:55.032920 True [  161117.817311] 0003 0035 000001b7
2022-04-02 18:19:55.032920 True [  161117.817311] 0003 0036 000004c3
2022-04-02 18:19:55.032920 True [  161117.852516] 0003 0035 000001b5
2022-04-02 18:19:55.032920 True [  161117.852516] 0003 0036 000004c4
2022-04-02 18:19:55.032920 True [  161117.888860] 0003 0035 000001af
2022-04-02 18:19:55.032920 True [  161117.888860] 0003 0036 000004c7
2022-04-02 18:19:55.243793 True [  161117.918013] 0003 0035 000001ac
2022-04-02 18:19:55.243793 True [  161117.918013] 0003 0036 000004c8
2022-04-02 18:19:55.243793 True [  161117.937538] 0003 0035 000001a8
2022-04-02 18:19:55.243793 True [  161117.937538] 0003 0036 000004c9
2022-04-02 18:19:55.243793 True [  161117.966666] 0003 0035 000001a6
2022-04-02 18:19:55.243793 True [  161117.997766] 0003 0035 000001a4
2022-04-02 18:19:55.243793 True [  161117.997766] 0003 0036 000004ca
2022-04-02 18:19:55.243793 True [  161118.025101] 0003 0035 0000019e
2022-04-02 18:19:55.243793 True [  161118.025101] 0003 0036 000004cc
2022-04-02 18:19:55.243793 True [  161118.051423] 0003 0035 0000019d
2022-04-02 18:19:55.243793 True [  161118.051423] 0003 0036 000004cd
2022-04-02 18:19:55.243793 True [  161118.083381] 0003 0035 0000019c
2022-04-02 18:19:55.243793 True [  161118.083381] 0003 0036 000004ce
