Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:48:32.575264 True [    2046.118513] 0003 0036 000006ea
2022-04-06 14:48:32.592428 True [    2046.135090] 0003 0036 000006eb
2022-04-06 14:48:32.599996 True [    2046.143571] 0003 0036 000006ec
2022-04-06 14:48:32.609080 True [    2046.151746] 0003 0036 000006f3
2022-04-06 14:48:32.617372 True [    2046.160243] 0003 0036 000006fa
2022-04-06 14:48:32.633718 True [    2046.176836] 0003 0036 000006fe
2022-04-06 14:48:32.642568 True [    2046.185011] 0003 0035 000003da
2022-04-06 14:48:32.642568 False [    2046.185011] 0003 0036 00000702
2022-04-06 14:48:32.650675 False [    2046.193424] 0003 0035 000003d9
2022-04-06 14:48:32.650675 False [    2046.193424] 0003 0036 00000706
2022-04-06 14:48:32.659379 False [    2046.201642] 0003 0036 00000709
2022-04-06 14:48:32.666242 False [    2046.210068] 0003 0036 0000070b
2022-04-06 14:48:32.674590 False [    2046.218216] 0003 0036 0000070e
2022-04-06 14:48:32.683258 False [    2046.226687] 0003 0036 00000711
2022-04-06 14:48:32.691891 False [    2046.234854] 0003 0036 00000714
2022-04-06 14:48:32.699506 False [    2046.243376] 0003 0036 00000719
2022-04-06 14:48:32.708147 False [    2046.251469] 0003 0036 0000071e
2022-04-06 14:48:32.718003 False [    2046.259885] 0003 0035 000003da
2022-04-06 14:48:32.718003 False [    2046.259885] 0003 0036 00000722
2022-04-06 14:48:32.724562 False [    2046.268085] 0003 0036 00000725
2022-04-06 14:48:32.734437 False [    2046.276559] 0003 0036 00000729
2022-04-06 14:48:32.741677 False [    2046.284736] 0003 0035 000003d9
2022-04-06 14:48:32.742988 False [    2046.284736] 0003 0036 0000072c
2022-04-06 14:48:32.751161 False [    2046.293133] 0003 0036 0000072f
2022-04-06 14:48:32.759629 False [    2046.301331] 0003 0036 00000732
2022-04-06 14:48:32.766574 False [    2046.309784] 0003 0036 00000734
2022-04-06 14:48:32.774072 False [    2046.317932] 0003 0036 00000735
2022-04-06 14:48:32.782916 False [    2046.326379] 0003 0036 00000737
2022-04-06 14:48:32.791119 False [    2046.334546] 0003 0036 00000739
2022-04-06 14:48:32.799609 False [    2046.343114] 0003 0036 0000073b
2022-04-06 14:48:32.808069 False [    2046.351168] 0003 0036 0000073d
2022-04-06 14:48:32.816162 False [    2046.359631] 0003 0036 0000073f
2022-04-06 14:48:32.824487 False [    2046.367804] 0003 0035 000003d8
2022-04-06 14:48:32.824487 False [    2046.367804] 0003 0036 00000741
2022-04-06 14:48:32.833611 False [    2046.376325] 0003 0036 00000744
2022-04-06 14:48:32.841269 False [    2046.384439] 0003 0035 000003d7
2022-04-06 14:48:32.841269 False [    2046.384439] 0003 0036 00000745
2022-04-06 14:48:32.849641 False [    2046.392859] 0003 0036 00000747
2022-04-06 14:48:32.857716 False [    2046.401074] 0003 0036 00000749
2022-04-06 14:48:32.866569 False [    2046.409477] 0003 0035 000003d6
2022-04-06 14:48:32.866569 False [    2046.409477] 0003 0036 0000074a
2022-04-06 14:48:32.874266 False [    2046.417686] 0003 0036 0000074c
2022-04-06 14:48:32.882704 False [    2046.426113] 0003 0036 0000074e
2022-04-06 14:48:32.891005 False [    2046.434284] 0003 0036 0000074f
2022-04-06 14:48:32.899227 False [    2046.442785] 0003 0036 00000750
2022-04-06 14:48:32.907600 False [    2046.451065] 0003 0035 000003d5
2022-04-06 14:48:32.907600 False [    2046.451065] 0003 0036 00000751
