Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:34.185279 True [  158937.274141] 0003 0035 000004d8
2022-04-02 17:43:34.186276 True [  158937.285651] 0003 0035 000004d7
2022-04-02 17:43:34.186276 True [  158937.296394] 0003 0035 000004d6
2022-04-02 17:43:34.186276 True [  158937.302484] 0003 0035 000004d5
2022-04-02 17:43:34.186276 True [  158937.312942] 0003 0035 000004d4
2022-04-02 17:43:34.202379 True [  158937.323739] 0003 0035 000004d3
2022-04-02 17:43:34.212354 True [  158937.343815] 0003 0035 000004d2
2022-04-02 17:43:34.218655 True [  158937.360717] 0003 0035 000004d1
2022-04-02 17:43:34.233393 True [  158937.377113] 0003 0035 000004d0
2022-04-02 17:43:34.287768 True [  158937.393791] 0003 0035 000004ce
2022-04-02 17:43:34.302355 True [  158937.403181] 0003 0035 000004cd
2022-04-02 17:43:34.302355 True [  158937.411523] 0003 0035 000004cc
2022-04-02 17:43:34.302355 True [  158937.421020] 0003 0035 000004cb
2022-04-02 17:43:34.302355 True [  158937.431488] 0003 0035 000004ca
2022-04-02 17:43:34.302355 True [  158937.442502] 0003 0035 000004c9
2022-04-02 17:43:34.370133 True [  158937.468621] 0003 0035 000004c7
2022-04-02 17:43:34.405843 True [  158937.480506] 0003 0035 000004c5
2022-04-02 17:43:34.406840 True [  158937.492745] 0003 0035 000004c4
2022-04-02 17:43:34.406840 True [  158937.502375] 0003 0035 000004c2
2022-04-02 17:43:34.406840 True [  158937.513026] 0003 0035 000004c0
2022-04-02 17:43:34.406840 True [  158937.523459] 0003 0035 000004bf
2022-04-02 17:43:34.411290 True [  158937.533919] 0003 0035 000004be
2022-04-02 17:43:34.411290 True [  158937.543099] 0003 0035 000004bd
2022-04-02 17:43:34.411290 True [  158937.552128] 0003 0035 000004bb
2022-04-02 17:43:34.429178 True [  158937.568564] 0003 0035 000004ba
2022-04-02 17:43:34.481365 True [  158937.626372] 0003 0035 000004b9
2022-04-02 17:43:34.514113 True [  158937.651455] 0003 0035 000004b8
2022-04-02 17:43:34.543678 True [  158937.692855] 0003 0035 000004b7
2022-04-02 17:43:34.618676 True [  158937.759402] 0003 0035 000004b6
2022-04-02 17:43:34.655412 True [  158937.801014] 0003 0035 000004b5
2022-04-02 17:43:34.791943 True [  158937.933945] 0003 0036 0000049d
2022-04-02 17:43:34.901293 True [  158938.041924] 0003 0036 0000049e
2022-04-02 17:43:34.964075 True [  158938.108311] 0003 0035 000004b4
2022-04-02 17:43:35.217882 True [  158938.357590] 0003 0035 000004b5
2022-04-02 17:43:35.217882 True [  158938.357590] 0003 0036 0000049d
2022-04-02 17:43:35.217882 True [  158938.366209] 0003 0035 000004b6
2022-04-02 17:43:35.226573 True [  158938.374395] 0003 0035 000004b7
2022-04-02 17:43:35.226573 True [  158938.374395] 0003 0036 0000049c
2022-04-02 17:43:35.248307 True [  158938.390818] 0003 0035 000004b8
2022-04-02 17:43:35.256365 True [  158938.407500] 0003 0035 000004b9
2022-04-02 17:43:35.256365 True [  158938.407500] 0003 0036 0000049b
2022-04-02 17:43:35.283876 True [  158938.432637] 0003 0035 000004ba
2022-04-02 17:43:35.306526 True [  158938.449188] 0003 0036 0000049a
2022-04-02 17:43:35.330343 True [  158938.473916] 0003 0035 000004bb
2022-04-02 17:43:35.368659 True [  158938.507150] 0003 0035 000004bc
2022-04-02 17:43:35.404263 True [  158938.515727] 0003 0035 000004be
2022-04-02 17:43:35.404263 True [  158938.515727] 0003 0036 00000499
2022-04-02 17:43:35.404263 True [  158938.523947] 0003 0036 00000498
2022-04-02 17:43:35.422387 True [  158938.535040] 0003 0035 000004bf
2022-04-02 17:43:35.422387 True [  158938.535040] 0003 0036 00000496
2022-04-02 17:43:35.422387 True [  158938.541783] 0003 0035 000004c1
2022-04-02 17:43:35.422387 True [  158938.541783] 0003 0036 00000495
