Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:50.980718 False [    1944.524962] 0003 0036 000003a7
2022-04-06 14:46:50.989122 False [    1944.533396] 0003 0035 00000420
2022-04-06 14:46:50.989122 False [    1944.533396] 0003 0036 000003a5
2022-04-06 14:46:50.998205 False [    1944.541560] 0003 0035 0000041a
2022-04-06 14:46:50.998205 False [    1944.541560] 0003 0036 000003a4
2022-04-06 14:46:51.005191 False [    1944.549971] 0003 0035 00000416
2022-04-06 14:46:51.005191 False [    1944.549971] 0003 0036 000003a3
2022-04-06 14:46:51.014025 False [    1944.558166] 0003 0035 00000412
2022-04-06 14:46:51.014025 False [    1944.558166] 0003 0036 000003a1
2022-04-06 14:46:51.022576 False [    1944.566611] 0003 0035 0000040f
2022-04-06 14:46:51.022576 False [    1944.566611] 0003 0036 000003a0
2022-04-06 14:46:51.030601 False [    1944.574785] 0003 0035 0000040c
2022-04-06 14:46:51.030601 False [    1944.574785] 0003 0036 0000039f
2022-04-06 14:46:51.038287 False [    1944.583242] 0003 0035 00000408
2022-04-06 14:46:51.047508 False [    1944.591423] 0003 0035 00000405
2022-04-06 14:46:51.047508 False [    1944.591423] 0003 0036 0000039d
2022-04-06 14:46:51.055665 False [    1944.599864] 0003 0035 00000403
2022-04-06 14:46:51.055665 False [    1944.599864] 0003 0036 0000039c
2022-04-06 14:46:51.063646 False [    1944.608081] 0003 0035 000003fd
2022-04-06 14:46:51.063646 False [    1944.608081] 0003 0036 0000039a
2022-04-06 14:46:51.072655 True [    1944.616601] 0003 0035 000003f8
2022-04-06 14:46:51.072655 False [    1944.616601] 0003 0036 00000396
2022-04-06 14:46:51.080179 True [    1944.624682] 0003 0035 000003ef
2022-04-06 14:46:51.080179 True [    1944.624682] 0003 0036 00000392
