Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.882655844763039 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 13:51:01.307867 False [  230092.673582] 0003 0036 0000033e
2022-04-06 13:51:01.326057 False [  230092.691260] 0003 0036 0000033f
2022-04-06 13:51:01.332906 False [  230092.698535] 0003 0036 00000340
2022-04-06 13:51:01.340453 False [  230092.706791] 0003 0036 00000342
2022-04-06 13:51:01.357672 False [  230092.724103] 0003 0036 00000343
2022-04-06 13:51:01.365427 False [  230092.731791] 0003 0036 00000345
2022-04-06 13:51:01.372815 False [  230092.740068] 0003 0036 00000346
2022-04-06 13:51:01.390460 False [  230092.757101] 0003 0036 00000347
2022-04-06 13:51:01.398275 False [  230092.765069] 0003 0036 00000349
2022-04-06 13:51:01.406630 False [  230092.773266] 0003 0036 0000034a
2022-04-06 13:51:01.415062 False [  230092.781617] 0003 0035 00000531
2022-04-06 13:51:01.415062 False [  230092.781617] 0003 0036 0000034b
2022-04-06 13:51:01.423146 False [  230092.790126] 0003 0036 0000034c
2022-04-06 13:51:01.432961 False [  230092.798245] 0003 0036 0000034d
2022-04-06 13:51:01.442291 False [  230092.807278] 0003 0036 0000034e
2022-04-06 13:51:01.449492 False [  230092.814907] 0003 0036 0000034f
2022-04-06 13:51:01.466172 False [  230092.831667] 0003 0035 00000532
2022-04-06 13:51:01.467139 False [  230092.831667] 0003 0036 00000350
2022-04-06 13:51:01.473413 False [  230092.839755] 0003 0036 00000352
2022-04-06 13:51:01.482017 False [  230092.848467] 0003 0036 00000353
2022-04-06 13:51:01.499587 False [  230092.864635] 0003 0035 00000533
2022-04-06 13:51:01.499919 False [  230092.864635] 0003 0036 00000354
2022-04-06 13:51:01.507306 False [  230092.873025] 0003 0036 00000355
2022-04-06 13:51:01.514867 False [  230092.881548] 0003 0036 00000356
2022-04-06 13:51:01.523048 False [  230092.889843] 0003 0036 00000357
2022-04-06 13:51:01.531473 False [  230092.898116] 0003 0035 00000534
2022-04-06 13:51:01.531473 False [  230092.898116] 0003 0036 00000358
2022-04-06 13:51:01.538932 False [  230092.906306] 0003 0036 00000359
2022-04-06 13:51:01.556486 False [  230092.922853] 0003 0036 0000035a
2022-04-06 13:51:01.564999 False [  230092.931146] 0003 0036 0000035b
2022-04-06 13:51:01.573371 False [  230092.940421] 0003 0036 0000035c
2022-04-06 13:51:01.581657 False [  230092.948068] 0003 0036 0000035d
2022-04-06 13:51:01.597906 False [  230092.964387] 0003 0036 0000035e
2022-04-06 13:51:01.605911 False [  230092.973010] 0003 0035 00000535
2022-04-06 13:51:01.614183 False [  230092.981068] 0003 0036 0000035f
2022-04-06 13:51:01.622792 False [  230092.989324] 0003 0035 00000536
2022-04-06 13:51:01.622792 False [  230092.989324] 0003 0036 00000360
2022-04-06 13:51:01.631952 False [  230092.997902] 0003 0036 00000361
2022-04-06 13:51:01.639188 False [  230093.006123] 0003 0035 00000537
2022-04-06 13:51:01.639188 False [  230093.006123] 0003 0036 00000362
2022-04-06 13:51:01.648149 False [  230093.014353] 0003 0036 00000363
2022-04-06 13:51:01.657209 False [  230093.023414] 0003 0036 00000364
2022-04-06 13:51:01.673062 False [  230093.039312] 0003 0035 00000538
2022-04-06 13:51:01.673062 False [  230093.039312] 0003 0036 00000365
2022-04-06 13:51:01.680024 False [  230093.047616] 0003 0036 00000366
2022-04-06 13:51:01.689069 False [  230093.055787] 0003 0035 00000539
2022-04-06 13:51:01.689069 False [  230093.055787] 0003 0036 00000367
2022-04-06 13:51:01.697069 False [  230093.064568] 0003 0036 00000368
2022-04-06 13:51:01.706540 False [  230093.073252] 0003 0035 0000053a
2022-04-06 13:51:01.706540 False [  230093.073252] 0003 0036 00000369
2022-04-06 13:51:01.715139 False [  230093.081888] 0003 0036 0000036a
2022-04-06 13:51:01.722263 False [  230093.089059] 0003 0035 0000053b
2022-04-06 13:51:01.722263 False [  230093.089059] 0003 0036 0000036b
2022-04-06 13:51:01.731082 False [  230093.097591] 0003 0036 0000036d
