Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:25.363772 True [  144519.285631] 0003 0035 00000198
2022-04-02 13:43:25.371624 True [  144519.293816] 0003 0035 0000019a
2022-04-02 13:43:25.371624 True [  144519.293816] 0003 0036 000004df
2022-04-02 13:43:25.381611 True [  144519.302029] 0003 0035 0000019c
2022-04-02 13:43:25.388092 True [  144519.310591] 0003 0035 0000019e
2022-04-02 13:43:25.398401 True [  144519.319036] 0003 0035 0000019f
2022-04-02 13:43:25.405322 True [  144519.326929] 0003 0035 000001a1
2022-04-02 13:43:25.414254 True [  144519.335616] 0003 0035 000001a2
2022-04-02 13:43:25.421622 True [  144519.343629] 0003 0035 000001a4
2022-04-02 13:43:25.421622 True [  144519.343629] 0003 0036 000004e0
2022-04-02 13:43:25.430375 True [  144519.351885] 0003 0035 000001a6
2022-04-02 13:43:25.438983 True [  144519.360499] 0003 0035 000001a8
2022-04-02 13:43:25.447007 True [  144519.368944] 0003 0035 000001a9
2022-04-02 13:43:25.448007 True [  144519.368944] 0003 0036 000004e1
2022-04-02 13:43:25.455925 True [  144519.377001] 0003 0035 000001ab
2022-04-02 13:43:25.464284 True [  144519.385477] 0003 0035 000001ac
2022-04-02 13:43:25.464284 True [  144519.385477] 0003 0036 000004e2
2022-04-02 13:43:25.471786 True [  144519.393698] 0003 0035 000001ae
2022-04-02 13:43:25.481767 True [  144519.402184] 0003 0035 000001b0
2022-04-02 13:43:25.481767 True [  144519.402184] 0003 0036 000004e3
2022-04-02 13:43:25.489572 True [  144519.410182] 0003 0035 000001b2
2022-04-02 13:43:25.497289 True [  144519.418527] 0003 0035 000001b3
2022-04-02 13:43:25.497289 True [  144519.418527] 0003 0036 000004e4
2022-04-02 13:43:25.505954 True [  144519.427044] 0003 0035 000001b6
2022-04-02 13:43:25.512789 True [  144519.435337] 0003 0035 000001b7
2022-04-02 13:43:25.522779 True [  144519.443688] 0003 0035 000001ba
2022-04-02 13:43:25.522779 True [  144519.443688] 0003 0036 000004e5
2022-04-02 13:43:25.530287 True [  144519.451616] 0003 0035 000001bc
2022-04-02 13:43:25.538230 True [  144519.460096] 0003 0035 000001be
2022-04-02 13:43:25.538230 True [  144519.460096] 0003 0036 000004e6
2022-04-02 13:43:25.547698 True [  144519.468580] 0003 0035 000001c1
2022-04-02 13:43:25.554389 True [  144519.476469] 0003 0035 000001c4
2022-04-02 13:43:25.554389 True [  144519.476469] 0003 0036 000004e7
2022-04-02 13:43:25.562525 True [  144519.484948] 0003 0035 000001c6
2022-04-02 13:43:25.571273 True [  144519.493204] 0003 0035 000001c9
2022-04-02 13:43:25.580111 True [  144519.501459] 0003 0035 000001cb
2022-04-02 13:43:25.580111 True [  144519.501459] 0003 0036 000004e8
2022-04-02 13:43:25.588729 True [  144519.509703] 0003 0035 000001cd
2022-04-02 13:43:25.595852 True [  144519.518031] 0003 0035 000001d0
2022-04-02 13:43:25.603823 True [  144519.526257] 0003 0035 000001d2
2022-04-02 13:43:25.611948 True [  144519.534797] 0003 0035 000001d4
2022-04-02 13:43:25.620888 True [  144519.542926] 0003 0035 000001d7
2022-04-02 13:43:25.630102 True [  144519.552032] 0003 0035 000001d8
2022-04-02 13:43:25.636820 True [  144519.559574] 0003 0035 000001da
2022-04-02 13:43:25.646142 True [  144519.568321] 0003 0035 000001dc
2022-04-02 13:43:25.654698 True [  144519.576306] 0003 0035 000001de
2022-04-02 13:43:25.662883 True [  144519.584927] 0003 0035 000001df
2022-04-02 13:43:25.670916 True [  144519.592771] 0003 0035 000001e1
2022-04-02 13:43:25.679014 True [  144519.601175] 0003 0035 000001e2
2022-04-02 13:43:25.689140 True [  144519.609774] 0003 0035 000001e4
2022-04-02 13:43:25.695932 True [  144519.617970] 0003 0035 000001e5
2022-04-02 13:43:25.704962 True [  144519.626011] 0003 0035 000001e7
2022-04-02 13:43:25.712271 True [  144519.634560] 0003 0035 000001e9
2022-04-02 13:43:25.712271 True [  144519.634560] 0003 0036 000004e7
2022-04-02 13:43:25.720475 True [  144519.642600] 0003 0035 000001ea
2022-04-02 13:43:25.729983 True [  144519.651322] 0003 0035 000001ec
2022-04-02 13:43:25.737563 True [  144519.659272] 0003 0035 000001ef
2022-04-02 13:43:25.746996 True [  144519.668526] 0003 0035 000001f0
2022-04-02 13:43:25.753809 True [  144519.675824] 0003 0035 000001f3
2022-04-02 13:43:25.763758 True [  144519.684645] 0003 0035 000001f4
2022-04-02 13:43:25.771094 True [  144519.692867] 0003 0035 000001f6
2022-04-02 13:43:25.780428 True [  144519.701702] 0003 0035 000001f7
2022-04-02 13:43:25.787149 True [  144519.709105] 0003 0035 000001fa
2022-04-02 13:43:25.787149 True [  144519.709105] 0003 0036 000004e6
2022-04-02 13:43:25.795633 True [  144519.717742] 0003 0035 000001fb
2022-04-02 13:43:25.803928 True [  144519.725740] 0003 0035 000001fd
2022-04-02 13:43:25.812740 True [  144519.734443] 0003 0035 000001fe
2022-04-02 13:43:25.820982 True [  144519.742341] 0003 0035 00000200
2022-04-02 13:43:25.828486 True [  144519.750752] 0003 0035 00000202
2022-04-02 13:43:25.838267 True [  144519.759262] 0003 0035 00000204
2022-04-02 13:43:25.845738 True [  144519.767692] 0003 0035 00000205
