Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:20:43.650722 True [  157566.819611] 0003 0035 00000505
2022-04-02 17:20:43.657344 True [  157566.828043] 0003 0035 00000506
2022-04-02 17:20:43.666432 True [  157566.836156] 0003 0035 00000507
2022-04-02 17:20:43.674212 True [  157566.844720] 0003 0035 00000509
2022-04-02 17:20:43.674212 True [  157566.844720] 0003 0036 00000484
2022-04-02 17:20:43.683862 True [  157566.852826] 0003 0036 00000485
2022-04-02 17:20:43.690723 True [  157566.861324] 0003 0035 0000050b
2022-04-02 17:20:43.690723 True [  157566.861324] 0003 0036 00000486
2022-04-02 17:20:43.700098 True [  157566.869467] 0003 0035 0000050c
2022-04-02 17:20:43.700098 True [  157566.869467] 0003 0036 00000487
2022-04-02 17:20:43.709240 True [  157566.877922] 0003 0035 0000050d
2022-04-02 17:20:43.709240 True [  157566.877922] 0003 0036 00000488
2022-04-02 17:20:43.716598 True [  157566.886098] 0003 0035 0000050e
2022-04-02 17:20:43.716598 True [  157566.886098] 0003 0036 00000489
2022-04-02 17:20:43.725329 True [  157566.894514] 0003 0035 0000050f
2022-04-02 17:20:43.725329 True [  157566.894514] 0003 0036 0000048a
2022-04-02 17:20:43.731318 True [  157566.902711] 0003 0035 00000510
2022-04-02 17:20:43.731318 True [  157566.902711] 0003 0036 0000048b
2022-04-02 17:20:43.741488 True [  157566.911101] 0003 0035 00000511
2022-04-02 17:20:43.750294 True [  157566.919305] 0003 0035 00000512
2022-04-02 17:20:43.750294 True [  157566.919305] 0003 0036 0000048c
2022-04-02 17:20:43.757747 True [  157566.927738] 0003 0035 00000513
2022-04-02 17:20:43.757747 True [  157566.927738] 0003 0036 0000048d
2022-04-02 17:20:43.767544 True [  157566.935940] 0003 0035 00000514
2022-04-02 17:20:43.775444 True [  157566.944422] 0003 0036 0000048e
2022-04-02 17:20:43.791706 True [  157566.961148] 0003 0035 00000515
2022-04-02 17:20:43.791706 True [  157566.961148] 0003 0036 0000048f
2022-04-02 17:20:43.798377 True [  157566.969159] 0003 0035 00000516
2022-04-02 17:20:43.809198 True [  157566.977609] 0003 0035 00000517
2022-04-02 17:20:43.827030 True [  157566.994271] 0003 0035 00000518
2022-04-02 17:20:43.827030 True [  157566.994271] 0003 0036 00000490
2022-04-02 17:20:43.833837 True [  157567.002623] 0003 0035 00000519
2022-04-02 17:20:43.841753 True [  157567.010832] 0003 0035 0000051a
2022-04-02 17:20:43.841753 True [  157567.010832] 0003 0036 00000491
2022-04-02 17:20:43.849768 True [  157567.019036] 0003 0035 0000051b
2022-04-02 17:20:43.849768 True [  157567.019036] 0003 0036 00000492
2022-04-02 17:20:43.857887 True [  157567.027417] 0003 0036 00000493
2022-04-02 17:20:43.866859 True [  157567.035617] 0003 0035 0000051e
2022-04-02 17:20:43.866859 True [  157567.035617] 0003 0036 00000496
2022-04-02 17:20:43.873456 True [  157567.044049] 0003 0035 00000520
2022-04-02 17:20:43.873456 True [  157567.044049] 0003 0036 00000498
2022-04-02 17:20:43.880597 True [  157567.052282] 0003 0035 00000522
2022-04-02 17:20:43.880597 True [  157567.052282] 0003 0036 00000499
2022-04-02 17:20:43.891715 True [  157567.060958] 0003 0035 00000524
2022-04-02 17:20:43.891715 True [  157567.060958] 0003 0036 0000049a
2022-04-02 17:20:43.897577 True [  157567.068909] 0003 0035 00000525
2022-04-02 17:20:43.897577 True [  157567.068909] 0003 0036 0000049c
2022-04-02 17:20:43.907473 True [  157567.077406] 0003 0035 00000527
2022-04-02 17:20:43.917319 True [  157567.085512] 0003 0035 00000528
2022-04-02 17:20:43.917319 True [  157567.085512] 0003 0036 0000049d
2022-04-02 17:20:43.924393 True [  157567.093918] 0003 0035 00000529
2022-04-02 17:20:43.924393 True [  157567.093918] 0003 0036 0000049e
2022-04-02 17:20:43.951216 True [  157567.118765] 0003 0035 0000052c
2022-04-02 17:20:43.959149 True [  157567.127211] 0003 0035 0000052d
2022-04-02 17:20:43.967004 True [  157567.135418] 0003 0035 00000530
2022-04-02 17:20:43.967004 True [  157567.135418] 0003 0036 0000049d
2022-04-02 17:20:43.975115 True [  157567.143792] 0003 0035 00000531
2022-04-02 17:20:43.975115 True [  157567.143792] 0003 0036 0000049c
2022-04-02 17:20:43.984292 True [  157567.151985] 0003 0035 00000534
2022-04-02 17:20:43.984292 True [  157567.151985] 0003 0036 0000049b
2022-04-02 17:20:43.991795 True [  157567.160512] 0003 0035 00000535
2022-04-02 17:20:43.999245 True [  157567.168592] 0003 0035 00000537
2022-04-02 17:20:43.999245 True [  157567.168592] 0003 0036 0000049a
2022-04-02 17:20:44.015973 True [  157567.185427] 0003 0035 00000539
2022-04-02 17:20:44.015973 True [  157567.185427] 0003 0036 00000499
2022-04-02 17:20:44.024167 True [  157567.193652] 0003 0035 0000053b
2022-04-02 17:20:44.031611 False [  157567.201819] 0003 0035 0000053c
2022-04-02 17:20:44.040668 False [  157567.210292] 0003 0035 0000053e
2022-04-02 17:20:44.040668 False [  157567.210292] 0003 0036 00000498
2022-04-02 17:20:44.049696 False [  157567.218451] 0003 0035 0000053f
2022-04-02 17:20:44.049696 False [  157567.218451] 0003 0036 00000497
2022-04-02 17:20:44.060022 False [  157567.226884] 0003 0035 00000541
2022-04-02 17:20:44.060022 False [  157567.226884] 0003 0036 00000496
2022-04-02 17:20:44.066402 False [  157567.235111] 0003 0035 00000542
2022-04-02 17:20:44.072682 False [  157567.243508] 0003 0035 00000543
2022-04-02 17:20:44.072682 False [  157567.243508] 0003 0036 00000495
2022-04-02 17:20:44.079367 False [  157567.251722] 0003 0035 00000545
2022-04-02 17:20:44.079367 False [  157567.251722] 0003 0036 00000494
2022-04-02 17:20:44.100757 False [  157567.268338] 0003 0035 00000546
2022-04-02 17:20:44.110061 False [  157567.276861] 0003 0035 00000547
2022-04-02 17:20:44.110061 False [  157567.276861] 0003 0036 00000493
2022-04-02 17:20:44.125213 False [  157567.293519] 0003 0035 00000548
2022-04-02 17:20:44.132794 False [  157567.301657] 0003 0035 00000549
2022-04-02 17:20:44.140147 False [  157567.309975] 0003 0035 0000054d
2022-04-02 17:20:44.140147 False [  157567.309975] 0003 0036 00000491
2022-04-02 17:20:44.150467 False [  157567.318183] 0003 0035 00000550
2022-04-02 17:20:44.150467 False [  157567.318183] 0003 0036 0000048f
2022-04-02 17:20:44.157971 False [  157567.326729] 0003 0035 00000552
2022-04-02 17:20:44.157971 False [  157567.326729] 0003 0036 0000048e
2022-04-02 17:20:44.165249 False [  157567.335021] 0003 0035 00000554
2022-04-02 17:20:44.165249 False [  157567.335021] 0003 0036 0000048d
2022-04-02 17:20:44.174324 False [  157567.343184] 0003 0035 00000557
2022-04-02 17:20:44.180897 False [  157567.351393] 0003 0036 0000048c
2022-04-02 17:20:44.190397 False [  157567.359810] 0003 0035 0000055a
2022-04-02 17:20:44.207922 False [  157567.376550] 0003 0035 0000055b
2022-04-02 17:20:44.215261 False [  157567.384663] 0003 0035 0000055d
2022-04-02 17:20:44.215261 False [  157567.384663] 0003 0036 0000048b
2022-04-02 17:20:44.224394 False [  157567.393224] 0003 0035 0000055e
2022-04-02 17:20:44.224394 False [  157567.393224] 0003 0036 0000048c
2022-04-02 17:20:44.231716 False [  157567.401258] 0003 0035 0000055f
2022-04-02 17:20:44.240919 False [  157567.409746] 0003 0035 00000560
2022-04-02 17:20:44.249536 False [  157567.417936] 0003 0035 00000561
2022-04-02 17:20:44.259133 False [  157567.426317] 0003 0035 00000562
2022-04-02 17:20:44.259133 False [  157567.426317] 0003 0036 0000048d
2022-04-02 17:20:44.274695 False [  157567.442900] 0003 0035 00000563
2022-04-02 17:20:44.291711 False [  157567.459456] 0003 0035 00000564
2022-04-02 17:20:44.317739 False [  157567.484337] 0003 0035 00000565
2022-04-02 17:20:44.350730 False [  157567.517645] 0003 0035 00000566
2022-04-02 17:20:44.415788 False [  157567.584142] 0003 0035 00000565
2022-04-02 17:20:44.421796 False [  157567.592614] 0003 0035 00000564
2022-04-02 17:20:44.440621 False [  157567.609529] 0003 0035 00000563
2022-04-02 17:20:44.447099 False [  157567.617411] 0003 0035 00000561
2022-04-02 17:20:44.447099 False [  157567.617411] 0003 0036 0000048e
2022-04-02 17:20:44.457114 False [  157567.625759] 0003 0035 0000055f
2022-04-02 17:20:44.463412 False [  157567.633942] 0003 0035 0000055e
2022-04-02 17:20:44.463412 False [  157567.633942] 0003 0036 0000048f
2022-04-02 17:20:44.474261 False [  157567.642502] 0003 0035 0000055c
2022-04-02 17:20:44.483208 False [  157567.650556] 0003 0035 0000055b
2022-04-02 17:20:44.489517 False [  157567.659098] 0003 0036 00000490
2022-04-02 17:20:44.497239 False [  157567.667189] 0003 0035 0000055a
2022-04-02 17:20:44.504321 False [  157567.675606] 0003 0035 00000559
2022-04-02 17:20:44.504321 False [  157567.675606] 0003 0036 00000491
2022-04-02 17:20:44.524267 False [  157567.692371] 0003 0035 00000558
2022-04-02 17:20:44.524267 False [  157567.692371] 0003 0036 00000492
2022-04-02 17:20:44.531864 False [  157567.700422] 0003 0036 00000493
2022-04-02 17:20:44.549041 False [  157567.717138] 0003 0036 00000494
2022-04-02 17:20:44.556834 False [  157567.725455] 0003 0035 00000557
2022-04-02 17:20:44.556834 False [  157567.725455] 0003 0036 00000495
2022-04-02 17:20:44.573838 False [  157567.742128] 0003 0036 00000496
2022-04-02 17:20:44.580624 False [  157567.750268] 0003 0036 00000497
2022-04-02 17:20:44.597270 False [  157567.766855] 0003 0036 00000498
2022-04-02 17:20:44.641480 False [  157567.808560] 0003 0036 00000497
2022-04-02 17:20:44.672658 False [  157567.841933] 0003 0035 00000556
2022-04-02 17:20:44.698701 False [  157567.866884] 0003 0035 00000555
2022-04-02 17:20:44.714018 False [  157567.883198] 0003 0035 00000554
2022-04-02 17:20:44.742310 False [  157567.908255] 0003 0035 00000553
2022-04-02 17:20:44.750097 False [  157567.916672] 0003 0035 00000551
2022-04-02 17:20:44.758600 False [  157567.924988] 0003 0035 00000550
2022-04-02 17:20:44.772457 False [  157567.941640] 0003 0035 0000054e
2022-04-02 17:20:44.783612 False [  157567.949696] 0003 0035 0000054d
2022-04-02 17:20:44.783612 False [  157567.949696] 0003 0036 00000496
2022-04-02 17:20:44.789374 False [  157567.958210] 0003 0035 0000054b
2022-04-02 17:20:44.796868 False [  157567.966298] 0003 0035 00000549
2022-04-02 17:20:44.797867 False [  157567.966298] 0003 0036 00000495
2022-04-02 17:20:44.804423 False [  157567.974762] 0003 0035 00000548
2022-04-02 17:20:44.821720 False [  157567.991397] 0003 0035 00000546
2022-04-02 17:20:44.821720 False [  157567.991397] 0003 0036 00000494
2022-04-02 17:20:44.830502 False [  157567.999537] 0003 0035 00000542
2022-04-02 17:20:44.830502 False [  157567.999537] 0003 0036 00000492
2022-04-02 17:20:44.838993 False [  157568.008077] 0003 0035 0000053e
2022-04-02 17:20:44.838993 False [  157568.008077] 0003 0036 0000048f
2022-04-02 17:20:44.848101 False [  157568.016189] 0003 0035 0000053a
2022-04-02 17:20:44.848101 False [  157568.016189] 0003 0036 0000048e
2022-04-02 17:20:44.855475 True [  157568.024678] 0003 0035 00000536
2022-04-02 17:20:44.855475 True [  157568.024678] 0003 0036 0000048c
2022-04-02 17:20:44.861738 True [  157568.032794] 0003 0035 00000534
2022-04-02 17:20:44.861738 True [  157568.032794] 0003 0036 0000048b
2022-04-02 17:20:44.871717 True [  157568.041204] 0003 0035 00000531
2022-04-02 17:20:44.871717 True [  157568.041204] 0003 0036 00000489
2022-04-02 17:20:44.878584 True [  157568.049426] 0003 0035 0000052f
2022-04-02 17:20:44.878584 True [  157568.049426] 0003 0036 00000488
2022-04-02 17:20:44.888108 True [  157568.057821] 0003 0035 0000052d
2022-04-02 17:20:44.888108 True [  157568.057821] 0003 0036 00000487
2022-04-02 17:20:44.897203 True [  157568.066040] 0003 0035 0000052a
2022-04-02 17:20:44.897203 True [  157568.066040] 0003 0036 00000486
2022-04-02 17:20:44.905221 True [  157568.074421] 0003 0035 00000528
2022-04-02 17:20:44.911549 True [  157568.082604] 0003 0035 00000526
