Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:48.584483 True [  158591.688278] 0003 0036 000004ce
2022-04-02 17:37:48.584483 True [  158591.696427] 0003 0035 000004f6
2022-04-02 17:37:48.584483 True [  158591.696427] 0003 0036 000004d0
2022-04-02 17:37:48.584483 True [  158591.705065] 0003 0035 000004f5
2022-04-02 17:37:48.584483 True [  158591.705065] 0003 0036 000004d3
2022-04-02 17:37:48.584483 True [  158591.713086] 0003 0035 000004f2
2022-04-02 17:37:48.584483 True [  158591.713086] 0003 0036 000004da
2022-04-02 17:37:48.603509 True [  158591.721981] 0003 0035 000004f0
2022-04-02 17:37:48.603509 True [  158591.721981] 0003 0036 000004e1
2022-04-02 17:37:48.603509 True [  158591.729623] 0003 0035 000004ed
2022-04-02 17:37:48.603509 True [  158591.729623] 0003 0036 000004e6
2022-04-02 17:37:48.603509 True [  158591.738117] 0003 0035 000004ec
2022-04-02 17:37:48.603509 True [  158591.738117] 0003 0036 000004ec
2022-04-02 17:37:48.610753 True [  158591.746539] 0003 0035 000004ea
2022-04-02 17:37:48.610753 True [  158591.746539] 0003 0036 000004f0
2022-04-02 17:37:48.610753 True [  158591.754665] 0003 0035 000004e9
2022-04-02 17:37:48.610753 True [  158591.754665] 0003 0036 000004f5
2022-04-02 17:37:48.610753 True [  158591.762973] 0003 0035 000004e8
2022-04-02 17:37:48.610753 True [  158591.762973] 0003 0036 000004f9
2022-04-02 17:37:48.625709 True [  158591.771660] 0003 0035 000004e7
2022-04-02 17:37:48.625709 True [  158591.771660] 0003 0036 000004fb
2022-04-02 17:37:48.632886 True [  158591.779912] 0003 0036 000004fd
2022-04-02 17:37:48.644267 True [  158591.788217] 0003 0035 000004e6
2022-04-02 17:37:48.644267 True [  158591.788217] 0003 0036 000004ff
