Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:58.474511 False [   17627.807035] 0003 0036 00000520
2022-04-07 18:34:58.482558 False [   17627.815796] 0003 0035 00000523
2022-04-07 18:34:58.482558 False [   17627.815796] 0003 0036 0000052e
2022-04-07 18:34:58.489316 False [   17627.823578] 0003 0036 0000053c
2022-04-07 18:34:58.498731 False [   17627.832306] 0003 0035 00000524
2022-04-07 18:34:58.498731 False [   17627.832306] 0003 0036 00000549
2022-04-07 18:34:58.506956 False [   17627.840170] 0003 0035 00000525
2022-04-07 18:34:58.506956 False [   17627.840170] 0003 0036 00000559
2022-04-07 18:34:58.516410 False [   17627.848810] 0003 0036 00000569
2022-04-07 18:34:58.525878 False [   17627.857848] 0003 0036 00000577
2022-04-07 18:34:58.531867 False [   17627.865303] 0003 0036 00000588
2022-04-07 18:34:58.538781 False [   17627.873569] 0003 0036 00000597
2022-04-07 18:34:58.549589 False [   17627.881765] 0003 0036 000005a7
2022-04-07 18:34:58.557331 False [   17627.889856] 0003 0035 00000526
2022-04-07 18:34:58.557331 False [   17627.889856] 0003 0036 000005b5
2022-04-07 18:34:58.567112 False [   17627.898291] 0003 0035 00000527
2022-04-07 18:34:58.567112 False [   17627.898291] 0003 0036 000005c5
2022-04-07 18:34:58.572613 False [   17627.906900] 0003 0035 00000528
2022-04-07 18:34:58.572613 False [   17627.906900] 0003 0036 000005d5
2022-04-07 18:34:58.581131 False [   17627.915474] 0003 0035 00000529
2022-04-07 18:34:58.581131 False [   17627.915474] 0003 0036 000005e5
2022-04-07 18:34:58.590121 False [   17627.923302] 0003 0035 0000052a
2022-04-07 18:34:58.590121 False [   17627.923302] 0003 0036 000005f5
2022-04-07 18:34:58.600205 False [   17627.932277] 0003 0035 0000052b
2022-04-07 18:34:58.600205 False [   17627.932277] 0003 0036 00000605
2022-04-07 18:34:58.607065 False [   17627.939711] 0003 0035 0000052d
2022-04-07 18:34:58.607065 False [   17627.939711] 0003 0036 00000615
2022-04-07 18:34:58.616670 False [   17627.948996] 0003 0035 0000052e
2022-04-07 18:34:58.616670 False [   17627.948996] 0003 0036 00000627
2022-04-07 18:34:58.624530 False [   17627.956748] 0003 0035 0000052f
2022-04-07 18:34:58.624530 False [   17627.956748] 0003 0036 00000637
2022-04-07 18:34:58.632441 False [   17627.965006] 0003 0035 00000530
2022-04-07 18:34:58.632441 False [   17627.965006] 0003 0036 00000646
2022-04-07 18:34:58.640950 False [   17627.973003] 0003 0035 00000531
2022-04-07 18:34:58.640950 False [   17627.973003] 0003 0036 00000655
2022-04-07 18:34:58.650020 False [   17627.982462] 0003 0035 00000532
2022-04-07 18:34:58.650020 False [   17627.982462] 0003 0036 00000665
2022-04-07 18:34:58.659136 False [   17627.990971] 0003 0035 00000533
2022-04-07 18:34:58.659136 False [   17627.990971] 0003 0036 00000673
2022-04-07 18:34:58.665860 False [   17627.998041] 0003 0035 00000534
2022-04-07 18:34:58.665860 False [   17627.998041] 0003 0036 00000681
2022-04-07 18:34:58.673459 False [   17628.006370] 0003 0036 00000693
2022-04-07 18:34:58.682422 False [   17628.015105] 0003 0036 000006a3
2022-04-07 18:34:58.689147 False [   17628.022901] 0003 0035 00000535
2022-04-07 18:34:58.689147 False [   17628.022901] 0003 0036 000006b2
2022-04-07 18:34:58.697613 False [   17628.031728] 0003 0035 00000536
2022-04-07 18:34:58.697613 False [   17628.031728] 0003 0036 000006bf
2022-04-07 18:34:58.706961 False [   17628.040161] 0003 0035 00000537
2022-04-07 18:34:58.706961 False [   17628.040161] 0003 0036 000006ce
2022-04-07 18:34:58.713356 False [   17628.047896] 0003 0036 000006dd
2022-04-07 18:34:58.722507 False [   17628.056384] 0003 0036 000006eb
2022-04-07 18:34:58.731863 False [   17628.064587] 0003 0035 00000538
2022-04-07 18:34:58.731863 False [   17628.064587] 0003 0036 000006fa
2022-04-07 18:34:58.739408 False [   17628.073539] 0003 0036 00000708
2022-04-07 18:34:58.747356 False [   17628.081341] 0003 0036 00000716
2022-04-07 18:34:58.757028 False [   17628.090573] 0003 0036 00000724
2022-04-07 18:34:58.766291 False [   17628.097824] 0003 0036 00000731
2022-04-07 18:34:58.773361 False [   17628.106027] 0003 0036 0000073e
2022-04-07 18:34:58.785048 False [   17628.114425] 0003 0036 0000074c
2022-04-07 18:34:58.790130 False [   17628.122663] 0003 0036 00000759
2022-04-07 18:34:58.798722 False [   17628.131036] 0003 0036 00000767
2022-04-07 18:34:58.806510 False [   17628.139289] 0003 0035 00000537
2022-04-07 18:34:58.807509 False [   17628.139289] 0003 0036 00000775
2022-04-07 18:34:58.815435 False [   17628.147652] 0003 0036 00000784
2022-04-07 18:34:58.822465 False [   17628.155886] 0003 0036 00000791
2022-04-07 18:34:58.832024 False [   17628.164287] 0003 0035 00000536
2022-04-07 18:34:58.832024 False [   17628.164287] 0003 0036 0000079d
2022-04-07 18:34:58.840352 False [   17628.172527] 0003 0035 00000535
2022-04-07 18:34:58.840352 False [   17628.172527] 0003 0036 000007a9
2022-04-07 18:34:58.848075 False [   17628.180837] 0003 0036 000007b5
2022-04-07 18:34:58.857113 False [   17628.189072] 0003 0035 00000534
2022-04-07 18:34:58.857113 False [   17628.189072] 0003 0036 000007c1
2022-04-07 18:34:58.864253 False [   17628.197622] 0003 0036 000007cd
2022-04-07 18:34:58.871937 False [   17628.205691] 0003 0035 00000533
2022-04-07 18:34:58.875399 False [   17628.205691] 0003 0036 000007d8
2022-04-07 18:34:58.882405 False [   17628.214161] 0003 0036 000007e2
2022-04-07 18:34:58.888480 False [   17628.222315] 0003 0035 00000532
2022-04-07 18:34:58.890467 False [   17628.222315] 0003 0036 000007ed
2022-04-07 18:34:58.898276 False [   17628.230742] 0003 0036 000007f7
2022-04-07 18:34:58.905253 False [   17628.238980] 0003 0035 00000531
2022-04-07 18:34:58.907122 False [   17628.238980] 0003 0036 00000801
2022-04-07 18:34:58.915596 False [   17628.247315] 0003 0035 00000530
2022-04-07 18:34:58.915596 False [   17628.247315] 0003 0036 0000080b
2022-04-07 18:34:58.922904 False [   17628.255532] 0003 0036 00000815
2022-04-07 18:34:58.932208 False [   17628.263968] 0003 0036 0000081e
2022-04-07 18:34:58.940141 False [   17628.272254] 0003 0035 0000052f
2022-04-07 18:34:58.940141 False [   17628.272254] 0003 0036 00000827
2022-04-07 18:34:58.948157 False [   17628.280680] 0003 0035 0000052e
2022-04-07 18:34:58.948157 False [   17628.280680] 0003 0036 00000830
2022-04-07 18:34:58.955774 False [   17628.288772] 0003 0036 00000838
2022-04-07 18:34:58.964899 False [   17628.297189] 0003 0035 0000052d
2022-04-07 18:34:58.964899 False [   17628.297189] 0003 0036 0000083f
2022-04-07 18:34:58.972073 False [   17628.305372] 0003 0036 00000847
2022-04-07 18:34:58.980482 False [   17628.313834] 0003 0036 0000084e
2022-04-07 18:34:58.990081 False [   17628.322133] 0003 0035 0000052c
2022-04-07 18:34:58.990081 False [   17628.322133] 0003 0036 00000854
2022-04-07 18:34:58.998085 False [   17628.330405] 0003 0036 0000085a
2022-04-07 18:34:59.005982 False [   17628.338661] 0003 0035 0000052b
2022-04-07 18:34:59.005982 False [   17628.338661] 0003 0036 00000861
2022-04-07 18:34:59.014075 False [   17628.347066] 0003 0035 0000052a
2022-04-07 18:34:59.014075 False [   17628.347066] 0003 0036 00000866
2022-04-07 18:34:59.022837 False [   17628.355226] 0003 0036 0000086b
2022-04-07 18:34:59.030974 False [   17628.363652] 0003 0035 00000529
2022-04-07 18:34:59.030974 False [   17628.363652] 0003 0036 00000870
2022-04-07 18:34:59.038588 False [   17628.371882] 0003 0036 00000874
2022-04-07 18:34:59.055625 False [   17628.388542] 0003 0036 00000876
2022-04-07 18:34:59.063490 False [   17628.396959] 0003 0036 00000878
2022-04-07 18:34:59.072503 False [   17628.405110] 0003 0036 00000879
2022-04-07 18:34:59.081201 False [   17628.413675] 0003 0036 0000087b
2022-04-07 18:34:59.089273 False [   17628.421755] 0003 0036 0000087d
2022-04-07 18:34:59.097601 False [   17628.430154] 0003 0036 0000087f
2022-04-07 18:34:59.107103 False [   17628.438326] 0003 0036 00000882
2022-04-07 18:34:59.114785 False [   17628.446746] 0003 0035 0000052a
2022-04-07 18:34:59.114785 False [   17628.446746] 0003 0036 00000885
2022-04-07 18:34:59.122286 False [   17628.454997] 0003 0036 00000887
2022-04-07 18:34:59.292526 False [   17628.621068] 0003 0035 0000054a
2022-04-07 18:34:59.292526 False [   17628.621068] 0003 0036 000008fd
2022-04-07 18:34:59.322401 False [   17628.654263] 0003 0035 00000549
2022-04-07 18:34:59.330529 False [   17628.662667] 0003 0035 00000547
2022-04-07 18:34:59.330529 False [   17628.662667] 0003 0036 000008fe
2022-04-07 18:34:59.337183 False [   17628.670848] 0003 0035 00000545
2022-04-07 18:34:59.346425 False [   17628.679268] 0003 0035 00000543
2022-04-07 18:34:59.355916 False [   17628.687475] 0003 0035 00000542
2022-04-07 18:34:59.355916 False [   17628.687475] 0003 0036 000008ff
2022-04-07 18:34:59.363442 False [   17628.695899] 0003 0035 0000053c
2022-04-07 18:34:59.363442 False [   17628.695899] 0003 0036 00000900
2022-04-07 18:34:59.372127 False [   17628.704109] 0003 0035 00000538
2022-04-07 18:34:59.372127 False [   17628.704109] 0003 0036 00000901
2022-04-07 18:34:59.380557 False [   17628.712668] 0003 0035 0000052f
2022-04-07 18:34:59.380557 False [   17628.712668] 0003 0036 00000902
2022-04-07 18:34:59.388148 False [   17628.720825] 0003 0035 00000529
2022-04-07 18:34:59.395428 False [   17628.729126] 0003 0035 0000051b
2022-04-07 18:34:59.404007 False [   17628.737339] 0003 0035 00000513
2022-04-07 18:34:59.405653 False [   17628.737339] 0003 0036 00000903
2022-04-07 18:34:59.414431 False [   17628.745845] 0003 0035 00000501
2022-04-07 18:34:59.414431 False [   17628.745845] 0003 0036 00000904
2022-04-07 18:34:59.421567 False [   17628.753965] 0003 0035 000004f6
2022-04-07 18:34:59.430910 False [   17628.762363] 0003 0035 000004e3
2022-04-07 18:34:59.430910 False [   17628.762363] 0003 0036 00000905
2022-04-07 18:34:59.440784 False [   17628.770688] 0003 0035 000004d8
2022-04-07 18:34:59.455061 False [   17628.779095] 0003 0035 000004c5
2022-04-07 18:34:59.456907 False [   17628.779095] 0003 0036 00000907
2022-04-07 18:34:59.456907 False [   17628.787262] 0003 0035 000004ba
2022-04-07 18:34:59.456907 False [   17628.787262] 0003 0036 00000908
