Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:37.085594 False [   17846.416593] 0003 0035 00000565
2022-04-07 18:38:37.085594 False [   17846.416593] 0003 0036 00000594
2022-04-07 18:38:37.094933 False [   17846.424934] 0003 0035 00000563
2022-04-07 18:38:37.094933 False [   17846.424934] 0003 0036 000005a0
2022-04-07 18:38:37.102311 False [   17846.433154] 0003 0035 00000562
2022-04-07 18:38:37.102311 False [   17846.433154] 0003 0036 000005ab
2022-04-07 18:38:37.111194 False [   17846.441623] 0003 0035 00000560
2022-04-07 18:38:37.111194 False [   17846.441623] 0003 0036 000005b5
2022-04-07 18:38:37.119772 False [   17846.449772] 0003 0035 0000055f
2022-04-07 18:38:37.119772 False [   17846.449772] 0003 0036 000005c1
2022-04-07 18:38:37.127264 False [   17846.458237] 0003 0035 0000055e
2022-04-07 18:38:37.127264 False [   17846.458237] 0003 0036 000005cb
2022-04-07 18:38:37.136528 False [   17846.466408] 0003 0035 0000055d
2022-04-07 18:38:37.136528 False [   17846.466408] 0003 0036 000005d6
2022-04-07 18:38:37.144108 False [   17846.474872] 0003 0035 0000055b
2022-04-07 18:38:37.144108 False [   17846.474872] 0003 0036 000005e1
2022-04-07 18:38:37.153408 False [   17846.483099] 0003 0036 000005eb
2022-04-07 18:38:37.161505 False [   17846.491479] 0003 0035 0000055a
2022-04-07 18:38:37.161505 False [   17846.491479] 0003 0036 000005f7
2022-04-07 18:38:37.170304 False [   17846.499671] 0003 0035 00000559
2022-04-07 18:38:37.170304 False [   17846.499671] 0003 0036 00000603
2022-04-07 18:38:37.179306 False [   17846.508075] 0003 0035 00000558
2022-04-07 18:38:37.179306 False [   17846.508075] 0003 0036 0000060e
2022-04-07 18:38:37.187319 False [   17846.516260] 0003 0035 00000557
2022-04-07 18:38:37.187319 False [   17846.516260] 0003 0036 00000618
2022-04-07 18:38:37.195032 False [   17846.524706] 0003 0036 00000623
2022-04-07 18:38:37.202295 False [   17846.532859] 0003 0035 00000556
2022-04-07 18:38:37.202295 False [   17846.532859] 0003 0036 00000630
2022-04-07 18:38:37.211446 False [   17846.541279] 0003 0035 00000554
2022-04-07 18:38:37.211446 False [   17846.541279] 0003 0036 0000063d
2022-04-07 18:38:37.218323 False [   17846.549472] 0003 0036 00000648
2022-04-07 18:38:37.228032 False [   17846.557957] 0003 0036 00000653
2022-04-07 18:38:37.236490 False [   17846.566082] 0003 0035 00000552
2022-04-07 18:38:37.236490 False [   17846.566082] 0003 0036 0000065e
2022-04-07 18:38:37.244329 False [   17846.574576] 0003 0035 00000550
2022-04-07 18:38:37.244329 False [   17846.574576] 0003 0036 0000066a
2022-04-07 18:38:37.252301 False [   17846.582725] 0003 0036 00000674
2022-04-07 18:38:37.260272 False [   17846.591171] 0003 0035 0000054f
2022-04-07 18:38:37.260272 False [   17846.591171] 0003 0036 0000067e
2022-04-07 18:38:37.270705 False [   17846.599380] 0003 0036 00000688
2022-04-07 18:38:37.279545 False [   17846.607881] 0003 0035 0000054d
2022-04-07 18:38:37.279545 False [   17846.607881] 0003 0036 00000694
2022-04-07 18:38:37.285889 False [   17846.615994] 0003 0036 0000069e
2022-04-07 18:38:37.295041 False [   17846.624525] 0003 0035 0000054c
2022-04-07 18:38:37.295041 False [   17846.624525] 0003 0036 000006a8
2022-04-07 18:38:37.304039 False [   17846.632618] 0003 0035 0000054b
2022-04-07 18:38:37.304039 False [   17846.632618] 0003 0036 000006b1
2022-04-07 18:38:37.313282 False [   17846.641156] 0003 0035 0000054a
