Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.083491420835297 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:47:17.258588 False [   35354.281697] 0003 0036 000002f0
2022-03-16 19:47:17.267278 False [   35354.290838] 0003 0035 00000394
2022-03-16 19:47:17.267278 False [   35354.290838] 0003 0036 000002db
2022-03-16 19:47:17.277654 False [   35354.298341] 0003 0036 000002c3
2022-03-16 19:47:17.284765 False [   35354.306738] 0003 0035 00000395
2022-03-16 19:47:17.284765 False [   35354.306738] 0003 0036 000002ad
2022-03-16 19:47:17.292683 False [   35354.315010] 0003 0036 00000299
2022-03-16 19:47:17.301070 False [   35354.323367] 0003 0036 00000287
2022-03-16 19:47:17.309547 False [   35354.331576] 0003 0036 0000027b
2022-03-16 19:47:17.317882 False [   35354.341390] 0003 0035 00000393
2022-03-16 19:47:17.317882 False [   35354.341390] 0003 0036 00000265
2022-03-16 19:47:17.326843 False [   35354.348261] 0003 0035 00000392
2022-03-16 19:47:17.326843 False [   35354.348261] 0003 0036 00000251
2022-03-16 19:47:17.332832 False [   35354.356622] 0003 0036 00000245
2022-03-16 19:47:17.343268 False [   35354.364777] 0003 0035 00000391
2022-03-16 19:47:17.344261 False [   35354.364777] 0003 0036 00000235
2022-03-16 19:47:17.350388 False [   35354.373250] 0003 0035 00000390
2022-03-16 19:47:17.350388 False [   35354.373250] 0003 0036 0000022a
2022-03-16 19:47:17.359214 False [   35354.381474] 0003 0035 0000038f
2022-03-16 19:47:17.359214 False [   35354.381474] 0003 0036 00000218
2022-03-16 19:47:17.367018 False [   35354.389884] 0003 0035 0000038e
2022-03-16 19:47:17.367018 False [   35354.389884] 0003 0036 0000020d
2022-03-16 19:47:17.374345 False [   35354.398042] 0003 0036 000001ff
2022-03-16 19:47:17.382966 False [   35354.406458] 0003 0035 0000038d
2022-03-16 19:47:17.382966 False [   35354.406458] 0003 0036 000001f6
2022-03-16 19:47:17.394098 False [   35354.414626] 0003 0036 000001e8
2022-03-16 19:47:17.400039 False [   35354.423107] 0003 0036 000001de
2022-03-16 19:47:17.406656 False [   35354.431423] 0003 0036 000001d3
2022-03-16 19:47:17.416577 False [   35354.439686] 0003 0036 000001cb
2022-03-16 19:47:17.425290 False [   35354.447909] 0003 0036 000001be
2022-03-16 19:47:17.431598 False [   35354.456563] 0003 0036 000001b4
2022-03-16 19:47:17.441235 False [   35354.464532] 0003 0036 000001a8
