Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.797586936569851 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:17:12.644094 False [   18809.731334] 0003 0036 000002bf
2022-03-16 15:17:12.661691 False [   18809.749435] 0003 0035 0000001a
2022-03-16 15:17:12.661691 False [   18809.749435] 0003 0036 000002bf
2022-03-16 15:17:12.679436 False [   18809.766320] 0003 0035 0000001a
2022-03-16 15:17:12.679436 False [   18809.766320] 0003 0036 000002bf
2022-03-16 15:17:12.695466 False [   18809.782655] 0003 0035 0000001a
2022-03-16 15:17:12.695466 False [   18809.782655] 0003 0036 000002bf
2022-03-16 15:17:12.712024 False [   18809.799044] 0003 0035 0000001a
2022-03-16 15:17:12.712024 False [   18809.799044] 0003 0036 000002bf
2022-03-16 15:17:12.728400 False [   18809.815682] 0003 0035 0000001a
2022-03-16 15:17:12.728400 False [   18809.815682] 0003 0036 000002bf
2022-03-16 15:17:12.747576 False [   18809.833388] 0003 0035 0000001a
2022-03-16 15:17:12.747576 False [   18809.833388] 0003 0036 000002bf
2022-03-16 15:17:12.763182 False [   18809.850153] 0003 0035 0000001a
2022-03-16 15:17:12.763182 False [   18809.850153] 0003 0036 000002bf
2022-03-16 15:17:12.779356 False [   18809.866649] 0003 0035 0000001a
2022-03-16 15:17:12.779356 False [   18809.866649] 0003 0036 000002bf
2022-03-16 15:17:12.796137 False [   18809.882929] 0003 0035 0000001a
2022-03-16 15:17:12.796137 False [   18809.882929] 0003 0036 000002bf
2022-03-16 15:17:12.815833 False [   18809.900868] 0003 0035 0000001a
2022-03-16 15:17:12.815833 False [   18809.900868] 0003 0036 000002bf
2022-03-16 15:17:12.832768 False [   18809.918215] 0003 0035 0000001a
2022-03-16 15:17:12.832768 False [   18809.918215] 0003 0036 000002bf
2022-03-16 15:17:12.851367 False [   18809.934878] 0003 0035 0000001a
2022-03-16 15:17:12.851367 False [   18809.934878] 0003 0036 000002bf
2022-03-16 15:17:12.863924 False [   18809.951773] 0003 0035 0000001a
2022-03-16 15:17:12.863924 False [   18809.951773] 0003 0036 000002bf
2022-03-16 15:17:12.882305 False [   18809.969515] 0003 0035 0000001a
2022-03-16 15:17:12.882305 False [   18809.969515] 0003 0036 000002bf
2022-03-16 15:17:12.899237 False [   18809.986418] 0003 0035 0000001a
2022-03-16 15:17:12.899237 False [   18809.986418] 0003 0036 000002bf
2022-03-16 15:17:12.916190 False [   18810.003391] 0003 0035 0000001a
2022-03-16 15:17:12.916190 False [   18810.003391] 0003 0036 000002bf
2022-03-16 15:17:12.932344 False [   18810.019658] 0003 0035 0000001a
2022-03-16 15:17:12.932344 False [   18810.019658] 0003 0036 000002bf
2022-03-16 15:17:12.949849 False [   18810.037423] 0003 0035 0000001a
2022-03-16 15:17:12.949849 False [   18810.037423] 0003 0036 000002bf
2022-03-16 15:17:12.969265 False [   18810.054369] 0003 0035 0000001a
2022-03-16 15:17:12.969265 False [   18810.054369] 0003 0036 000002bf
2022-03-16 15:17:12.982819 False [   18810.070974] 0003 0035 0000001a
2022-03-16 15:17:12.983835 False [   18810.070974] 0003 0036 000002bf
2022-03-16 15:17:13.002055 False [   18810.087505] 0003 0035 0000001a
2022-03-16 15:17:13.002055 False [   18810.087505] 0003 0036 000002bf
2022-03-16 15:17:13.016961 False [   18810.103602] 0003 0035 0000001a
2022-03-16 15:17:13.016961 False [   18810.103602] 0003 0036 000002bf
2022-03-16 15:17:13.034040 False [   18810.121186] 0003 0035 0000001a
2022-03-16 15:17:13.034040 False [   18810.121186] 0003 0036 000002bf
2022-03-16 15:17:13.053878 False [   18810.138513] 0003 0035 0000001a
2022-03-16 15:17:13.053878 False [   18810.138513] 0003 0036 000002bf
2022-03-16 15:17:13.071534 False [   18810.155185] 0003 0035 0000001a
2022-03-16 15:17:13.071534 False [   18810.155185] 0003 0036 000002bf
2022-03-16 15:17:13.084880 False [   18810.171931] 0003 0035 0000001a
2022-03-16 15:17:13.084880 False [   18810.171931] 0003 0036 000002bf
2022-03-16 15:17:13.101221 False [   18810.189113] 0003 0035 00000024
2022-03-16 15:17:13.101221 False [   18810.189113] 0003 0036 000002bf
2022-03-16 15:17:13.121168 False [   18810.205354] 0003 0035 00000033
2022-03-16 15:17:13.121168 False [   18810.205354] 0003 0036 000002bf
2022-03-16 15:17:13.136444 False [   18810.222782] 0003 0035 00000044
2022-03-16 15:17:13.136444 False [   18810.222782] 0003 0036 000002bf
2022-03-16 15:17:13.154078 False [   18810.239532] 0003 0035 00000055
2022-03-16 15:17:13.155072 False [   18810.239532] 0003 0036 000002bf
2022-03-16 15:17:13.169249 False [   18810.256590] 0003 0035 00000063
2022-03-16 15:17:13.169249 False [   18810.256590] 0003 0036 000002bf
2022-03-16 15:17:13.186095 False [   18810.273786] 0003 0035 0000006e
2022-03-16 15:17:13.186095 False [   18810.273786] 0003 0036 000002bf
2022-03-16 15:17:13.203060 False [   18810.290059] 0003 0035 00000076
2022-03-16 15:17:13.203060 False [   18810.290059] 0003 0036 000002bd
2022-03-16 15:17:13.220015 False [   18810.307046] 0003 0035 0000007b
2022-03-16 15:17:13.220015 False [   18810.307046] 0003 0036 000002bd
2022-03-16 15:17:13.239710 False [   18810.323927] 0003 0035 0000007f
2022-03-16 15:17:13.239710 False [   18810.323927] 0003 0036 000002bd
2022-03-16 15:17:13.254309 False [   18810.341505] 0003 0035 0000007f
2022-03-16 15:17:13.254309 False [   18810.341505] 0003 0036 000002bd
2022-03-16 15:17:13.272884 False [   18810.358186] 0003 0035 0000007f
2022-03-16 15:17:13.272884 False [   18810.358186] 0003 0036 000002bd
2022-03-16 15:17:13.288773 False [   18810.375828] 0003 0035 0000007f
2022-03-16 15:17:13.288773 False [   18810.375828] 0003 0036 000002bd
2022-03-16 15:17:13.305339 False [   18810.391709] 0003 0035 0000007f
2022-03-16 15:17:13.305339 False [   18810.391709] 0003 0036 000002bd
2022-03-16 15:17:13.320285 False [   18810.407827] 0003 0035 0000007f
