Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.012688321241467 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 18:55:27.081045 False [   18856.394367] 0003 0035 000000bc
2022-04-07 18:55:27.081045 False [   18856.394367] 0003 0036 0000065a
2022-04-07 18:55:27.089048 False [   18856.402501] 0003 0036 00000669
2022-04-07 18:55:27.098091 False [   18856.410977] 0003 0035 000000bb
2022-04-07 18:55:27.098091 False [   18856.410977] 0003 0036 00000677
2022-04-07 18:55:27.105164 False [   18856.419118] 0003 0035 000000ba
2022-04-07 18:55:27.105164 False [   18856.419118] 0003 0036 00000685
2022-04-07 18:55:27.115218 False [   18856.427569] 0003 0035 000000b9
2022-04-07 18:55:27.115218 False [   18856.427569] 0003 0036 00000693
2022-04-07 18:55:27.122817 False [   18856.435728] 0003 0036 0000069f
2022-04-07 18:55:27.129718 False [   18856.444262] 0003 0035 000000b7
2022-04-07 18:55:27.129718 False [   18856.444262] 0003 0036 000006ac
2022-04-07 18:55:27.139322 False [   18856.452359] 0003 0035 000000b6
2022-04-07 18:55:27.139322 False [   18856.452359] 0003 0036 000006b7
2022-04-07 18:55:27.148899 False [   18856.460903] 0003 0036 000006c2
2022-04-07 18:55:27.154947 False [   18856.469027] 0003 0035 000000b5
2022-04-07 18:55:27.154947 False [   18856.469027] 0003 0036 000006cd
2022-04-07 18:55:27.164740 False [   18856.477452] 0003 0035 000000b4
2022-04-07 18:55:27.164740 False [   18856.477452] 0003 0036 000006d4
2022-04-07 18:55:27.173799 False [   18856.485836] 0003 0036 000006d9
2022-04-07 18:55:27.180152 False [   18856.494082] 0003 0035 000000b3
2022-04-07 18:55:27.180152 False [   18856.494082] 0003 0036 000006e1
2022-04-07 18:55:27.190624 False [   18856.502260] 0003 0035 000000b2
2022-04-07 18:55:27.190624 False [   18856.502260] 0003 0036 000006e8
2022-04-07 18:55:27.197251 False [   18856.510674] 0003 0036 000006f0
2022-04-07 18:55:27.205875 False [   18856.518874] 0003 0036 000006f6
2022-04-07 18:55:27.215148 False [   18856.527295] 0003 0036 000006fd
2022-04-07 18:55:27.223142 False [   18856.535547] 0003 0036 00000705
2022-04-07 18:55:27.231120 False [   18856.543975] 0003 0036 0000070b
2022-04-07 18:55:27.240133 False [   18856.552126] 0003 0035 000000b3
2022-04-07 18:55:27.240133 False [   18856.552126] 0003 0036 00000712
2022-04-07 18:55:27.247075 False [   18856.560752] 0003 0036 00000718
2022-04-07 18:55:27.254214 False [   18856.568712] 0003 0035 000000b4
2022-04-07 18:55:27.254214 False [   18856.568712] 0003 0036 0000071e
2022-04-07 18:55:27.262831 False [   18856.577216] 0003 0035 000000b5
2022-04-07 18:55:27.263849 False [   18856.577216] 0003 0036 00000724
2022-04-07 18:55:27.270722 False [   18856.585329] 0003 0035 000000b6
2022-04-07 18:55:27.270722 False [   18856.585329] 0003 0036 0000072b
2022-04-07 18:55:27.280318 False [   18856.593777] 0003 0036 00000730
2022-04-07 18:55:27.288092 False [   18856.601952] 0003 0035 000000b7
2022-04-07 18:55:27.288092 False [   18856.601952] 0003 0036 00000738
2022-04-07 18:55:27.296063 False [   18856.610399] 0003 0035 000000b8
2022-04-07 18:55:27.296063 False [   18856.610399] 0003 0036 00000740
2022-04-07 18:55:27.305229 False [   18856.618543] 0003 0035 000000b9
2022-04-07 18:55:27.305229 False [   18856.618543] 0003 0036 00000746
2022-04-07 18:55:27.312614 False [   18856.627008] 0003 0035 000000ba
2022-04-07 18:55:27.312614 False [   18856.627008] 0003 0036 0000074f
2022-04-07 18:55:27.321003 False [   18856.635200] 0003 0035 000000bb
2022-04-07 18:55:27.322003 False [   18856.635200] 0003 0036 00000755
2022-04-07 18:55:27.330520 False [   18856.643658] 0003 0035 000000bc
2022-04-07 18:55:27.330520 False [   18856.643658] 0003 0036 0000075d
2022-04-07 18:55:27.337771 False [   18856.651789] 0003 0035 000000bd
2022-04-07 18:55:27.337771 False [   18856.651789] 0003 0036 00000763
2022-04-07 18:55:27.346144 False [   18856.660387] 0003 0035 000000be
2022-04-07 18:55:27.346144 False [   18856.660387] 0003 0036 0000076d
2022-04-07 18:55:27.356470 False [   18856.668584] 0003 0035 000000bf
2022-04-07 18:55:27.356470 False [   18856.668584] 0003 0036 00000774
2022-04-07 18:55:27.371571 False [   18856.676971] 0003 0035 000000c0
2022-04-07 18:55:27.371571 False [   18856.676971] 0003 0036 0000077e
2022-04-07 18:55:27.379468 False [   18856.685094] 0003 0036 00000788
2022-04-07 18:55:27.383471 False [   18856.693566] 0003 0036 00000791
2022-04-07 18:55:27.391588 False [   18856.701708] 0003 0036 00000799
2022-04-07 18:55:27.399574 False [   18856.710178] 0003 0036 000007a2
2022-04-07 18:55:27.407070 False [   18856.718277] 0003 0035 000000bf
2022-04-07 18:55:27.407070 False [   18856.718277] 0003 0036 000007ab
2022-04-07 18:55:27.415845 False [   18856.726823] 0003 0036 000007b5
2022-04-07 18:55:27.420385 False [   18856.734941] 0003 0035 000000be
2022-04-07 18:55:27.420385 False [   18856.734941] 0003 0036 000007be
2022-04-07 18:55:27.430572 False [   18856.743351] 0003 0035 000000bd
2022-04-07 18:55:27.430572 False [   18856.743351] 0003 0036 000007c8
2022-04-07 18:55:27.439963 False [   18856.751522] 0003 0036 000007d1
2022-04-07 18:55:27.445222 False [   18856.759960] 0003 0035 000000bb
2022-04-07 18:55:27.445222 False [   18856.759960] 0003 0036 000007db
2022-04-07 18:55:27.456563 False [   18856.768145] 0003 0035 000000ba
2022-04-07 18:55:27.456563 False [   18856.768145] 0003 0036 000007e4
2022-04-07 18:55:27.464087 False [   18856.776639] 0003 0035 000000b9
2022-04-07 18:55:27.464087 False [   18856.776639] 0003 0036 000007ef
2022-04-07 18:55:27.472431 False [   18856.784738] 0003 0035 000000b7
2022-04-07 18:55:27.472431 False [   18856.784738] 0003 0036 000007f8
2022-04-07 18:55:27.480988 False [   18856.793225] 0003 0035 000000b6
2022-04-07 18:55:27.480988 False [   18856.793225] 0003 0036 00000802
2022-04-07 18:55:27.488093 False [   18856.801375] 0003 0035 000000b5
2022-04-07 18:55:27.488093 False [   18856.801375] 0003 0036 0000080b
2022-04-07 18:55:27.495466 False [   18856.809799] 0003 0035 000000b2
2022-04-07 18:55:27.495466 False [   18856.809799] 0003 0036 00000815
2022-04-07 18:55:27.502245 False [   18856.818022] 0003 0035 000000b1
2022-04-07 18:55:27.502245 False [   18856.818022] 0003 0036 00000820
2022-04-07 18:55:27.514627 False [   18856.826426] 0003 0035 000000af
2022-04-07 18:55:27.514627 False [   18856.826426] 0003 0036 00000829
2022-04-07 18:55:27.520520 False [   18856.834661] 0003 0035 000000ae
2022-04-07 18:55:27.520520 False [   18856.834661] 0003 0036 00000830
2022-04-07 18:55:27.531569 False [   18856.843086] 0003 0035 000000ab
2022-04-07 18:55:27.531569 False [   18856.843086] 0003 0036 0000083a
2022-04-07 18:55:27.538346 False [   18856.851287] 0003 0035 000000aa
2022-04-07 18:55:27.538346 False [   18856.851287] 0003 0036 00000840
2022-04-07 18:55:27.547078 False [   18856.859675] 0003 0035 000000a7
2022-04-07 18:55:27.547078 False [   18856.859675] 0003 0036 00000849
2022-04-07 18:55:27.557133 False [   18856.867924] 0003 0036 0000084f
