Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1731876586609449 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 15:03:14.050649 True [    2927.579813] 0003 0035 000002d6
2022-04-06 15:03:14.050649 True [    2927.579813] 0003 0036 0000045f
2022-04-06 15:03:14.059163 True [    2927.588122] 0003 0035 000002d5
2022-04-06 15:03:14.059163 True [    2927.588122] 0003 0036 00000461
2022-04-06 15:03:14.068634 True [    2927.596920] 0003 0036 00000464
2022-04-06 15:03:14.077813 True [    2927.604368] 0003 0035 000002d4
2022-04-06 15:03:14.086312 True [    2927.612980] 0003 0035 000002d5
2022-04-06 15:03:14.086312 True [    2927.612980] 0003 0036 00000467
2022-04-06 15:03:14.093151 True [    2927.621001] 0003 0035 000002d6
2022-04-06 15:03:14.093151 True [    2927.621001] 0003 0036 00000468
2022-04-06 15:03:14.103280 True [    2927.630215] 0003 0036 0000046a
2022-04-06 15:03:14.109155 True [    2927.637603] 0003 0035 000002dc
2022-04-06 15:03:14.109155 True [    2927.637603] 0003 0036 0000046e
2022-04-06 15:03:14.118709 True [    2927.646367] 0003 0035 000002df
2022-04-06 15:03:14.118709 True [    2927.646367] 0003 0036 00000471
2022-04-06 15:03:14.127431 True [    2927.654256] 0003 0035 000002e8
2022-04-06 15:03:14.127431 True [    2927.654256] 0003 0036 00000475
2022-04-06 15:03:14.135368 True [    2927.663447] 0003 0035 000002ed
2022-04-06 15:03:14.135368 True [    2927.663447] 0003 0036 00000477
2022-04-06 15:03:14.143661 True [    2927.670842] 0003 0035 000002f6
2022-04-06 15:03:14.143661 True [    2927.670842] 0003 0036 00000479
2022-04-06 15:03:14.152132 True [    2927.679311] 0003 0035 00000301
2022-04-06 15:03:14.152132 True [    2927.679311] 0003 0036 0000047c
2022-04-06 15:03:14.161121 True [    2927.687493] 0003 0035 00000309
2022-04-06 15:03:14.161121 True [    2927.687493] 0003 0036 0000047e
2022-04-06 15:03:14.167213 True [    2927.695926] 0003 0035 00000318
2022-04-06 15:03:14.167213 True [    2927.695926] 0003 0036 00000483
2022-04-06 15:03:14.174487 True [    2927.704366] 0003 0035 00000320
2022-04-06 15:03:14.174487 True [    2927.704366] 0003 0036 00000486
2022-04-06 15:03:14.185458 True [    2927.713252] 0003 0035 00000329
2022-04-06 15:03:14.185458 True [    2927.713252] 0003 0036 0000048a
2022-04-06 15:03:14.192776 True [    2927.720957] 0003 0035 0000032f
2022-04-06 15:03:14.192776 True [    2927.720957] 0003 0036 0000048b
2022-04-06 15:03:14.202181 True [    2927.729139] 0003 0035 0000033c
2022-04-06 15:03:14.202181 True [    2927.729139] 0003 0036 00000493
2022-04-06 15:03:14.208556 True [    2927.737304] 0003 0035 00000349
2022-04-06 15:03:14.208556 True [    2927.737304] 0003 0036 00000499
