Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.4163548765100455 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:43:39.580319 True [   18148.903778] 0003 0035 000004d9
2022-04-07 18:43:39.580319 True [   18148.903778] 0003 0036 000004c9
2022-04-07 18:43:39.589798 True [   18148.912136] 0003 0035 000004d7
2022-04-07 18:43:39.589798 True [   18148.912136] 0003 0036 000004d8
2022-04-07 18:43:39.596801 True [   18148.920385] 0003 0035 000004d6
2022-04-07 18:43:39.596801 True [   18148.920385] 0003 0036 000004e1
2022-04-07 18:43:39.604556 True [   18148.928893] 0003 0035 000004d4
2022-04-07 18:43:39.604556 True [   18148.928893] 0003 0036 000004f5
2022-04-07 18:43:39.614271 True [   18148.936990] 0003 0035 000004d3
2022-04-07 18:43:39.614271 True [   18148.936990] 0003 0036 00000500
2022-04-07 18:43:39.620791 True [   18148.945447] 0003 0035 000004d1
2022-04-07 18:43:39.620791 True [   18148.945447] 0003 0036 00000510
2022-04-07 18:43:39.630089 True [   18148.953594] 0003 0035 000004d0
2022-04-07 18:43:39.630089 True [   18148.953594] 0003 0036 0000051a
2022-04-07 18:43:39.638138 True [   18148.962069] 0003 0035 000004cd
2022-04-07 18:43:39.638138 True [   18148.962069] 0003 0036 0000052b
2022-04-07 18:43:39.645825 True [   18148.970250] 0003 0035 000004cc
2022-04-07 18:43:39.645825 True [   18148.970250] 0003 0036 00000535
2022-04-07 18:43:39.655622 True [   18148.978853] 0003 0035 000004c9
2022-04-07 18:43:39.655622 True [   18148.978853] 0003 0036 00000544
2022-04-07 18:43:39.663877 True [   18148.986958] 0003 0036 0000054c
2022-04-07 18:43:39.672623 True [   18148.995343] 0003 0035 000004c6
2022-04-07 18:43:39.672623 True [   18148.995343] 0003 0036 0000055a
2022-04-07 18:43:39.678144 True [   18149.003489] 0003 0035 000004c5
2022-04-07 18:43:39.678144 True [   18149.003489] 0003 0036 00000564
2022-04-07 18:43:39.688124 True [   18149.011872] 0003 0035 000004c4
2022-04-07 18:43:39.688124 True [   18149.011872] 0003 0036 0000056f
2022-04-07 18:43:39.694878 True [   18149.020127] 0003 0035 000004c3
2022-04-07 18:43:39.694878 True [   18149.020127] 0003 0036 00000576
2022-04-07 18:43:39.704252 True [   18149.028610] 0003 0035 000004c2
2022-04-07 18:43:39.704252 True [   18149.028610] 0003 0036 0000057c
2022-04-07 18:43:39.713113 True [   18149.036781] 0003 0035 000004c1
