Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.3362259462033432 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:06:13.363387 False [   19502.664827] 0003 0035 00000574
2022-04-07 19:06:13.363387 False [   19502.664827] 0003 0036 00000929
2022-04-07 19:06:13.388993 False [   19502.673216] 0003 0036 0000092d
2022-04-07 19:06:13.409039 False [   19502.681746] 0003 0035 00000573
2022-04-07 19:06:13.409039 False [   19502.681746] 0003 0036 00000932
2022-04-07 19:06:13.409039 False [   19502.689993] 0003 0035 00000571
2022-04-07 19:06:13.409039 False [   19502.689993] 0003 0036 00000937
2022-04-07 19:06:13.409039 False [   19502.698051] 0003 0035 00000570
2022-04-07 19:06:13.409039 False [   19502.698051] 0003 0036 0000093b
2022-04-07 19:06:13.420665 False [   19502.706551] 0003 0035 0000056f
2022-04-07 19:06:13.420665 False [   19502.706551] 0003 0036 0000093f
2022-04-07 19:06:13.420665 False [   19502.714729] 0003 0035 0000056d
2022-04-07 19:06:13.420665 False [   19502.714729] 0003 0036 00000943
2022-04-07 19:06:13.436489 False [   19502.723094] 0003 0035 0000056c
2022-04-07 19:06:13.436489 False [   19502.723094] 0003 0036 00000946
2022-04-07 19:06:13.446517 False [   19502.731296] 0003 0035 0000056a
2022-04-07 19:06:13.446517 False [   19502.731296] 0003 0036 00000949
2022-04-07 19:06:13.446517 False [   19502.739736] 0003 0035 00000569
2022-04-07 19:06:13.446517 False [   19502.739736] 0003 0036 0000094b
2022-04-07 19:06:13.452644 False [   19502.748421] 0003 0036 0000094d
2022-04-07 19:06:13.452644 False [   19502.756492] 0003 0035 00000566
2022-04-07 19:06:13.452644 False [   19502.756492] 0003 0036 0000094f
2022-04-07 19:06:13.470331 False [   19502.764625] 0003 0035 00000564
2022-04-07 19:06:13.470331 False [   19502.764625] 0003 0036 00000950
2022-04-07 19:06:13.479691 False [   19502.773015] 0003 0035 00000562
2022-04-07 19:06:13.479691 False [   19502.773015] 0003 0036 00000951
2022-04-07 19:06:13.496442 False [   19502.781287] 0003 0035 0000055f
2022-04-07 19:06:13.496442 False [   19502.789561] 0003 0035 0000055d
2022-04-07 19:06:13.496442 False [   19502.789561] 0003 0036 00000952
2022-04-07 19:06:13.512118 False [   19502.797712] 0003 0035 00000559
2022-04-07 19:06:13.512118 False [   19502.797712] 0003 0036 00000951
2022-04-07 19:06:13.512118 False [   19502.806247] 0003 0035 00000556
2022-04-07 19:06:13.512118 False [   19502.806247] 0003 0036 00000950
2022-04-07 19:06:13.518460 False [   19502.814374] 0003 0035 00000550
2022-04-07 19:06:13.518460 False [   19502.814374] 0003 0036 0000094f
2022-04-07 19:06:13.525914 False [   19502.822764] 0003 0035 0000054b
2022-04-07 19:06:13.525914 False [   19502.822764] 0003 0036 0000094d
2022-04-07 19:06:13.537534 False [   19502.831190] 0003 0035 00000542
2022-04-07 19:06:13.537534 False [   19502.831190] 0003 0036 00000948
2022-04-07 19:06:13.546546 False [   19502.839437] 0003 0035 0000053c
2022-04-07 19:06:13.546546 False [   19502.839437] 0003 0036 00000945
2022-04-07 19:06:13.554756 False [   19502.847595] 0003 0035 00000534
2022-04-07 19:06:13.554756 False [   19502.847595] 0003 0036 0000093f
2022-04-07 19:06:13.554756 False [   19502.855968] 0003 0035 0000052d
2022-04-07 19:06:13.554756 False [   19502.855968] 0003 0036 0000093b
2022-04-07 19:06:13.571012 False [   19502.864280] 0003 0035 00000525
2022-04-07 19:06:13.571012 False [   19502.864280] 0003 0036 00000935
2022-04-07 19:06:13.577487 False [   19502.873087] 0003 0035 0000051f
2022-04-07 19:06:13.577487 False [   19502.873087] 0003 0036 00000931
2022-04-07 19:06:13.577487 False [   19502.881109] 0003 0035 00000517
2022-04-07 19:06:13.577487 False [   19502.881109] 0003 0036 0000092b
2022-04-07 19:06:13.588738 False [   19502.889482] 0003 0035 00000511
2022-04-07 19:06:13.588738 False [   19502.889482] 0003 0036 00000927
2022-04-07 19:06:13.610317 False [   19502.897512] 0003 0035 00000508
2022-04-07 19:06:13.610317 False [   19502.897512] 0003 0036 0000091f
2022-04-07 19:06:13.620026 False [   19502.905912] 0003 0035 00000502
2022-04-07 19:06:13.620026 False [   19502.905912] 0003 0036 0000091b
2022-04-07 19:06:13.620026 False [   19502.914021] 0003 0035 000004f9
2022-04-07 19:06:13.620026 False [   19502.914021] 0003 0036 00000912
2022-04-07 19:06:13.629296 False [   19502.922492] 0003 0035 000004f3
2022-04-07 19:06:13.629296 False [   19502.922492] 0003 0036 0000090c
2022-04-07 19:06:13.629296 False [   19502.930725] 0003 0035 000004ec
2022-04-07 19:06:13.629296 False [   19502.930725] 0003 0036 00000904
2022-04-07 19:06:13.642027 False [   19502.939060] 0003 0035 000004e8
2022-04-07 19:06:13.642027 False [   19502.939060] 0003 0036 000008fe
2022-04-07 19:06:13.644024 False [   19502.947303] 0003 0035 000004e2
2022-04-07 19:06:13.644024 False [   19502.947303] 0003 0036 000008f5
2022-04-07 19:06:13.660982 False [   19502.955670] 0003 0035 000004de
2022-04-07 19:06:13.660982 False [   19502.955670] 0003 0036 000008f0
2022-04-07 19:06:13.670187 False [   19502.964275] 0003 0035 000004d7
2022-04-07 19:06:13.670187 False [   19502.964275] 0003 0036 000008e6
2022-04-07 19:06:13.686184 False [   19502.972551] 0003 0035 000004d3
2022-04-07 19:06:13.686184 False [   19502.972551] 0003 0036 000008df
2022-04-07 19:06:13.686184 False [   19502.980645] 0003 0035 000004cd
2022-04-07 19:06:13.686184 False [   19502.980645] 0003 0036 000008d4
2022-04-07 19:06:13.703901 False [   19502.988912] 0003 0035 000004c9
2022-04-07 19:06:13.703901 False [   19502.988912] 0003 0036 000008cd
2022-04-07 19:06:13.713488 False [   19502.997175] 0003 0035 000004c4
2022-04-07 19:06:13.713488 False [   19502.997175] 0003 0036 000008c3
2022-04-07 19:06:13.713488 False [   19503.005573] 0003 0035 000004c0
2022-04-07 19:06:13.713488 False [   19503.005573] 0003 0036 000008bb
2022-04-07 19:06:13.713488 False [   19503.013694] 0003 0035 000004bb
2022-04-07 19:06:13.713488 False [   19503.013694] 0003 0036 000008b0
2022-04-07 19:06:13.726983 False [   19503.022190] 0003 0035 000004b9
2022-04-07 19:06:13.726983 False [   19503.022190] 0003 0036 000008a9
2022-04-07 19:06:13.735689 False [   19503.030420] 0003 0035 000004b5
2022-04-07 19:06:13.735689 False [   19503.030420] 0003 0036 0000089d
2022-04-07 19:06:13.735689 False [   19503.039184] 0003 0035 000004b3
2022-04-07 19:06:13.735689 False [   19503.039184] 0003 0036 00000895
2022-04-07 19:06:13.741669 False [   19503.046971] 0003 0035 000004b0
2022-04-07 19:06:13.741669 False [   19503.046971] 0003 0036 0000088a
2022-04-07 19:06:13.760716 False [   19503.055388] 0003 0035 000004ae
2022-04-07 19:06:13.760716 False [   19503.055388] 0003 0036 00000882
2022-04-07 19:06:13.770082 False [   19503.063552] 0003 0035 000004ac
2022-04-07 19:06:13.770082 False [   19503.063552] 0003 0036 00000877
2022-04-07 19:06:13.792815 False [   19503.071956] 0003 0035 000004aa
2022-04-07 19:06:13.792815 False [   19503.071956] 0003 0036 0000086f
2022-04-07 19:06:13.792815 False [   19503.080288] 0003 0035 000004a8
2022-04-07 19:06:13.792815 False [   19503.080288] 0003 0036 00000865
2022-04-07 19:06:13.795638 False [   19503.088669] 0003 0035 000004a6
2022-04-07 19:06:13.795638 False [   19503.088669] 0003 0036 0000085e
2022-04-07 19:06:13.795638 False [   19503.096806] 0003 0035 000004a4
2022-04-07 19:06:13.795638 False [   19503.096806] 0003 0036 00000856
2022-04-07 19:06:13.817012 False [   19503.105197] 0003 0035 000004a1
2022-04-07 19:06:13.817012 False [   19503.105197] 0003 0036 00000850
