Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2546306936408325 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 18:18:36.805857 False [  161039.545747] 0003 0036 0000074f
2022-04-02 18:18:36.805857 False [  161039.568791] 0003 0035 00000303
2022-04-02 18:18:36.805857 False [  161039.598517] 0003 0035 000002fc
2022-04-02 18:18:36.805857 False [  161039.598517] 0003 0036 0000074e
2022-04-02 18:18:36.805857 False [  161039.620768] 0003 0035 0000030b
2022-04-02 18:18:36.805857 False [  161039.620768] 0003 0036 00000747
2022-04-02 18:18:36.805857 False [  161039.641077] 0003 0035 00000317
2022-04-02 18:18:36.805857 False [  161039.641077] 0003 0036 00000743
2022-04-02 18:18:36.805857 False [  161039.667264] 0003 0035 00000345
2022-04-02 18:18:36.805857 False [  161039.667264] 0003 0036 00000734
2022-04-02 18:18:36.948808 False [  161039.694422] 0003 0035 00000351
2022-04-02 18:18:36.948808 False [  161039.694422] 0003 0036 00000730
2022-04-02 18:18:36.948808 False [  161039.719822] 0003 0035 00000331
2022-04-02 18:18:36.948808 False [  161039.719822] 0003 0036 0000072f
2022-04-02 18:18:36.948808 False [  161039.744271] 0003 0035 00000300
2022-04-02 18:18:36.948808 False [  161039.774565] 0003 0035 000002e4
2022-04-02 18:18:36.948808 False [  161039.803901] 0003 0035 000002df
2022-04-02 18:18:36.948808 False [  161039.832741] 0003 0035 00000306
2022-04-02 18:18:36.948808 False [  161039.832741] 0003 0036 0000072c
2022-04-02 18:18:36.948808 False [  161039.854229] 0003 0035 00000330
2022-04-02 18:18:36.948808 False [  161039.854229] 0003 0036 00000727
2022-04-02 18:18:36.948808 False [  161039.882034] 0003 0035 0000034a
2022-04-02 18:18:36.948808 False [  161039.882034] 0003 0036 00000724
2022-04-02 18:18:36.948808 False [  161039.906588] 0003 0035 00000352
2022-04-02 18:18:36.948808 False [  161039.906588] 0003 0036 00000723
2022-04-02 18:18:36.948808 False [  161039.930392] 0003 0035 0000033b
2022-04-02 18:18:36.948808 False [  161039.930392] 0003 0036 00000726
2022-04-02 18:18:37.188232 False [  161039.959920] 0003 0035 00000319
2022-04-02 18:18:37.188232 False [  161039.959920] 0003 0036 00000729
2022-04-02 18:18:37.188232 False [  161039.988564] 0003 0035 00000303
2022-04-02 18:18:37.188232 False [  161039.988564] 0003 0036 00000726
2022-04-02 18:18:37.188232 False [  161040.015048] 0003 0035 00000306
2022-04-02 18:18:37.188232 False [  161040.015048] 0003 0036 00000722
2022-04-02 18:18:37.188232 False [  161040.031312] 0003 0035 00000310
2022-04-02 18:18:37.188232 False [  161040.031312] 0003 0036 0000071d
2022-04-02 18:18:37.188232 False [  161040.039782] 0003 0035 00000327
2022-04-02 18:18:37.188232 False [  161040.039782] 0003 0036 00000713
2022-04-02 18:18:37.188232 False [  161040.043216] 0003 0035 00000334
2022-04-02 18:18:37.188232 False [  161040.043216] 0003 0036 0000070e
2022-04-02 18:18:37.188232 False [  161040.050492] 0003 0035 0000033e
2022-04-02 18:18:37.188232 False [  161040.050492] 0003 0036 0000070b
2022-04-02 18:18:37.188232 False [  161040.060731] 0003 0035 00000347
2022-04-02 18:18:37.188232 False [  161040.060731] 0003 0036 00000707
2022-04-02 18:18:37.188232 False [  161040.074522] 0003 0035 0000034d
2022-04-02 18:18:37.188232 False [  161040.074522] 0003 0036 00000705
2022-04-02 18:18:37.269765 False [  161040.101893] 0003 0035 00000353
2022-04-02 18:18:37.269765 False [  161040.101893] 0003 0036 00000702
2022-04-02 18:18:37.269765 False [  161040.127027] 0003 0035 00000332
2022-04-02 18:18:37.269765 False [  161040.152325] 0003 0035 0000030c
2022-04-02 18:18:37.269765 False [  161040.177766] 0003 0035 000002fe
2022-04-02 18:18:37.269765 False [  161040.208918] 0003 0035 000002fc
2022-04-02 18:18:37.269765 False [  161040.208918] 0003 0036 00000703
2022-04-02 18:18:37.269765 False [  161040.227286] 0003 0035 00000309
2022-04-02 18:18:37.269765 False [  161040.227286] 0003 0036 00000702
2022-04-02 18:18:37.269765 False [  161040.243431] 0003 0035 00000320
2022-04-02 18:18:37.269765 False [  161040.243431] 0003 0036 000006ff
2022-04-02 18:18:37.269765 False [  161040.263578] 0003 0035 00000335
2022-04-02 18:18:37.270762 False [  161040.263578] 0003 0036 000006fc
2022-04-02 18:18:37.270762 False [  161040.292293] 0003 0035 00000347
2022-04-02 18:18:37.270762 False [  161040.292293] 0003 0036 000006fa
2022-04-02 18:18:37.270762 False [  161040.312281] 0003 0035 00000349
2022-04-02 18:18:37.270762 False [  161040.312281] 0003 0036 000006f9
2022-04-02 18:18:37.380568 False [  161040.333273] 0003 0035 00000327
2022-04-02 18:18:37.380568 False [  161040.333273] 0003 0036 000006fc
2022-04-02 18:18:37.380568 False [  161040.351023] 0003 0035 00000319
2022-04-02 18:18:37.380568 False [  161040.351023] 0003 0036 000006fd
2022-04-02 18:18:37.380568 False [  161040.375365] 0003 0035 00000303
2022-04-02 18:18:37.380568 False [  161040.375365] 0003 0036 000006fe
2022-04-02 18:18:37.380568 False [  161040.395816] 0003 0035 00000302
2022-04-02 18:18:37.503246 False [  161040.418707] 0003 0035 00000306
2022-04-02 18:18:37.503246 False [  161040.418707] 0003 0036 000006fb
2022-04-02 18:18:37.504220 False [  161040.442067] 0003 0035 00000320
2022-04-02 18:18:37.504220 False [  161040.442067] 0003 0036 000006f0
2022-04-02 18:18:37.504220 False [  161040.467458] 0003 0035 0000033e
2022-04-02 18:18:37.504220 False [  161040.467458] 0003 0036 000006e7
2022-04-02 18:18:37.504220 False [  161040.480197] 0003 0035 00000344
2022-04-02 18:18:37.504220 False [  161040.480197] 0003 0036 000006e5
2022-04-02 18:18:37.504220 False [  161040.482646] 0003 0035 00000348
2022-04-02 18:18:37.504220 False [  161040.482646] 0003 0036 000006e4
2022-04-02 18:18:37.504220 False [  161040.490878] 0003 0035 0000034a
2022-04-02 18:18:37.504220 False [  161040.490878] 0003 0036 000006e3
2022-04-02 18:18:37.504220 False [  161040.499577] 0003 0035 0000034c
2022-04-02 18:18:37.504220 False [  161040.499577] 0003 0036 000006e2
2022-04-02 18:18:37.602876 True [  161040.507779] 0003 0035 0000034d
2022-04-02 18:18:37.603881 False [  161040.529316] 0003 0035 00000349
2022-04-02 18:18:37.603881 False [  161040.628618] 0003 0035 0000030a
2022-04-02 18:18:37.603881 False [  161040.628618] 0003 0036 000006e7
2022-04-02 18:18:37.744201 False [  161040.643579] 0003 0035 00000313
2022-04-02 18:18:37.744201 False [  161040.643579] 0003 0036 000006e4
2022-04-02 18:18:37.744201 False [  161040.649267] 0003 0035 00000327
2022-04-02 18:18:37.744201 False [  161040.649267] 0003 0036 000006dc
2022-04-02 18:18:37.744201 False [  161040.656989] 0003 0035 00000331
2022-04-02 18:18:37.744201 True [  161040.656989] 0003 0036 000006d8
2022-04-02 18:18:37.744201 True [  161040.680706] 0003 0035 00000338
2022-04-02 18:18:37.745210 True [  161040.710102] 0003 0036 000006d0
2022-04-02 18:18:37.745210 True [  161040.725692] 0003 0035 00000342
2022-04-02 18:18:37.745210 True [  161040.725692] 0003 0036 000006d1
2022-04-02 18:18:37.913450 True [  161040.743088] 0003 0035 00000336
2022-04-02 18:18:37.913450 True [  161040.743088] 0003 0036 000006d5
2022-04-02 18:18:37.913450 False [  161040.762491] 0003 0035 0000031f
2022-04-02 18:18:37.913450 False [  161040.862455] 0003 0036 000006df
2022-04-02 18:18:37.913450 False [  161040.866030] 0003 0035 0000032d
2022-04-02 18:18:37.913450 False [  161040.866030] 0003 0036 000006da
2022-04-02 18:18:38.115860 False [  161040.872962] 0003 0035 00000333
2022-04-02 18:18:38.115860 True [  161040.872962] 0003 0036 000006d8
2022-04-02 18:18:38.115860 True [  161040.893146] 0003 0035 00000337
2022-04-02 18:18:38.115860 True [  161040.991961] 0003 0036 000006d8
2022-04-02 18:18:38.115860 False [  161041.018678] 0003 0035 000002f6
2022-04-02 18:18:38.115860 False [  161041.018678] 0003 0036 000006d5
2022-04-02 18:18:38.161511 False [  161041.040447] 0003 0036 000006d2
2022-04-02 18:18:38.161511 False [  161041.068542] 0003 0035 000002fd
2022-04-02 18:18:38.161511 False [  161041.068542] 0003 0036 000006cb
2022-04-02 18:18:38.161511 False [  161041.086157] 0003 0035 00000303
2022-04-02 18:18:38.161511 True [  161041.086157] 0003 0036 000006c8
2022-04-02 18:18:38.161511 True [  161041.110223] 0003 0035 00000311
2022-04-02 18:18:38.161511 True [  161041.160396] 0003 0036 000006bc
2022-04-02 18:18:38.161511 True [  161041.181480] 0003 0035 00000318
2022-04-02 18:18:38.161511 True [  161041.181480] 0003 0036 000006bb
2022-04-02 18:18:38.161511 True [  161041.204670] 0003 0035 00000317
2022-04-02 18:18:38.161511 True [  161041.204670] 0003 0036 000006bd
2022-04-02 18:18:38.161511 True [  161041.225862] 0003 0035 00000316
2022-04-02 18:18:38.161511 True [  161041.225862] 0003 0036 000006c1
2022-04-02 18:18:38.345791 True [  161041.247041] 0003 0035 00000318
2022-04-02 18:18:38.345791 True [  161041.247041] 0003 0036 000006c3
2022-04-02 18:18:38.345791 True [  161041.268849] 0003 0035 0000031b
2022-04-02 18:18:38.345791 True [  161041.268849] 0003 0036 000006c4
2022-04-02 18:18:38.345791 True [  161041.287497] 0003 0035 0000031f
2022-04-02 18:18:38.346781 True [  161041.287497] 0003 0036 000006c5
2022-04-02 18:18:38.354781 True [  161041.310677] 0003 0035 00000329
2022-04-02 18:18:38.354781 True [  161041.310677] 0003 0036 000006c6
2022-04-02 18:18:38.354781 True [  161041.321810] 0003 0035 0000032a
2022-04-02 18:18:38.354781 True [  161041.340527] 0003 0035 0000032e
2022-04-02 18:18:38.354781 True [  161041.364064] 0003 0035 00000331
2022-04-02 18:18:38.354781 True [  161041.364064] 0003 0036 000006c8
2022-04-02 18:18:38.354781 True [  161041.388144] 0003 0035 00000332
2022-04-02 18:18:38.354781 True [  161041.388144] 0003 0036 000006c9
2022-04-02 18:18:38.354781 True [  161041.409952] 0003 0035 00000333
2022-04-02 18:18:38.354781 True [  161041.437993] 0003 0035 00000334
2022-04-02 18:18:38.603854 True [  161041.555100] 0003 0035 00000332
2022-04-02 18:18:38.603854 True [  161041.555100] 0003 0036 000006ca
2022-04-02 18:18:38.603854 True [  161041.576003] 0003 0035 00000331
2022-04-02 18:18:38.603854 True [  161041.576003] 0003 0036 000006cb
2022-04-02 18:18:38.603854 True [  161041.582989] 0003 0035 00000330
2022-04-02 18:18:38.603854 True [  161041.582989] 0003 0036 000006ce
2022-04-02 18:18:38.830882 True [  161041.588751] 0003 0035 0000032f
2022-04-02 18:18:38.830882 True [  161041.588751] 0003 0036 000006d0
2022-04-02 18:18:38.830882 True [  161041.596238] 0003 0035 0000032e
2022-04-02 18:18:38.830882 True [  161041.596238] 0003 0036 000006d2
2022-04-02 18:18:38.830882 True [  161041.616482] 0003 0036 000006d5
