Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:33.229512 False [  145607.132550] 0003 0036 000001bf
2022-04-02 14:01:33.237639 False [  145607.140722] 0003 0035 00000165
2022-04-02 14:01:33.237639 False [  145607.140722] 0003 0036 000001c1
2022-04-02 14:01:33.243972 False [  145607.149109] 0003 0035 00000167
2022-04-02 14:01:33.243972 False [  145607.149109] 0003 0036 000001c5
2022-04-02 14:01:33.253727 False [  145607.157391] 0003 0035 00000168
2022-04-02 14:01:33.253727 False [  145607.157391] 0003 0036 000001c9
2022-04-02 14:01:33.260475 False [  145607.165822] 0003 0035 0000016a
2022-04-02 14:01:33.260475 False [  145607.165822] 0003 0036 000001cc
2022-04-02 14:01:33.271194 False [  145607.173948] 0003 0035 0000016c
2022-04-02 14:01:33.271194 False [  145607.173948] 0003 0036 000001cf
2022-04-02 14:01:33.281112 False [  145607.182402] 0003 0035 0000016d
2022-04-02 14:01:33.281112 False [  145607.182402] 0003 0036 000001d1
2022-04-02 14:01:33.285383 False [  145607.190678] 0003 0035 0000016f
2022-04-02 14:01:33.285383 False [  145607.190678] 0003 0036 000001d4
2022-04-02 14:01:33.294942 False [  145607.199128] 0003 0036 000001d5
2022-04-02 14:01:33.302661 False [  145607.207541] 0003 0035 00000170
2022-04-02 14:01:33.302661 False [  145607.207541] 0003 0036 000001d7
2022-04-02 14:01:33.312112 False [  145607.215629] 0003 0035 00000172
2022-04-02 14:01:33.312112 False [  145607.215629] 0003 0036 000001db
2022-04-02 14:01:33.321597 False [  145607.223868] 0003 0035 00000174
2022-04-02 14:01:33.321597 False [  145607.223868] 0003 0036 000001df
2022-04-02 14:01:33.327878 False [  145607.232337] 0003 0035 00000176
2022-04-02 14:01:33.327878 False [  145607.232337] 0003 0036 000001e1
2022-04-02 14:01:33.338108 False [  145607.240628] 0003 0036 000001e3
2022-04-02 14:01:33.345969 False [  145607.248869] 0003 0035 00000178
2022-04-02 14:01:33.345969 False [  145607.248869] 0003 0036 000001e6
2022-04-02 14:01:33.353658 False [  145607.257330] 0003 0035 00000179
2022-04-02 14:01:33.353658 False [  145607.257330] 0003 0036 000001e8
2022-04-02 14:01:33.362323 False [  145607.265441] 0003 0035 0000017a
2022-04-02 14:01:33.362323 False [  145607.265441] 0003 0036 000001e9
2022-04-02 14:01:33.370838 False [  145607.273708] 0003 0035 0000017c
2022-04-02 14:01:33.370838 False [  145607.273708] 0003 0036 000001ec
2022-04-02 14:01:33.377735 False [  145607.282250] 0003 0035 0000017d
2022-04-02 14:01:33.377735 False [  145607.282250] 0003 0036 000001ef
2022-04-02 14:01:33.384539 False [  145607.290627] 0003 0035 0000017e
2022-04-02 14:01:33.384539 False [  145607.290627] 0003 0036 000001f1
