Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:21.197840 True [  158744.336132] 0003 0036 000004da
2022-04-02 17:40:21.257372 True [  158744.395665] 0003 0035 0000053b
2022-04-02 17:40:21.258373 True [  158744.395665] 0003 0036 000004dc
2022-04-02 17:40:21.312048 True [  158744.402797] 0003 0036 000004de
2022-04-02 17:40:21.312048 True [  158744.414903] 0003 0036 000004df
2022-04-02 17:40:21.349940 True [  158744.426871] 0003 0036 000004e1
2022-04-02 17:40:21.349940 True [  158744.437959] 0003 0036 000004e2
2022-04-02 17:40:21.349940 True [  158744.448061] 0003 0036 000004e4
2022-04-02 17:40:21.349940 True [  158744.457888] 0003 0036 000004e5
2022-04-02 17:40:21.349940 True [  158744.466966] 0003 0036 000004e6
2022-04-02 17:40:21.373469 True [  158744.476167] 0003 0036 000004e7
2022-04-02 17:40:21.373469 True [  158744.484676] 0003 0035 0000053a
2022-04-02 17:40:21.373469 True [  158744.493113] 0003 0036 000004e8
2022-04-02 17:40:21.377518 True [  158744.510473] 0003 0036 000004e9
2022-04-02 17:40:21.377518 True [  158744.519202] 0003 0036 000004ea
2022-04-02 17:40:21.399914 True [  158744.543849] 0003 0035 00000539
2022-04-02 17:40:21.399914 True [  158744.543849] 0003 0036 000004ec
2022-04-02 17:40:21.432199 True [  158744.552179] 0003 0036 000004ed
2022-04-02 17:40:21.496964 True [  158744.560423] 0003 0036 000004ee
2022-04-02 17:40:21.496964 True [  158744.569344] 0003 0036 000004ef
2022-04-02 17:40:21.496964 True [  158744.577904] 0003 0035 00000538
2022-04-02 17:40:21.496964 True [  158744.577904] 0003 0036 000004f0
2022-04-02 17:40:21.496964 True [  158744.586245] 0003 0036 000004f1
2022-04-02 17:40:21.520698 True [  158744.600482] 0003 0036 000004f2
2022-04-02 17:40:21.520698 True [  158744.614880] 0003 0035 00000537
2022-04-02 17:40:21.520698 True [  158744.614880] 0003 0036 000004f4
2022-04-02 17:40:21.520698 True [  158744.623433] 0003 0036 000004f5
2022-04-02 17:40:21.520698 True [  158744.633918] 0003 0036 000004f6
2022-04-02 17:40:21.520698 True [  158744.644473] 0003 0036 000004f7
2022-04-02 17:40:21.520698 True [  158744.655131] 0003 0036 000004f9
2022-04-02 17:40:21.524433 True [  158744.664705] 0003 0035 00000536
2022-04-02 17:40:21.524433 True [  158744.664705] 0003 0036 000004fa
2022-04-02 17:40:21.569475 True [  158744.685140] 0003 0036 000004fb
2022-04-02 17:40:21.573764 True [  158744.696310] 0003 0035 00000535
2022-04-02 17:40:21.573764 True [  158744.707835] 0003 0036 000004fc
2022-04-02 17:40:21.573764 True [  158744.718360] 0003 0036 000004fd
2022-04-02 17:40:21.592337 True [  158744.735036] 0003 0035 00000534
2022-04-02 17:40:21.606770 True [  158744.751616] 0003 0036 000004fe
2022-04-02 17:40:21.636501 True [  158744.784917] 0003 0036 000004ff
2022-04-02 17:40:21.729559 True [  158744.876359] 0003 0035 00000533
2022-04-02 17:40:21.864710 True [  158745.011026] 0003 0035 00000532
2022-04-02 17:40:21.897558 True [  158745.034457] 0003 0036 00000500
2022-04-02 17:40:21.908270 True [  158745.042553] 0003 0035 00000531
