Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:20.178684 False [   34877.208855] 0003 0035 0000041d
2022-03-16 19:39:20.178684 False [   34877.208855] 0003 0036 0000084b
2022-03-16 19:39:20.188156 False [   34877.217271] 0003 0035 00000420
2022-03-16 19:39:20.188156 False [   34877.217271] 0003 0036 00000844
2022-03-16 19:39:20.193911 False [   34877.225390] 0003 0035 00000424
2022-03-16 19:39:20.194921 False [   34877.225390] 0003 0036 0000083a
2022-03-16 19:39:20.203056 False [   34877.233733] 0003 0035 00000426
2022-03-16 19:39:20.203056 False [   34877.233733] 0003 0036 00000834
2022-03-16 19:39:20.212389 False [   34877.242088] 0003 0035 0000042a
2022-03-16 19:39:20.212389 False [   34877.242088] 0003 0036 00000828
2022-03-16 19:39:20.220505 False [   34877.250301] 0003 0035 0000042c
2022-03-16 19:39:20.220505 False [   34877.250301] 0003 0036 00000821
2022-03-16 19:39:20.228795 False [   34877.258611] 0003 0035 00000430
2022-03-16 19:39:20.228795 False [   34877.258611] 0003 0036 00000815
2022-03-16 19:39:20.236827 False [   34877.266864] 0003 0035 00000433
2022-03-16 19:39:20.236827 False [   34877.266864] 0003 0036 0000080d
2022-03-16 19:39:20.244956 False [   34877.275429] 0003 0035 00000436
2022-03-16 19:39:20.244956 False [   34877.275429] 0003 0036 000007ff
2022-03-16 19:39:20.252645 False [   34877.283551] 0003 0035 00000438
2022-03-16 19:39:20.252645 False [   34877.283551] 0003 0036 000007f6
2022-03-16 19:39:20.262865 False [   34877.291929] 0003 0035 0000043a
2022-03-16 19:39:20.262865 False [   34877.291929] 0003 0036 000007e7
2022-03-16 19:39:20.270045 False [   34877.300255] 0003 0035 0000043b
2022-03-16 19:39:20.270614 False [   34877.300255] 0003 0036 000007de
2022-03-16 19:39:20.280096 False [   34877.308546] 0003 0035 0000043d
2022-03-16 19:39:20.280096 False [   34877.308546] 0003 0036 000007ce
2022-03-16 19:39:20.287871 False [   34877.316689] 0003 0036 000007c4
2022-03-16 19:39:20.294107 False [   34877.325145] 0003 0035 0000043e
2022-03-16 19:39:20.294107 False [   34877.325145] 0003 0036 000007b2
2022-03-16 19:39:20.303197 False [   34877.333428] 0003 0036 000007a7
2022-03-16 19:39:20.311232 False [   34877.341863] 0003 0035 00000440
2022-03-16 19:39:20.311232 False [   34877.341863] 0003 0036 00000792
2022-03-16 19:39:20.321091 False [   34877.350009] 0003 0036 00000786
2022-03-16 19:39:20.330518 False [   34877.358395] 0003 0035 00000443
2022-03-16 19:39:20.331062 False [   34877.358395] 0003 0036 0000076f
2022-03-16 19:39:20.337789 False [   34877.366650] 0003 0035 00000446
2022-03-16 19:39:20.337789 False [   34877.366650] 0003 0036 0000075b
2022-03-16 19:39:20.343423 False [   34877.375008] 0003 0035 00000448
2022-03-16 19:39:20.343423 False [   34877.375008] 0003 0036 0000074f
2022-03-16 19:39:20.353212 False [   34877.383238] 0003 0035 0000044c
2022-03-16 19:39:20.353212 False [   34877.383238] 0003 0036 0000073c
2022-03-16 19:39:20.361505 False [   34877.391644] 0003 0035 0000044f
2022-03-16 19:39:20.361505 False [   34877.391644] 0003 0036 00000731
2022-03-16 19:39:20.370361 False [   34877.399909] 0003 0035 00000453
2022-03-16 19:39:20.370361 False [   34877.399909] 0003 0036 0000071e
2022-03-16 19:39:20.377622 False [   34877.408275] 0003 0035 00000455
2022-03-16 19:39:20.377622 False [   34877.408275] 0003 0036 00000713
2022-03-16 19:39:20.384821 False [   34877.416490] 0003 0035 00000457
2022-03-16 19:39:20.384821 False [   34877.416490] 0003 0036 00000706
2022-03-16 19:39:20.394405 False [   34877.424875] 0003 0035 00000459
2022-03-16 19:39:20.394405 False [   34877.424875] 0003 0036 000006fe
2022-03-16 19:39:20.402606 False [   34877.433103] 0003 0035 0000045b
2022-03-16 19:39:20.402606 False [   34877.433103] 0003 0036 000006f2
2022-03-16 19:39:20.411164 False [   34877.441641] 0003 0035 0000045c
2022-03-16 19:39:20.411164 False [   34877.441641] 0003 0036 000006ea
2022-03-16 19:39:20.418939 False [   34877.449674] 0003 0035 0000045d
2022-03-16 19:39:20.418939 False [   34877.449674] 0003 0036 000006e5
2022-03-16 19:39:20.428934 False [   34877.458074] 0003 0035 0000045f
2022-03-16 19:39:20.428934 False [   34877.458074] 0003 0036 000006da
2022-03-16 19:39:20.434062 False [   34877.466428] 0003 0035 00000461
2022-03-16 19:39:20.434062 False [   34877.466428] 0003 0036 000006d3
2022-03-16 19:39:20.444884 False [   34877.474718] 0003 0035 00000462
2022-03-16 19:39:20.444884 False [   34877.474718] 0003 0036 000006ce
2022-03-16 19:39:20.451870 False [   34877.482935] 0003 0035 00000465
2022-03-16 19:39:20.451870 False [   34877.482935] 0003 0036 000006c6
2022-03-16 19:39:20.460865 False [   34877.491338] 0003 0035 00000466
2022-03-16 19:39:20.460865 False [   34877.491338] 0003 0036 000006c0
2022-03-16 19:39:20.470649 False [   34877.499591] 0003 0035 00000467
2022-03-16 19:39:20.470649 False [   34877.499591] 0003 0036 000006bd
2022-03-16 19:39:20.477980 False [   34877.508038] 0003 0035 00000468
2022-03-16 19:39:20.477980 False [   34877.508038] 0003 0036 000006ba
2022-03-16 19:39:20.486328 False [   34877.516276] 0003 0035 0000046a
2022-03-16 19:39:20.486854 False [   34877.516276] 0003 0036 000006b4
2022-03-16 19:39:20.494102 False [   34877.524648] 0003 0035 0000046c
2022-03-16 19:39:20.494102 True [   34877.524648] 0003 0036 000006af
2022-03-16 19:39:20.501657 True [   34877.532922] 0003 0035 0000046d
2022-03-16 19:39:20.501657 True [   34877.532922] 0003 0036 000006ab
2022-03-16 19:39:20.510356 True [   34877.541216] 0003 0035 0000046e
2022-03-16 19:39:20.510356 True [   34877.541216] 0003 0036 000006a9
2022-03-16 19:39:20.517953 True [   34877.549486] 0003 0035 0000046f
2022-03-16 19:39:20.517953 True [   34877.549486] 0003 0036 000006a7
2022-03-16 19:39:20.527499 True [   34877.557845] 0003 0036 000006a5
2022-03-16 19:39:20.535442 True [   34877.566073] 0003 0035 00000472
2022-03-16 19:39:20.535442 True [   34877.566073] 0003 0036 000006a0
2022-03-16 19:39:20.544324 True [   34877.574417] 0003 0035 00000473
2022-03-16 19:39:20.544324 True [   34877.574417] 0003 0036 0000069c
2022-03-16 19:39:20.551290 True [   34877.582667] 0003 0035 00000475
2022-03-16 19:39:20.551290 True [   34877.582667] 0003 0036 00000699
2022-03-16 19:39:20.561268 True [   34877.591191] 0003 0035 00000476
2022-03-16 19:39:20.561268 True [   34877.591191] 0003 0036 00000696
2022-03-16 19:39:20.568245 True [   34877.599331] 0003 0036 00000694
2022-03-16 19:39:20.575308 True [   34877.607742] 0003 0035 00000477
2022-03-16 19:39:20.585229 True [   34877.615991] 0003 0036 00000693
2022-03-16 19:39:20.595087 True [   34877.624375] 0003 0035 00000478
2022-03-16 19:39:20.595087 True [   34877.624375] 0003 0036 00000692
2022-03-16 19:39:20.603486 True [   34877.632628] 0003 0036 00000691
2022-03-16 19:39:20.618930 True [   34877.649241] 0003 0036 00000690
2022-03-16 19:39:20.627828 True [   34877.657622] 0003 0035 00000479
2022-03-16 19:39:20.976763 True [   34878.006742] 0003 0035 0000047c
2022-03-16 19:39:20.976763 True [   34878.006742] 0003 0036 0000068f
2022-03-16 19:39:20.985031 True [   34878.014454] 0003 0035 0000047e
2022-03-16 19:39:20.985031 True [   34878.014454] 0003 0036 0000068d
2022-03-16 19:39:20.994006 True [   34878.022850] 0003 0035 00000486
2022-03-16 19:39:20.999957 True [   34878.031195] 0003 0035 0000048c
2022-03-16 19:39:20.999957 True [   34878.031195] 0003 0036 0000068c
2022-03-16 19:39:21.009955 True [   34878.039498] 0003 0035 00000490
2022-03-16 19:39:21.016983 True [   34878.047680] 0003 0035 00000493
2022-03-16 19:39:21.025268 True [   34878.056070] 0003 0035 00000496
2022-03-16 19:39:21.035760 False [   34878.064384] 0003 0035 000004a1
2022-03-16 19:39:21.035760 False [   34878.064384] 0003 0036 0000068f
2022-03-16 19:39:21.042473 False [   34878.072730] 0003 0035 000004a9
2022-03-16 19:39:21.051425 False [   34878.080920] 0003 0035 000004b5
2022-03-16 19:39:21.051425 False [   34878.080920] 0003 0036 00000694
2022-03-16 19:39:21.058945 False [   34878.089273] 0003 0035 000004bf
2022-03-16 19:39:21.058945 False [   34878.089273] 0003 0036 000006a2
2022-03-16 19:39:21.254277 False [   34878.280506] 0003 0035 0000055d
2022-03-16 19:39:21.254277 False [   34878.280506] 0003 0036 00000813
2022-03-16 19:39:21.318638 False [   34878.347028] 0003 0036 00000814
