Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:03.029725 False [    2796.561622] 0003 0036 00000362
2022-04-06 15:01:03.048780 False [    2796.578458] 0003 0035 00000417
2022-04-06 15:01:03.048780 False [    2796.578458] 0003 0036 00000366
2022-04-06 15:01:03.057155 False [    2796.586720] 0003 0035 00000410
2022-04-06 15:01:03.057155 False [    2796.586720] 0003 0036 00000369
2022-04-06 15:01:03.064882 False [    2796.594790] 0003 0035 0000040a
2022-04-06 15:01:03.064882 False [    2796.594790] 0003 0036 0000036c
2022-04-06 15:01:03.071715 False [    2796.603149] 0003 0035 00000404
2022-04-06 15:01:03.071715 False [    2796.603149] 0003 0036 0000036e
2022-04-06 15:01:03.082630 False [    2796.611324] 0003 0035 000003fd
2022-04-06 15:01:03.082630 False [    2796.611324] 0003 0036 00000370
2022-04-06 15:01:03.090594 False [    2796.620593] 0003 0035 000003f8
2022-04-06 15:01:03.090594 False [    2796.620593] 0003 0036 00000373
2022-04-06 15:01:03.097725 False [    2796.627936] 0003 0035 000003f2
2022-04-06 15:01:03.097725 False [    2796.627936] 0003 0036 00000375
2022-04-06 15:01:03.108240 False [    2796.637115] 0003 0035 000003ee
2022-04-06 15:01:03.108240 False [    2796.637115] 0003 0036 00000376
2022-04-06 15:01:03.115288 False [    2796.644632] 0003 0035 000003e8
2022-04-06 15:01:03.115288 False [    2796.644632] 0003 0036 00000379
2022-04-06 15:01:03.123944 False [    2796.653229] 0003 0035 000003e4
2022-04-06 15:01:03.123944 False [    2796.653229] 0003 0036 0000037b
2022-04-06 15:01:03.132832 False [    2796.661392] 0003 0035 000003df
2022-04-06 15:01:03.132832 False [    2796.661392] 0003 0036 0000037d
2022-04-06 15:01:03.141622 False [    2796.669618] 0003 0035 000003da
2022-04-06 15:01:03.141622 False [    2796.669618] 0003 0036 0000037f
2022-04-06 15:01:03.148589 False [    2796.677819] 0003 0035 000003d6
2022-04-06 15:01:03.148589 False [    2796.677819] 0003 0036 00000380
2022-04-06 15:01:03.156050 False [    2796.686690] 0003 0035 000003d2
2022-04-06 15:01:03.156050 False [    2796.686690] 0003 0036 00000383
2022-04-06 15:01:03.164390 False [    2796.695018] 0003 0035 000003cc
2022-04-06 15:01:03.164390 False [    2796.695018] 0003 0036 00000385
2022-04-06 15:01:03.174129 False [    2796.703994] 0003 0035 000003c7
2022-04-06 15:01:03.174129 True [    2796.703994] 0003 0036 00000387
2022-04-06 15:01:03.180478 True [    2796.711059] 0003 0035 000003c2
2022-04-06 15:01:03.181475 True [    2796.711059] 0003 0036 0000038a
2022-04-06 15:01:03.190649 True [    2796.720965] 0003 0035 000003bc
2022-04-06 15:01:03.190649 True [    2796.720965] 0003 0036 0000038d
2022-04-06 15:01:03.195925 True [    2796.727657] 0003 0035 000003b6
2022-04-06 15:01:03.195925 True [    2796.727657] 0003 0036 0000038f
2022-04-06 15:01:03.207431 True [    2796.737290] 0003 0035 000003b0
2022-04-06 15:01:03.207431 True [    2796.737290] 0003 0036 00000392
2022-04-06 15:01:03.215416 True [    2796.744323] 0003 0035 000003ab
2022-04-06 15:01:03.215416 True [    2796.744323] 0003 0036 00000394
