Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:43.882603 False [   17913.209324] 0003 0036 000005f1
2022-04-07 18:39:43.890448 False [   17913.218801] 0003 0035 000005a6
2022-04-07 18:39:43.890448 False [   17913.218801] 0003 0036 00000609
2022-04-07 18:39:43.900317 False [   17913.226238] 0003 0035 000005a5
2022-04-07 18:39:43.900317 False [   17913.226238] 0003 0036 0000061f
2022-04-07 18:39:43.906418 False [   17913.234767] 0003 0036 00000631
2022-04-07 18:39:43.914926 False [   17913.242576] 0003 0036 00000644
2022-04-07 18:39:43.923231 False [   17913.251873] 0003 0036 0000065c
2022-04-07 18:39:43.932647 False [   17913.259415] 0003 0035 000005a3
2022-04-07 18:39:43.932647 False [   17913.259415] 0003 0036 00000671
2022-04-07 18:39:43.938161 False [   17913.268281] 0003 0035 000005a2
2022-04-07 18:39:43.938161 False [   17913.268281] 0003 0036 00000686
2022-04-07 18:39:43.949530 False [   17913.275794] 0003 0036 0000069b
2022-04-07 18:39:43.957320 False [   17913.284622] 0003 0035 000005a1
2022-04-07 18:39:43.957320 False [   17913.284622] 0003 0036 000006af
2022-04-07 18:39:43.965678 False [   17913.292872] 0003 0035 0000059f
2022-04-07 18:39:43.965678 False [   17913.292872] 0003 0036 000006c2
2022-04-07 18:39:43.973994 False [   17913.300822] 0003 0036 000006d4
2022-04-07 18:39:43.982639 False [   17913.309435] 0003 0036 000006df
2022-04-07 18:39:43.989273 False [   17913.317670] 0003 0035 0000059e
2022-04-07 18:39:43.989273 False [   17913.317670] 0003 0036 000006f5
2022-04-07 18:39:43.995674 False [   17913.325632] 0003 0036 0000070b
2022-04-07 18:39:44.004612 False [   17913.334810] 0003 0035 0000059c
2022-04-07 18:39:44.004612 False [   17913.334810] 0003 0036 0000071e
2022-04-07 18:39:44.014600 False [   17913.342659] 0003 0036 00000731
2022-04-07 18:39:44.021121 False [   17913.351029] 0003 0036 00000743
2022-04-07 18:39:44.031715 False [   17913.358896] 0003 0035 0000059b
2022-04-07 18:39:44.031715 False [   17913.358896] 0003 0036 00000754
2022-04-07 18:39:44.038893 False [   17913.367707] 0003 0036 0000076a
2022-04-07 18:39:44.048766 False [   17913.375579] 0003 0035 0000059a
2022-04-07 18:39:44.048766 False [   17913.375579] 0003 0036 00000780
2022-04-07 18:39:44.058210 False [   17913.384271] 0003 0035 00000599
2022-04-07 18:39:44.058210 False [   17913.384271] 0003 0036 00000793
2022-04-07 18:39:44.063600 False [   17913.392140] 0003 0035 00000598
2022-04-07 18:39:44.063600 False [   17913.392140] 0003 0036 000007a6
2022-04-07 18:39:44.073284 False [   17913.400658] 0003 0035 00000597
2022-04-07 18:39:44.073284 False [   17913.400658] 0003 0036 000007bb
2022-04-07 18:39:44.079105 False [   17913.408859] 0003 0035 00000596
2022-04-07 18:39:44.079105 False [   17913.408859] 0003 0036 000007c8
2022-04-07 18:39:44.090605 False [   17913.418568] 0003 0035 00000594
2022-04-07 18:39:44.090605 False [   17913.418568] 0003 0036 000007e1
2022-04-07 18:39:44.097040 False [   17913.425675] 0003 0035 00000591
2022-04-07 18:39:44.097040 False [   17913.425675] 0003 0036 000007f8
2022-04-07 18:39:44.104755 False [   17913.434100] 0003 0036 00000804
2022-04-07 18:39:44.114120 False [   17913.442267] 0003 0035 0000058e
2022-04-07 18:39:44.114120 False [   17913.442267] 0003 0036 00000819
2022-04-07 18:39:44.121741 False [   17913.451394] 0003 0035 0000058c
2022-04-07 18:39:44.121741 False [   17913.451394] 0003 0036 0000082d
2022-04-07 18:39:44.131910 False [   17913.459012] 0003 0035 0000058b
2022-04-07 18:39:44.131910 False [   17913.459012] 0003 0036 00000838
2022-04-07 18:39:44.139707 False [   17913.467638] 0003 0035 00000589
2022-04-07 18:39:44.139707 False [   17913.467638] 0003 0036 0000084b
2022-04-07 18:39:44.148748 False [   17913.475318] 0003 0035 00000588
2022-04-07 18:39:44.148748 False [   17913.475318] 0003 0036 00000855
2022-04-07 18:39:44.154686 False [   17913.484150] 0003 0035 00000586
2022-04-07 18:39:44.154686 False [   17913.484150] 0003 0036 00000869
2022-04-07 18:39:44.164949 False [   17913.491896] 0003 0036 00000874
2022-04-07 18:39:44.172779 False [   17913.501443] 0003 0035 00000584
