Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:28.478613 True [   18525.571305] 0003 0035 000002ec
2022-03-16 15:12:28.478613 True [   18525.571305] 0003 0036 0000021a
2022-03-16 15:12:28.497204 True [   18525.587571] 0003 0035 000002ec
2022-03-16 15:12:28.497204 True [   18525.587571] 0003 0036 0000021a
2022-03-16 15:12:28.511665 True [   18525.604769] 0003 0035 000002ec
2022-03-16 15:12:28.511665 True [   18525.604769] 0003 0036 0000021a
2022-03-16 15:12:28.529835 True [   18525.622109] 0003 0035 000002ec
2022-03-16 15:12:28.529835 True [   18525.622109] 0003 0036 0000021a
2022-03-16 15:12:28.546167 True [   18525.639071] 0003 0035 000002ec
2022-03-16 15:12:28.546167 True [   18525.639071] 0003 0036 0000021a
2022-03-16 15:12:28.561640 True [   18525.654800] 0003 0035 000002e7
2022-03-16 15:12:28.561640 True [   18525.654800] 0003 0036 0000021a
2022-03-16 15:12:28.579373 True [   18525.672188] 0003 0035 000002e3
2022-03-16 15:12:28.579373 True [   18525.672188] 0003 0036 0000021a
2022-03-16 15:12:28.597314 True [   18525.689219] 0003 0035 000002de
2022-03-16 15:12:28.597314 True [   18525.689219] 0003 0036 0000021a
2022-03-16 15:12:28.613529 True [   18525.706218] 0003 0035 000002d8
2022-03-16 15:12:28.613529 True [   18525.706218] 0003 0036 0000021a
2022-03-16 15:12:28.629515 True [   18525.722657] 0003 0035 000002d3
2022-03-16 15:12:28.629515 True [   18525.722657] 0003 0036 0000021a
2022-03-16 15:12:28.647484 True [   18525.739440] 0003 0035 000002cf
2022-03-16 15:12:28.647484 True [   18525.739440] 0003 0036 0000021a
2022-03-16 15:12:28.665963 True [   18525.756193] 0003 0035 000002cb
2022-03-16 15:12:28.665963 True [   18525.756193] 0003 0036 0000021a
2022-03-16 15:12:28.681411 True [   18525.773666] 0003 0035 000002c7
2022-03-16 15:12:28.681411 True [   18525.773666] 0003 0036 00000218
2022-03-16 15:12:28.697027 True [   18525.790048] 0003 0035 000002c3
2022-03-16 15:12:28.697027 True [   18525.790048] 0003 0036 00000216
2022-03-16 15:12:28.714662 True [   18525.807702] 0003 0035 000002bf
2022-03-16 15:12:28.714662 True [   18525.807702] 0003 0036 00000216
2022-03-16 15:12:28.731169 True [   18525.824506] 0003 0035 000002bb
2022-03-16 15:12:28.731169 True [   18525.824506] 0003 0036 00000214
2022-03-16 15:12:28.748079 True [   18525.841573] 0003 0035 000002b7
2022-03-16 15:12:28.748079 True [   18525.841573] 0003 0036 00000212
2022-03-16 15:12:28.767169 True [   18525.858415] 0003 0035 000002b3
2022-03-16 15:12:28.769158 True [   18525.858415] 0003 0036 00000210
2022-03-16 15:12:28.780983 True [   18525.874746] 0003 0035 000002ad
2022-03-16 15:12:28.780983 True [   18525.874746] 0003 0036 0000020e
2022-03-16 15:12:28.798768 True [   18525.891842] 0003 0035 000002a3
2022-03-16 15:12:28.798768 True [   18525.891842] 0003 0036 0000020b
2022-03-16 15:12:28.815900 True [   18525.909008] 0003 0035 00000299
2022-03-16 15:12:28.815900 True [   18525.909008] 0003 0036 00000209
2022-03-16 15:12:28.834162 True [   18525.926392] 0003 0035 0000028e
