Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.8831367290300849 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:17:53.483556 False [   20202.709930] 0003 0035 000004e6
2022-04-07 19:17:53.483556 False [   20202.709930] 0003 0036 00000678
2022-04-07 19:17:53.483556 False [   20202.718101] 0003 0035 000004e8
2022-04-07 19:17:53.483556 False [   20202.718101] 0003 0036 00000661
2022-04-07 19:17:53.483556 False [   20202.727636] 0003 0035 000004e9
2022-04-07 19:17:53.483556 False [   20202.727636] 0003 0036 0000064b
2022-04-07 19:17:53.568853 False [   20202.734731] 0003 0036 00000635
2022-04-07 19:17:53.568853 False [   20202.746889] 0003 0035 000004ea
2022-04-07 19:17:53.568853 False [   20202.746889] 0003 0036 0000061d
2022-04-07 19:17:53.568853 False [   20202.758771] 0003 0035 000004ec
2022-04-07 19:17:53.568853 False [   20202.758771] 0003 0036 00000608
2022-04-07 19:17:53.568853 False [   20202.770019] 0003 0036 000005f5
2022-04-07 19:17:53.568853 False [   20202.783120] 0003 0035 000004f0
2022-04-07 19:17:53.568853 False [   20202.783120] 0003 0036 000005cb
2022-04-07 19:17:53.646074 False [   20202.797030] 0003 0035 000004f1
2022-04-07 19:17:53.646074 False [   20202.797030] 0003 0036 000005b9
2022-04-07 19:17:53.646074 False [   20202.808698] 0003 0035 000004f3
2022-04-07 19:17:53.646074 False [   20202.808698] 0003 0036 0000058f
2022-04-07 19:17:53.646074 False [   20202.819634] 0003 0035 000004f4
2022-04-07 19:17:53.646074 False [   20202.819634] 0003 0036 0000057a
2022-04-07 19:17:53.646074 False [   20202.831943] 0003 0035 000004f7
2022-04-07 19:17:53.646074 False [   20202.831943] 0003 0036 00000555
2022-04-07 19:17:53.646074 False [   20202.845082] 0003 0035 000004f8
2022-04-07 19:17:53.646074 False [   20202.845082] 0003 0036 00000541
2022-04-07 19:17:53.646074 False [   20202.857746] 0003 0035 000004fb
2022-04-07 19:17:53.646074 False [   20202.857746] 0003 0036 0000051b
2022-04-07 19:17:53.646074 False [   20202.868136] 0003 0035 000004fc
2022-04-07 19:17:53.646074 False [   20202.868136] 0003 0036 00000507
2022-04-07 19:17:53.728965 False [   20202.879360] 0003 0035 000004ff
2022-04-07 19:17:53.728965 False [   20202.879360] 0003 0036 000004e3
2022-04-07 19:17:53.728965 False [   20202.885009] 0003 0035 00000500
2022-04-07 19:17:53.728965 False [   20202.885009] 0003 0036 000004cf
2022-04-07 19:17:53.728965 False [   20202.894531] 0003 0035 00000501
2022-04-07 19:17:53.728965 False [   20202.894531] 0003 0036 000004bd
2022-04-07 19:17:53.728965 False [   20202.907247] 0003 0035 00000502
2022-04-07 19:17:53.728965 False [   20202.907247] 0003 0036 000004ab
2022-04-07 19:17:53.728965 True [   20202.920207] 0003 0036 0000049a
2022-04-07 19:17:53.728965 True [   20202.933290] 0003 0035 00000503
2022-04-07 19:17:53.728965 True [   20202.933290] 0003 0036 00000478
2022-04-07 19:17:53.728965 True [   20202.946120] 0003 0036 00000468
2022-04-07 19:17:53.803528 True [   20202.959982] 0003 0035 00000505
2022-04-07 19:17:53.803528 True [   20202.959982] 0003 0036 00000447
2022-04-07 19:17:53.803528 True [   20202.972962] 0003 0036 00000429
2022-04-07 19:17:53.803528 False [   20202.986880] 0003 0036 0000041a
2022-04-07 19:17:53.803528 False [   20203.000361] 0003 0036 000003ff
2022-04-07 19:17:53.803528 False [   20203.013313] 0003 0036 000003f3
2022-04-07 19:17:53.803528 False [   20203.027144] 0003 0035 00000503
2022-04-07 19:17:53.803528 False [   20203.027144] 0003 0036 000003db
2022-04-07 19:17:53.892008 False [   20203.037667] 0003 0035 00000502
2022-04-07 19:17:53.892008 False [   20203.037667] 0003 0036 000003c3
2022-04-07 19:17:53.892008 False [   20203.044942] 0003 0035 00000501
2022-04-07 19:17:53.892964 False [   20203.044942] 0003 0036 000003b7
2022-04-07 19:17:53.892964 False [   20203.054329] 0003 0035 00000500
2022-04-07 19:17:53.892964 False [   20203.054329] 0003 0036 000003ac
2022-04-07 19:17:53.892964 False [   20203.067211] 0003 0036 000003a1
2022-04-07 19:17:53.892964 False [   20203.080523] 0003 0035 000004fe
2022-04-07 19:17:53.892964 False [   20203.080523] 0003 0036 00000392
2022-04-07 19:17:53.892964 False [   20203.089095] 0003 0036 00000389
2022-04-07 19:17:53.892964 False [   20203.103169] 0003 0036 0000037f
2022-04-07 19:17:53.988699 False [   20203.117330] 0003 0035 000004fc
2022-04-07 19:17:53.988699 False [   20203.117330] 0003 0036 00000370
2022-04-07 19:17:53.988699 False [   20203.129416] 0003 0035 000004fb
2022-04-07 19:17:53.988699 False [   20203.129416] 0003 0036 00000360
2022-04-07 19:17:53.988699 False [   20203.142745] 0003 0036 00000359
2022-04-07 19:17:53.988699 False [   20203.154821] 0003 0035 000004fa
2022-04-07 19:17:53.988699 False [   20203.154821] 0003 0036 0000034a
2022-04-07 19:17:53.988699 False [   20203.165120] 0003 0036 00000342
2022-04-07 19:17:53.988699 False [   20203.178857] 0003 0035 000004f9
2022-04-07 19:17:53.988699 False [   20203.178857] 0003 0036 0000033b
2022-04-07 19:17:53.988699 False [   20203.192214] 0003 0036 0000032f
2022-04-07 19:17:53.988699 False [   20203.206074] 0003 0035 000004f7
2022-04-07 19:17:53.988699 False [   20203.206074] 0003 0036 00000322
2022-04-07 19:17:54.051561 False [   20203.216926] 0003 0036 0000031b
2022-04-07 19:17:54.051561 False [   20203.231369] 0003 0035 000004f5
2022-04-07 19:17:54.051561 False [   20203.231369] 0003 0036 00000310
2022-04-07 19:17:54.051561 False [   20203.244154] 0003 0035 000004f4
2022-04-07 19:17:54.051561 False [   20203.244154] 0003 0036 0000030c
2022-04-07 19:17:54.051561 False [   20203.255773] 0003 0035 000004f3
2022-04-07 19:17:54.051561 False [   20203.255773] 0003 0036 00000304
2022-04-07 19:17:54.051561 False [   20203.264385] 0003 0035 000004f1
2022-04-07 19:17:54.051561 False [   20203.264385] 0003 0036 000002ff
2022-04-07 19:17:54.051561 False [   20203.275783] 0003 0035 000004f0
2022-04-07 19:17:54.051561 False [   20203.275783] 0003 0036 000002fc
2022-04-07 19:17:54.055566 False [   20203.288865] 0003 0036 000002f8
2022-04-07 19:17:54.055566 False [   20203.304154] 0003 0036 000002f5
2022-04-07 19:17:54.055566 False [   20203.316416] 0003 0035 000004ef
2022-04-07 19:17:54.055566 False [   20203.316416] 0003 0036 000002f3
2022-04-07 19:17:54.055566 False [   20203.324982] 0003 0035 000004ee
2022-04-07 19:17:54.055566 False [   20203.324982] 0003 0036 000002f0
2022-04-07 19:17:54.055566 False [   20203.338029] 0003 0036 000002ef
2022-04-07 19:17:54.097356 False [   20203.358121] 0003 0035 000004ed
2022-04-07 19:17:54.097356 False [   20203.358121] 0003 0036 000002ed
2022-04-07 19:17:54.123050 False [   20203.366497] 0003 0036 000002ec
2022-04-07 19:17:54.123050 False [   20203.381235] 0003 0036 000002ed
2022-04-07 19:17:54.190046 False [   20203.399525] 0003 0036 000002ef
2022-04-07 19:17:54.190046 False [   20203.413536] 0003 0036 000002f1
2022-04-07 19:17:54.190046 False [   20203.417106] 0003 0035 000004ee
2022-04-07 19:17:54.190046 False [   20203.417106] 0003 0036 000002f5
2022-04-07 19:17:54.277543 False [   20203.424560] 0003 0036 000002f9
2022-04-07 19:17:54.277543 False [   20203.437573] 0003 0035 000004ef
