Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:19:11.213127 False [   18928.297235] 0003 0035 000002ca
2022-03-16 15:19:11.213127 False [   18928.297235] 0003 0036 000000c9
2022-03-16 15:19:11.231792 False [   18928.313398] 0003 0035 000002c3
2022-03-16 15:19:11.231792 False [   18928.313398] 0003 0036 000000c3
2022-03-16 15:19:11.246378 False [   18928.330705] 0003 0035 000002be
2022-03-16 15:19:11.247395 False [   18928.330705] 0003 0036 000000bf
2022-03-16 15:19:11.265549 False [   18928.347277] 0003 0035 000002bb
2022-03-16 15:19:11.265549 False [   18928.347277] 0003 0036 000000bb
2022-03-16 15:19:11.283033 False [   18928.364571] 0003 0035 000002bb
2022-03-16 15:19:11.283033 False [   18928.364571] 0003 0036 000000bb
2022-03-16 15:19:11.297176 False [   18928.381558] 0003 0035 000002bb
2022-03-16 15:19:11.298175 False [   18928.381558] 0003 0036 000000bb
2022-03-16 15:19:11.314661 False [   18928.398682] 0003 0035 000002b9
2022-03-16 15:19:11.314661 False [   18928.398682] 0003 0036 000000b7
2022-03-16 15:19:11.332748 False [   18928.415071] 0003 0035 000002b9
2022-03-16 15:19:11.332748 False [   18928.415071] 0003 0036 000000b7
2022-03-16 15:19:11.349598 False [   18928.431998] 0003 0035 000002b9
2022-03-16 15:19:11.349598 False [   18928.431998] 0003 0036 000000b7
2022-03-16 15:19:11.366150 False [   18928.449041] 0003 0035 000002b9
2022-03-16 15:19:11.366150 False [   18928.449041] 0003 0036 000000b7
2022-03-16 15:19:11.382443 False [   18928.466430] 0003 0035 000002b9
2022-03-16 15:19:11.382443 False [   18928.466430] 0003 0036 000000b7
2022-03-16 15:19:11.403492 False [   18928.482793] 0003 0035 000002b9
2022-03-16 15:19:11.403492 False [   18928.482793] 0003 0036 000000b7
2022-03-16 15:19:11.415817 False [   18928.500440] 0003 0035 000002b9
2022-03-16 15:19:11.415817 False [   18928.500440] 0003 0036 000000bb
2022-03-16 15:19:11.434399 False [   18928.517518] 0003 0035 000002be
2022-03-16 15:19:11.434399 False [   18928.517518] 0003 0036 000000c1
2022-03-16 15:19:11.453515 False [   18928.535109] 0003 0035 000002c8
2022-03-16 15:19:11.453515 False [   18928.535109] 0003 0036 000000c8
2022-03-16 15:19:11.470612 False [   18928.551175] 0003 0035 000002d6
2022-03-16 15:19:11.470612 False [   18928.551175] 0003 0036 000000d1
2022-03-16 15:19:11.483577 False [   18928.567949] 0003 0035 000002e4
2022-03-16 15:19:11.483577 False [   18928.567949] 0003 0036 000000da
2022-03-16 15:19:11.499956 False [   18928.584497] 0003 0035 000002f1
2022-03-16 15:19:11.499956 True [   18928.584497] 0003 0036 000000e4
2022-03-16 15:19:11.518058 True [   18928.601428] 0003 0035 000002fc
2022-03-16 15:19:11.518058 True [   18928.601428] 0003 0036 000000ed
2022-03-16 15:19:11.535764 True [   18928.618373] 0003 0035 00000305
2022-03-16 15:19:11.535764 True [   18928.618373] 0003 0036 000000f6
2022-03-16 15:19:11.550826 True [   18928.635303] 0003 0035 0000030d
2022-03-16 15:19:11.550826 True [   18928.635303] 0003 0036 000000fe
2022-03-16 15:19:11.569756 True [   18928.652642] 0003 0035 00000317
2022-03-16 15:19:11.569756 True [   18928.652642] 0003 0036 00000105
2022-03-16 15:19:11.589372 True [   18928.669853] 0003 0035 00000324
2022-03-16 15:19:11.589372 True [   18928.669853] 0003 0036 0000010c
2022-03-16 15:19:11.604367 True [   18928.686930] 0003 0035 00000332
2022-03-16 15:19:11.604367 True [   18928.686930] 0003 0036 00000113
2022-03-16 15:19:11.619164 True [   18928.703820] 0003 0035 0000033e
2022-03-16 15:19:11.619164 True [   18928.703820] 0003 0036 00000118
2022-03-16 15:19:11.635785 True [   18928.720085] 0003 0035 00000347
2022-03-16 15:19:11.635785 True [   18928.720085] 0003 0036 0000011c
2022-03-16 15:19:11.652948 True [   18928.738165] 0003 0035 0000034d
2022-03-16 15:19:11.652948 True [   18928.738165] 0003 0036 0000011f
2022-03-16 15:19:11.669050 True [   18928.754426] 0003 0035 00000351
2022-03-16 15:19:11.669050 True [   18928.754426] 0003 0036 00000121
2022-03-16 15:19:11.689993 True [   18928.771385] 0003 0035 00000351
2022-03-16 15:19:11.689993 True [   18928.771385] 0003 0036 00000121
2022-03-16 15:19:11.703627 True [   18928.787761] 0003 0035 00000351
2022-03-16 15:19:11.703627 True [   18928.787761] 0003 0036 00000121
2022-03-16 15:19:11.719621 True [   18928.804718] 0003 0035 0000034c
2022-03-16 15:19:11.719621 True [   18928.804718] 0003 0036 0000011f
2022-03-16 15:19:11.737451 True [   18928.822393] 0003 0035 00000343
2022-03-16 15:19:11.737451 True [   18928.822393] 0003 0036 0000011b
2022-03-16 15:19:11.754569 True [   18928.839403] 0003 0035 00000338
2022-03-16 15:19:11.754569 True [   18928.839403] 0003 0036 00000116
2022-03-16 15:19:11.770962 True [   18928.855844] 0003 0035 0000032d
2022-03-16 15:19:11.770962 True [   18928.855844] 0003 0036 0000010f
2022-03-16 15:19:11.790158 True [   18928.872905] 0003 0035 00000322
2022-03-16 15:19:11.790158 True [   18928.872905] 0003 0036 00000107
2022-03-16 15:19:11.805629 True [   18928.890313] 0003 0035 00000316
2022-03-16 15:19:11.805629 True [   18928.890313] 0003 0036 000000fe
2022-03-16 15:19:11.824338 True [   18928.906744] 0003 0035 00000308
2022-03-16 15:19:11.825319 True [   18928.906744] 0003 0036 000000f4
2022-03-16 15:19:11.843659 True [   18928.924076] 0003 0035 000002f6
2022-03-16 15:19:11.843659 True [   18928.924076] 0003 0036 000000ea
2022-03-16 15:19:11.859630 True [   18928.940911] 0003 0035 000002e4
2022-03-16 15:19:11.859630 True [   18928.940911] 0003 0036 000000df
2022-03-16 15:19:11.874969 False [   18928.957933] 0003 0035 000002d6
2022-03-16 15:19:11.874969 False [   18928.957933] 0003 0036 000000d5
2022-03-16 15:19:11.890951 False [   18928.974536] 0003 0035 000002ca
2022-03-16 15:19:11.890951 False [   18928.974536] 0003 0036 000000cc
