Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:30.830085 False [  146994.045309] 0003 0035 000001b6
2022-04-02 14:24:30.830085 False [  146994.045309] 0003 0036 000002d8
2022-04-02 14:24:30.830085 False [  146994.057664] 0003 0035 000001aa
2022-04-02 14:24:30.830085 False [  146994.057664] 0003 0036 000002df
2022-04-02 14:24:30.830085 False [  146994.068158] 0003 0035 000001a5
2022-04-02 14:24:30.830085 False [  146994.068158] 0003 0036 000002e4
2022-04-02 14:24:30.830085 False [  146994.077641] 0003 0035 00000199
2022-04-02 14:24:30.830085 False [  146994.077641] 0003 0036 000002ea
2022-04-02 14:24:30.830085 False [  146994.089309] 0003 0035 00000193
2022-04-02 14:24:30.830085 False [  146994.089309] 0003 0036 000002ef
2022-04-02 14:24:30.883922 False [  146994.097909] 0003 0035 0000018f
2022-04-02 14:24:30.883922 False [  146994.097909] 0003 0036 000002f1
2022-04-02 14:24:30.883922 False [  146994.111329] 0003 0035 0000018b
2022-04-02 14:24:30.883922 False [  146994.111329] 0003 0036 000002f4
2022-04-02 14:24:30.883922 False [  146994.124798] 0003 0035 00000184
2022-04-02 14:24:30.883922 False [  146994.124798] 0003 0036 000002fa
2022-04-02 14:24:30.883922 False [  146994.132171] 0003 0035 00000181
2022-04-02 14:24:30.883922 False [  146994.132171] 0003 0036 000002fd
2022-04-02 14:24:30.883922 False [  146994.134934] 0003 0035 0000017d
2022-04-02 14:24:30.883922 False [  146994.134934] 0003 0036 000002ff
2022-04-02 14:24:30.883922 False [  146994.143219] 0003 0035 00000179
2022-04-02 14:24:30.883922 False [  146994.143219] 0003 0036 00000303
2022-04-02 14:24:30.910240 False [  146994.153273] 0003 0035 00000176
2022-04-02 14:24:30.910240 False [  146994.153273] 0003 0036 00000305
2022-04-02 14:24:30.910240 False [  146994.162957] 0003 0035 00000172
2022-04-02 14:24:30.910240 False [  146994.162957] 0003 0036 00000308
2022-04-02 14:24:30.910240 False [  146994.174538] 0003 0035 0000016f
2022-04-02 14:24:30.910240 False [  146994.174538] 0003 0036 0000030b
2022-04-02 14:24:30.910240 False [  146994.179950] 0003 0035 0000016c
2022-04-02 14:24:30.910240 False [  146994.179950] 0003 0036 0000030e
2022-04-02 14:24:30.910240 False [  146994.184665] 0003 0035 00000167
2022-04-02 14:24:30.910240 False [  146994.184665] 0003 0036 00000310
2022-04-02 14:24:30.910240 False [  146994.194500] 0003 0035 00000162
2022-04-02 14:24:30.910240 False [  146994.194500] 0003 0036 00000313
2022-04-02 14:24:30.910240 False [  146994.201294] 0003 0035 0000015d
2022-04-02 14:24:30.910240 False [  146994.201294] 0003 0036 00000315
2022-04-02 14:24:30.924338 False [  146994.209825] 0003 0035 0000015a
2022-04-02 14:24:30.924338 False [  146994.209825] 0003 0036 00000316
2022-04-02 14:24:30.924338 False [  146994.218618] 0003 0035 00000155
