Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:55.159431 True [  156438.346818] 0003 0036 000003b3
2022-04-02 17:01:55.167458 True [  156438.354836] 0003 0036 000003b0
2022-04-02 17:01:55.175312 True [  156438.363694] 0003 0035 000004b1
2022-04-02 17:01:55.175312 True [  156438.363694] 0003 0036 000003af
2022-04-02 17:01:55.185328 True [  156438.371466] 0003 0035 000004b2
2022-04-02 17:01:55.185328 True [  156438.371466] 0003 0036 000003ad
2022-04-02 17:01:55.192921 True [  156438.380352] 0003 0036 000003ac
2022-04-02 17:01:55.201514 True [  156438.388112] 0003 0036 000003ab
2022-04-02 17:01:55.209516 True [  156438.396978] 0003 0035 000004b3
2022-04-02 17:01:55.209516 True [  156438.396978] 0003 0036 000003aa
2022-04-02 17:01:55.251319 True [  156438.438135] 0003 0035 000004b2
2022-04-02 17:01:55.266770 True [  156438.454557] 0003 0035 000004b1
2022-04-02 17:01:55.284566 True [  156438.471251] 0003 0035 000004b0
2022-04-02 17:01:55.284566 True [  156438.471251] 0003 0036 000003ab
2022-04-02 17:01:55.292252 True [  156438.479815] 0003 0036 000003ad
2022-04-02 17:01:55.300250 True [  156438.488100] 0003 0035 000004ae
2022-04-02 17:01:55.300250 True [  156438.488100] 0003 0036 000003af
2022-04-02 17:01:55.308457 True [  156438.496446] 0003 0035 000004ad
2022-04-02 17:01:55.308457 True [  156438.496446] 0003 0036 000003b1
2022-04-02 17:01:55.317254 True [  156438.504508] 0003 0035 000004ac
2022-04-02 17:01:55.317254 True [  156438.504508] 0003 0036 000003b4
2022-04-02 17:01:55.326262 True [  156438.512970] 0003 0036 000003b5
2022-04-02 17:01:55.332853 True [  156438.521118] 0003 0035 000004ab
2022-04-02 17:01:55.332853 True [  156438.521118] 0003 0036 000003b8
2022-04-02 17:01:55.341787 True [  156438.529494] 0003 0035 000004aa
2022-04-02 17:01:55.341787 True [  156438.529494] 0003 0036 000003ba
2022-04-02 17:01:55.349628 True [  156438.537680] 0003 0035 000004a9
2022-04-02 17:01:55.349628 True [  156438.537680] 0003 0036 000003bb
2022-04-02 17:01:55.357770 True [  156438.546085] 0003 0036 000003bd
2022-04-02 17:01:55.367263 True [  156438.554796] 0003 0035 000004a8
2022-04-02 17:01:55.367263 True [  156438.554796] 0003 0036 000003bf
2022-04-02 17:01:55.384260 True [  156438.570986] 0003 0036 000003c0
2022-04-02 17:01:55.806340 True [  156438.987818] 0003 0035 000004b6
2022-04-02 17:01:55.806340 True [  156438.987818] 0003 0036 000003af
2022-04-02 17:01:55.843239 True [  156439.028627] 0003 0036 000003b2
2022-04-02 17:01:55.850060 True [  156439.035968] 0003 0035 000004b7
2022-04-02 17:01:55.850060 True [  156439.035968] 0003 0036 000003b4
2022-04-02 17:01:55.856937 True [  156439.044707] 0003 0036 000003b5
2022-04-02 17:01:55.867338 True [  156439.053078] 0003 0036 000003b7
2022-04-02 17:01:55.876767 True [  156439.062162] 0003 0035 000004b9
2022-04-02 17:01:55.876767 True [  156439.062162] 0003 0036 000003be
2022-04-02 17:01:55.883586 True [  156439.069850] 0003 0035 000004ba
2022-04-02 17:01:55.883586 True [  156439.069850] 0003 0036 000003c2
2022-04-02 17:01:55.890320 True [  156439.077716] 0003 0036 000003c6
2022-04-02 17:01:55.898132 True [  156439.086167] 0003 0035 000004bb
2022-04-02 17:01:55.898132 True [  156439.086167] 0003 0036 000003c8
2022-04-02 17:01:55.907439 True [  156439.094835] 0003 0035 000004bd
2022-04-02 17:01:55.907439 True [  156439.094835] 0003 0036 000003d1
2022-04-02 17:01:55.916691 True [  156439.102761] 0003 0035 000004be
2022-04-02 17:01:55.916691 True [  156439.102761] 0003 0036 000003d6
2022-04-02 17:01:55.924125 True [  156439.111360] 0003 0035 000004c0
2022-04-02 17:01:55.924125 True [  156439.111360] 0003 0036 000003da
2022-04-02 17:01:55.932611 True [  156439.119278] 0003 0035 000004c1
2022-04-02 17:01:55.932611 True [  156439.119278] 0003 0036 000003de
2022-04-02 17:01:55.941668 True [  156439.128046] 0003 0036 000003e3
