Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1200821656494728 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:27:18.560142 False [   17167.898403] 0003 0036 000006ad
2022-04-07 18:27:18.567545 False [   17167.906941] 0003 0035 0000051e
2022-04-07 18:27:18.567545 False [   17167.906941] 0003 0036 000006b9
2022-04-07 18:27:18.575698 False [   17167.915081] 0003 0036 000006c0
2022-04-07 18:27:18.583301 False [   17167.923529] 0003 0036 000006cf
2022-04-07 18:27:18.592052 False [   17167.931748] 0003 0036 000006d9
2022-04-07 18:27:18.600689 False [   17167.940131] 0003 0035 0000051d
2022-04-07 18:27:18.600689 False [   17167.940131] 0003 0036 000006e3
2022-04-07 18:27:18.610202 False [   17167.948394] 0003 0036 000006ea
2022-04-07 18:27:18.618389 False [   17167.956760] 0003 0035 0000051e
2022-04-07 18:27:18.618389 False [   17167.956760] 0003 0036 000006f3
2022-04-07 18:27:18.625510 False [   17167.964970] 0003 0036 000006fa
2022-04-07 18:27:18.633340 False [   17167.973387] 0003 0035 0000051d
2022-04-07 18:27:18.633340 False [   17167.973387] 0003 0036 00000707
2022-04-07 18:27:18.641529 False [   17167.981574] 0003 0036 0000070f
2022-04-07 18:27:18.649864 False [   17167.989981] 0003 0036 00000715
2022-04-07 18:27:18.659125 False [   17167.998215] 0003 0035 0000051c
2022-04-07 18:27:18.659125 False [   17167.998215] 0003 0036 0000071f
2022-04-07 18:27:18.667214 False [   17168.006593] 0003 0035 0000051b
2022-04-07 18:27:18.667214 False [   17168.006593] 0003 0036 00000727
2022-04-07 18:27:18.676457 False [   17168.014887] 0003 0036 00000733
2022-04-07 18:27:18.683658 False [   17168.023177] 0003 0035 0000051a
2022-04-07 18:27:18.683658 False [   17168.023177] 0003 0036 0000073b
2022-04-07 18:27:18.691964 False [   17168.031423] 0003 0035 00000519
2022-04-07 18:27:18.691964 False [   17168.031423] 0003 0036 00000741
2022-04-07 18:27:18.699631 False [   17168.039900] 0003 0035 00000517
2022-04-07 18:27:18.699631 False [   17168.039900] 0003 0036 0000074c
2022-04-07 18:27:18.707478 False [   17168.048052] 0003 0036 00000754
2022-04-07 18:27:18.717097 False [   17168.056539] 0003 0035 00000515
2022-04-07 18:27:18.717097 False [   17168.056539] 0003 0036 0000075a
2022-04-07 18:27:18.724209 False [   17168.064762] 0003 0035 00000514
2022-04-07 18:27:18.724209 False [   17168.064762] 0003 0036 00000761
2022-04-07 18:27:18.732512 False [   17168.073086] 0003 0036 00000767
2022-04-07 18:27:18.742353 False [   17168.081273] 0003 0036 0000076b
2022-04-07 18:27:18.751804 False [   17168.089746] 0003 0035 00000513
2022-04-07 18:27:18.751804 False [   17168.089746] 0003 0036 00000775
2022-04-07 18:27:18.757711 False [   17168.097834] 0003 0036 0000077b
2022-04-07 18:27:18.765982 False [   17168.106292] 0003 0036 00000780
2022-04-07 18:27:18.774486 False [   17168.114499] 0003 0035 00000512
2022-04-07 18:27:18.774486 False [   17168.114499] 0003 0036 0000078a
2022-04-07 18:27:18.783492 False [   17168.122896] 0003 0036 00000791
2022-04-07 18:27:18.792165 False [   17168.131144] 0003 0036 00000795
2022-04-07 18:27:18.800267 False [   17168.139546] 0003 0035 00000510
2022-04-07 18:27:18.800267 False [   17168.139546] 0003 0036 000007a0
2022-04-07 18:27:18.807229 False [   17168.147757] 0003 0036 000007a7
2022-04-07 18:27:18.815829 False [   17168.156225] 0003 0036 000007ac
2022-04-07 18:27:18.824558 False [   17168.164354] 0003 0035 0000050f
2022-04-07 18:27:18.824558 False [   17168.164354] 0003 0036 000007b6
2022-04-07 18:27:18.832078 False [   17168.172720] 0003 0036 000007be
2022-04-07 18:27:18.842305 False [   17168.181001] 0003 0035 0000050d
2022-04-07 18:27:18.842305 False [   17168.181001] 0003 0036 000007c9
2022-04-07 18:27:18.849626 False [   17168.189376] 0003 0035 0000050c
2022-04-07 18:27:18.849626 False [   17168.189376] 0003 0036 000007d1
2022-04-07 18:27:18.859076 False [   17168.197524] 0003 0035 0000050a
2022-04-07 18:27:18.859076 False [   17168.197524] 0003 0036 000007dd
2022-04-07 18:27:18.866541 False [   17168.206042] 0003 0035 00000509
2022-04-07 18:27:18.866541 False [   17168.206042] 0003 0036 000007e4
